Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0045,002,24FP0045,98290,492500,1298,,1067,-3200,-3300,1983/01/01,1998/05/19
B24F0045,002,24FP0045,98290,492500,1264,,1253,-3200,-3300,1998/05/19,2003/06/19
B24F0045,002,24FP0045,98290,492500,1264,,1363,-3200,-3300,2003/06/19,2015/07/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0045,002,1986/08/26 00:00:00,1243,
B24F0045,002,1986/09/12 00:00:00,1231,
B24F0045,002,1986/09/29 00:00:00,1254,
B24F0045,002,1986/10/09 00:00:00,1242,
B24F0045,002,1986/10/28 00:00:00,1206,
B24F0045,002,1986/11/14 00:00:00,1253,
B24F0045,002,1986/11/28 00:00:00,1254,
B24F0045,002,1986/12/16 00:00:00,1200,
B24F0045,002,1986/12/29 00:00:00,1206,
B24F0045,002,1987/01/14 00:00:00,1212,
B24F0045,002,1987/01/28 00:00:00,1236,
B24F0045,002,1987/02/16 00:00:00,1252,
B24F0045,002,1987/02/28 00:00:00,1282,
B24F0045,002,1987/03/13 00:00:00,1286,
B24F0045,002,1987/03/27 00:00:00,1275,
B24F0045,002,1987/04/14 00:00:00,1267,
B24F0045,002,1987/04/28 00:00:00,1257,
B24F0045,002,1987/05/14 00:00:00,1250,
B24F0045,002,1987/05/27 00:00:00,1264,
B24F0045,002,1987/06/15 00:00:00,1231,
B24F0045,002,1987/06/27 00:00:00,1246,
B24F0045,002,1987/07/15 00:00:00,1215,
B24F0045,002,1987/07/29 00:00:00,1228,
B24F0045,002,1987/08/14 00:00:00,1204,
B24F0045,002,1987/08/28 00:00:00,1205,
B24F0045,002,1987/09/11 00:00:00,1191,
B24F0045,002,1987/09/28 00:00:00,1227,
B24F0045,002,1987/10/14 00:00:00,1218,
B24F0045,002,1987/10/28 00:00:00,1236,
B24F0045,002,1987/11/13 00:00:00,1179,
B24F0045,002,1987/11/27 00:00:00,1231,
B24F0045,002,1987/12/14 00:00:00,1216,
B24F0045,002,1987/12/28 00:00:00,1211,
B24F0045,002,1988/01/14 00:00:00,1221,
B24F0045,002,1988/01/28 00:00:00,1214,
B24F0045,002,1988/02/12 00:00:00,1193,
B24F0045,002,1988/02/26 00:00:00,1230,
B24F0045,002,1988/03/11 00:00:00,1209,
B24F0045,002,1988/03/25 00:00:00,1195,
B24F0045,002,1988/04/14 00:00:00,1298,
B24F0045,002,1988/04/28 00:00:00,1275,
B24F0045,002,1988/05/16 00:00:00,1255,
B24F0045,002,1988/05/28 00:00:00,1232,
B24F0045,002,1988/06/14 00:00:00,1251,
B24F0045,002,1988/06/28 00:00:00,1260,
B24F0045,002,1988/07/14 00:00:00,1327,
B24F0045,002,1988/07/28 00:00:00,1247,
B24F0045,002,1988/08/12 00:00:00,1225,
B24F0045,002,1988/08/25 00:00:00,1233,
B24F0045,002,1988/09/14 00:00:00,1261,
B24F0045,002,1988/09/28 00:00:00,1212,
B24F0045,002,1988/10/14 00:00:00,1289,
B24F0045,002,1988/10/28 00:00:00,1247,
B24F0045,002,1988/11/14 00:00:00,1209,
B24F0045,002,1988/11/28 00:00:00,1226,
B24F0045,002,1988/12/14 00:00:00,1231,
B24F0045,002,1988/12/28 00:00:00,1212,
B24F0045,002,1989/01/16 00:00:00,1256,
B24F0045,002,1989/01/27 00:00:00,1205,
B24F0045,002,1989/02/28 00:00:00,1180,
B24F0045,002,1989/03/14 00:00:00,1171,
B24F0045,002,1989/03/28 00:00:00,1220,
B24F0045,002,1989/04/14 00:00:00,1148,
B24F0045,002,1989/04/28 00:00:00,1221,
B24F0045,002,1989/05/16 00:00:00,1271,
B24F0045,002,1989/05/29 00:00:00,1272,
B24F0045,002,1989/06/14 00:00:00,1283,
B24F0045,002,1989/06/28 00:00:00,1257,
B24F0045,002,1989/07/14 00:00:00,1256,
B24F0045,002,1989/07/28 00:00:00,1277,
B24F0045,002,1989/08/14 00:00:00,1305,
B24F0045,002,1989/08/28 00:00:00,1256,
B24F0045,002,1989/09/14 00:00:00,1243,
B24F0045,002,1989/09/28 00:00:00,1253,
B24F0045,002,1989/10/13 00:00:00,1225,
B24F0045,002,1989/10/27 00:00:00,1266,
B24F0045,002,1989/11/14 00:00:00,1239,
B24F0045,002,1989/11/28 00:00:00,1238,
B24F0045,002,1989/12/14 00:00:00,1213,
B24F0045,002,1989/12/28 00:00:00,1253,
B24F0045,002,1990/01/15 00:00:00,1252,
B24F0045,002,1990/01/29 00:00:00,1216,
B24F0045,002,1990/02/14 00:00:00,1180,
B24F0045,002,1990/02/28 00:00:00,1153,
B24F0045,002,1990/03/14 00:00:00,1251,
B24F0045,002,1990/03/28 00:00:00,1259,
B24F0045,002,1990/04/12 00:00:00,1245,
B24F0045,002,1990/04/27 00:00:00,1261,
B24F0045,002,1990/05/14 00:00:00,1219,
B24F0045,002,1990/05/28 00:00:00,1223,
B24F0045,002,1990/08/14 00:00:00,1220,
B24F0045,002,1990/08/28 00:00:00,1239,
B24F0045,002,1990/09/14 00:00:00,1278,
B24F0045,002,1990/09/28 00:00:00,1233,
B24F0045,002,1990/10/15 00:00:00,1269,
B24F0045,002,1990/10/29 00:00:00,1196,
B24F0045,002,1990/11/14 00:00:00,1269,
B24F0045,002,1990/11/28 00:00:00,1245,
B24F0045,002,1990/12/14 00:00:00,1229,
B24F0045,002,1990/12/28 00:00:00,1171,
B24F0045,002,1991/01/14 00:00:00,1302,
B24F0045,002,1991/01/28 00:00:00,1267,
B24F0045,002,1991/02/14 00:00:00,1296,
B24F0045,002,1991/02/28 00:00:00,1325,
B24F0045,002,1991/03/14 00:00:00,1294,
B24F0045,002,1991/03/28 00:00:00,1250,
B24F0045,002,1991/04/15 00:00:00,1255,
B24F0045,002,1991/04/26 00:00:00,1238,
B24F0045,002,1991/05/14 00:00:00,1285,
B24F0045,002,1991/05/28 00:00:00,,D
B24F0045,002,1991/06/14 00:00:00,1273,
B24F0045,002,1991/06/28 00:00:00,1243,
B24F0045,002,1991/07/14 00:00:00,1220,
B24F0045,002,1991/07/29 00:00:00,1270,
B24F0045,002,1991/08/14 00:00:00,1277,
B24F0045,002,1991/08/28 00:00:00,1282,
B24F0045,002,1991/09/14 00:00:00,1241,
B24F0045,002,1991/09/27 00:00:00,1251,
