Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0069,002,24FP0069,99356,487784,748,,809,-3051,-3151,1987/12/16,2015/12/08

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0069,002,1987/12/16 00:00:00,710,
B24F0069,002,1988/04/27 00:00:00,718,
B24F0069,002,1988/08/31 00:00:00,739,
B24F0069,002,1988/10/12 00:00:00,765,
B24F0069,002,1988/12/14 00:00:00,732,
B24F0069,002,1989/04/26 00:00:00,733,
B24F0069,002,1989/08/30 00:00:00,765,
B24F0069,002,1989/10/11 00:00:00,757,
B24F0069,002,1989/12/13 00:00:00,792,
B24F0069,002,1990/04/25 00:00:00,751,
B24F0069,002,1990/08/29 00:00:00,820,
B24F0069,002,1990/10/10 00:00:00,773,
B24F0069,002,1990/12/12 00:00:00,780,
B24F0069,002,1991/04/24 00:00:00,760,
B24F0069,002,1991/08/28 00:00:00,809,
B24F0069,002,1991/10/16 00:00:00,757,
B24F0069,002,1991/12/11 00:00:00,744,
B24F0069,002,1992/04/29 00:00:00,752,
B24F0069,002,1992/08/26 00:00:00,764,
B24F0069,002,1992/10/14 00:00:00,754,
B24F0069,002,1992/12/16 00:00:00,725,
B24F0069,002,1993/04/28 00:00:00,746,
B24F0069,002,1993/08/25 00:00:00,751,
B24F0069,002,1993/10/14 00:00:00,735,
B24F0069,002,1993/12/15 00:00:00,736,
B24F0069,002,1994/04/27 00:00:00,769,
B24F0069,002,1994/08/24 00:00:00,735,
B24F0069,002,1994/10/12 00:00:00,731,
B24F0069,002,1994/12/14 00:00:00,705,
B24F0069,002,1995/04/26 00:00:00,719,
B24F0069,002,1995/08/30 00:00:00,732,
B24F0069,002,1995/10/11 00:00:00,722,
B24F0069,002,1995/12/13 00:00:00,737,
B24F0069,002,1996/04/24 00:00:00,757,
B24F0069,002,1996/08/28 00:00:00,744,
B24F0069,002,1996/10/16 00:00:00,739,
B24F0069,002,1996/12/11 00:00:00,719,
B24F0069,002,1997/04/23 00:00:00,744,
B24F0069,002,1997/08/27 00:00:00,750,
B24F0069,002,1997/10/15 00:00:00,718,
B24F0069,002,1997/12/10 00:00:00,716,
B24F0069,002,1998/04/29 00:00:00,700,
B24F0069,002,1998/08/26 00:00:00,701,
B24F0069,002,1998/10/14 00:00:00,674,
B24F0069,002,1998/12/16 00:00:00,684,
B24F0069,002,1999/04/28 00:00:00,679,
B24F0069,002,1999/08/25 00:00:00,723,
B24F0069,002,1999/10/13 00:00:00,683,
B24F0069,002,1999/12/15 00:00:00,654,
B24F0069,002,2000/04/26 00:00:00,680,
B24F0069,002,2000/08/30 00:00:00,711,
B24F0069,002,2000/10/11 00:00:00,703,
B24F0069,002,2000/12/13 00:00:00,665,
B24F0069,002,2001/04/25 00:00:00,679,
B24F0069,002,2001/08/29 00:00:00,698,
B24F0069,002,2001/10/18 00:00:00,683,
B24F0069,002,2001/12/13 00:00:00,696,
B24F0069,002,2002/04/24 00:00:00,698,
B24F0069,002,2002/08/28 00:00:00,676,
B24F0069,002,2002/10/16 00:00:00,677,
B24F0069,002,2002/12/11 00:00:00,673,
B24F0069,002,2003/04/23 00:00:00,672,
B24F0069,002,2003/08/27 00:00:00,694,
B24F0069,002,2003/10/15 00:00:00,683,
B24F0069,002,2003/12/17 00:00:00,681,
B24F0069,002,2004/04/27 00:00:00,674,
B24F0069,002,2004/08/25 00:00:00,675,
B24F0069,002,2004/10/14 00:00:00,674,
B24F0069,002,2004/12/16 00:00:00,666,
B24F0069,002,2005/04/26 00:00:00,674,
B24F0069,002,2005/08/31 00:00:00,679,
B24F0069,002,2005/10/12 00:00:00,672,
B24F0069,002,2005/12/14 00:00:00,657,
B24F0069,002,2006/04/27 00:00:00,669,
B24F0069,002,2006/08/30 00:00:00,660,
B24F0069,002,2006/10/11 00:00:00,663,
B24F0069,002,2006/12/13 00:00:00,650,
B24F0069,002,2007/04/25 00:00:00,665,
B24F0069,002,2007/08/29 00:00:00,669,
B24F0069,002,2007/10/10 00:00:00,669,
B24F0069,002,2007/12/11 00:00:00,658,
B24F0069,002,2008/04/24 00:00:00,661,
B24F0069,002,2008/08/28 00:00:00,677,
B24F0069,002,2008/10/07 00:00:00,671,
B24F0069,002,2008/12/11 00:00:00,657,
B24F0069,002,2009/04/23 00:00:00,675,
B24F0069,002,2009/08/26 00:00:00,689,
B24F0069,002,2009/10/08 00:00:00,678,
B24F0069,002,2009/12/08 00:00:00,661,
B24F0069,002,2010/04/22 00:00:00,668,
B24F0069,002,2010/08/26 00:00:00,668,
B24F0069,002,2010/10/07 00:00:00,659,
B24F0069,002,2010/12/09 00:00:00,658,
B24F0069,002,2011/01/13 11:25:00,650,
B24F0069,002,2011/02/17 14:15:00,649,
B24F0069,002,2011/03/10 11:15:00,651,
B24F0069,002,2011/04/12 10:35:00,662,
B24F0069,002,2011/05/18 09:45:00,675,
B24F0069,002,2011/05/31 13:35:00,681,
B24F0069,002,2011/06/14 10:10:00,678,
B24F0069,002,2011/07/12 12:40:00,682,
B24F0069,002,2011/08/18 12:00:00,665,
B24F0069,002,2011/09/12 10:10:00,657,
B24F0069,002,2011/10/14 10:50:00,662,
B24F0069,002,2011/11/15 11:00:00,669,
B24F0069,002,2011/12/14 11:30:00,664,
B24F0069,002,2012/01/17 11:25:00,663,
B24F0069,002,2012/02/14 14:50:00,659,
B24F0069,002,2012/03/13 14:20:00,662,
B24F0069,002,2012/04/18 10:30:00,667,
B24F0069,002,2012/05/26 00:26:00,676,
B24F0069,002,2012/06/13 10:10:00,675,
B24F0069,002,2012/07/11 10:30:00,685,
