Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0098,001,24FL0005,99720,491900,374,,394,-6,-56,1960/03/28,2000/12/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0098,001,1960/03/28 00:00:00,255,
B24F0098,001,1960/04/14 00:00:00,262,
B24F0098,001,1960/04/28 00:00:00,265,
B24F0098,001,1960/05/14 00:00:00,269,
B24F0098,001,1960/05/28 00:00:00,274,
B24F0098,001,1960/06/14 00:00:00,279,
B24F0098,001,1960/06/28 00:00:00,283,
B24F0098,001,1960/07/14 00:00:00,287,
B24F0098,001,1960/07/28 00:00:00,286,
B24F0098,001,1960/08/15 00:00:00,291,
B24F0098,001,1960/08/29 00:00:00,288,
B24F0098,001,1960/09/14 00:00:00,277,
B24F0098,001,1960/09/28 00:00:00,278,
B24F0098,001,1960/10/14 00:00:00,279,
B24F0098,001,1960/10/28 00:00:00,275,
B24F0098,001,1960/11/14 00:00:00,264,
B24F0098,001,1960/11/28 00:00:00,255,
B24F0098,001,1960/12/14 00:00:00,230,
B24F0098,001,1960/12/28 00:00:00,222,
B24F0098,001,1961/01/14 00:00:00,215,
B24F0098,001,1961/01/28 00:00:00,210,
B24F0098,001,1961/02/14 00:00:00,206,
B24F0098,001,1961/02/28 00:00:00,204,
B24F0098,001,1961/03/14 00:00:00,207,
B24F0098,001,1961/03/28 00:00:00,206,
B24F0098,001,1961/04/14 00:00:00,208,
B24F0098,001,1961/04/28 00:00:00,213,
B24F0098,001,1961/05/16 00:00:00,218,
B24F0098,001,1961/05/29 00:00:00,224,
B24F0098,001,1961/06/14 00:00:00,217,
B24F0098,001,1961/06/28 00:00:00,232,
B24F0098,001,1961/07/14 00:00:00,239,
B24F0098,001,1961/07/28 00:00:00,240,
