Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0099,001,24FL0006,98900,491060,304,,324,-76,-126,1960/03/28,1963/06/14
B24F0099,001,24FL0006,98900,491060,304,,329,-71,-121,1963/06/14,1969/07/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0099,001,1960/03/28 00:00:00,200,
B24F0099,001,1960/04/14 00:00:00,205,
B24F0099,001,1960/04/28 00:00:00,210,
B24F0099,001,1960/05/14 00:00:00,214,
B24F0099,001,1960/05/28 00:00:00,219,
B24F0099,001,1960/06/14 00:00:00,223,
B24F0099,001,1960/06/28 00:00:00,228,
B24F0099,001,1960/07/14 00:00:00,231,
B24F0099,001,1960/07/28 00:00:00,230,
B24F0099,001,1960/08/15 00:00:00,233,
B24F0099,001,1960/08/29 00:00:00,224,
B24F0099,001,1960/09/14 00:00:00,210,
B24F0099,001,1960/09/28 00:00:00,212,
B24F0099,001,1960/10/14 00:00:00,209,
B24F0099,001,1960/10/28 00:00:00,203,
B24F0099,001,1960/11/14 00:00:00,189,
B24F0099,001,1960/11/28 00:00:00,177,
B24F0099,001,1960/12/14 00:00:00,155,
B24F0099,001,1960/12/28 00:00:00,156,
B24F0099,001,1961/01/14 00:00:00,145,
B24F0099,001,1961/01/28 00:00:00,146,
B24F0099,001,1961/02/14 00:00:00,137,
B24F0099,001,1961/02/28 00:00:00,140,
B24F0099,001,1961/03/14 00:00:00,148,
B24F0099,001,1961/03/28 00:00:00,150,
B24F0099,001,1961/04/14 00:00:00,150,
B24F0099,001,1961/04/28 00:00:00,153,
B24F0099,001,1961/05/16 00:00:00,162,
B24F0099,001,1961/05/29 00:00:00,168,
B24F0099,001,1961/06/14 00:00:00,174,
B24F0099,001,1961/06/28 00:00:00,178,
B24F0099,001,1961/07/14 00:00:00,185,
B24F0099,001,1961/07/28 00:00:00,189,
B24F0099,001,1961/08/14 00:00:00,192,
B24F0099,001,1961/08/28 00:00:00,194,
B24F0099,001,1961/09/14 00:00:00,189,
B24F0099,001,1961/09/28 00:00:00,188,
B24F0099,001,1961/10/14 00:00:00,193,
B24F0099,001,1961/10/30 00:00:00,173,
B24F0099,001,1961/11/14 00:00:00,164,
B24F0099,001,1961/11/30 00:00:00,165,
B24F0099,001,1961/12/14 00:00:00,149,
B24F0099,001,1961/12/29 00:00:00,150,
B24F0099,001,1962/01/15 00:00:00,145,
B24F0099,001,1962/01/29 00:00:00,145,
B24F0099,001,1962/02/14 00:00:00,143,
B24F0099,001,1962/02/28 00:00:00,148,
B24F0099,001,1962/03/14 00:00:00,150,
B24F0099,001,1962/03/28 00:00:00,152,
B24F0099,001,1962/04/14 00:00:00,141,
B24F0099,001,1962/04/28 00:00:00,149,
B24F0099,001,1962/05/14 00:00:00,157,
