Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0100,001,24FL0007,99040,491270,235,,255,-145,-195,1960/03/28,1963/06/14
B24F0100,001,24FL0007,99040,491270,221,,249,-151,-201,1963/06/14,1972/04/24
B24F0100,001,24FL0007,99040,491270,219,,224,-176,-226,1972/04/24,1980/10/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0100,001,1960/03/28 00:00:00,130,
B24F0100,001,1960/04/14 00:00:00,136,
B24F0100,001,1960/04/28 00:00:00,140,
B24F0100,001,1960/05/14 00:00:00,146,
B24F0100,001,1960/05/28 00:00:00,150,
B24F0100,001,1960/06/14 00:00:00,152,
B24F0100,001,1960/06/28 00:00:00,156,
B24F0100,001,1960/07/14 00:00:00,160,
B24F0100,001,1960/07/28 00:00:00,160,
B24F0100,001,1960/08/15 00:00:00,161,
B24F0100,001,1960/08/29 00:00:00,156,
B24F0100,001,1960/09/14 00:00:00,140,
B24F0100,001,1960/09/28 00:00:00,142,
B24F0100,001,1960/10/14 00:00:00,140,
B24F0100,001,1960/10/28 00:00:00,135,
B24F0100,001,1960/11/14 00:00:00,119,
B24F0100,001,1960/11/28 00:00:00,108,
B24F0100,001,1960/12/14 00:00:00,80,
B24F0100,001,1960/12/28 00:00:00,84,
B24F0100,001,1961/01/14 00:00:00,77,
B24F0100,001,1961/01/28 00:00:00,77,
B24F0100,001,1961/02/14 00:00:00,68,
B24F0100,001,1961/02/28 00:00:00,72,
B24F0100,001,1961/03/14 00:00:00,80,
B24F0100,001,1961/03/28 00:00:00,83,
B24F0100,001,1961/04/14 00:00:00,85,
B24F0100,001,1961/04/28 00:00:00,89,
B24F0100,001,1961/05/16 00:00:00,95,
B24F0100,001,1961/05/29 00:00:00,100,
B24F0100,001,1961/06/14 00:00:00,105,
B24F0100,001,1961/06/28 00:00:00,111,
B24F0100,001,1961/07/14 00:00:00,118,
B24F0100,001,1961/07/28 00:00:00,121,
B24F0100,001,1961/08/14 00:00:00,125,
B24F0100,001,1961/08/28 00:00:00,128,
B24F0100,001,1961/09/14 00:00:00,118,
B24F0100,001,1961/09/28 00:00:00,123,
B24F0100,001,1961/10/14 00:00:00,128,
B24F0100,001,1961/10/30 00:00:00,105,
B24F0100,001,1961/11/14 00:00:00,96,
B24F0100,001,1961/11/30 00:00:00,100,
