Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0103,001,24FL0009,99650,492315,260,,305,,-93,1975/03/21,1982/05/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0103,001,1975/03/21 00:00:00,169,
B24F0103,001,1975/05/14 00:00:00,172,
B24F0103,001,1975/05/28 00:00:00,178,
B24F0103,001,1975/06/13 00:00:00,185,
B24F0103,001,1975/06/27 00:00:00,171,
B24F0103,001,1975/07/14 00:00:00,173,
B24F0103,001,1975/07/28 00:00:00,176,
B24F0103,001,1975/08/25 00:00:00,180,
B24F0103,001,1975/09/15 00:00:00,185,
B24F0103,001,1975/09/29 00:00:00,188,
B24F0103,001,1975/10/13 00:00:00,184,
B24F0103,001,1975/10/28 00:00:00,178,
B24F0103,001,1975/11/14 00:00:00,183,
B24F0103,001,1975/12/01 00:00:00,172,
B24F0103,001,1975/12/15 00:00:00,168,
B24F0103,001,1975/12/29 00:00:00,162,
B24F0103,001,1976/01/14 00:00:00,158,
B24F0103,001,1976/01/28 00:00:00,158,
B24F0103,001,1976/02/13 00:00:00,156,
B24F0103,001,1976/02/27 00:00:00,157,
B24F0103,001,1976/03/15 00:00:00,160,
B24F0103,001,1976/03/29 00:00:00,162,
B24F0103,001,1976/04/15 00:00:00,159,
B24F0103,001,1976/04/28 00:00:00,163,
B24F0103,001,1976/05/17 00:00:00,173,
B24F0103,001,1976/05/28 00:00:00,175,
B24F0103,001,1976/06/16 00:00:00,183,
B24F0103,001,1976/07/14 00:00:00,194,
B24F0103,001,1976/07/28 00:00:00,198,
B24F0103,001,1976/08/14 00:00:00,202,
B24F0103,001,1976/08/28 00:00:00,205,
B24F0103,001,1976/09/14 00:00:00,200,
B24F0103,001,1976/09/28 00:00:00,202,
B24F0103,001,1976/10/11 00:00:00,197,
B24F0103,001,1976/10/29 00:00:00,196,
B24F0103,001,1976/11/15 00:00:00,199,
B24F0103,001,1976/11/29 00:00:00,196,
B24F0103,001,1976/12/13 00:00:00,190,
B24F0103,001,1976/12/27 00:00:00,188,
B24F0103,001,1977/01/14 00:00:00,180,
B24F0103,001,1977/01/28 00:00:00,176,
B24F0103,001,1977/02/14 00:00:00,171,
B24F0103,001,1977/02/28 00:00:00,166,
B24F0103,001,1977/03/29 00:00:00,162,
B24F0103,001,1977/04/14 00:00:00,162,
B24F0103,001,1977/04/25 00:00:00,160,
B24F0103,001,1977/05/13 00:00:00,159,
B24F0103,001,1977/05/27 00:00:00,165,
B24F0103,001,1977/06/15 00:00:00,172,
B24F0103,001,1977/06/28 00:00:00,174,
B24F0103,001,1977/07/15 00:00:00,179,
B24F0103,001,1977/07/28 00:00:00,182,
B24F0103,001,1977/07/29 00:00:00,185,
B24F0103,001,1977/09/15 00:00:00,187,
B24F0103,001,1977/09/28 00:00:00,189,
B24F0103,001,1977/10/10 00:00:00,195,
B24F0103,001,1977/10/31 00:00:00,188,
B24F0103,001,1977/11/14 00:00:00,182,
B24F0103,001,1977/11/28 00:00:00,168,
B24F0103,001,1977/12/05 00:00:00,169,
B24F0103,001,1977/12/29 00:00:00,160,
B24F0103,001,1978/01/16 00:00:00,159,
B24F0103,001,1978/01/27 00:00:00,158,
B24F0103,001,1978/02/14 00:00:00,156,
B24F0103,001,1978/02/28 00:00:00,155,
B24F0103,001,1978/03/14 00:00:00,157,
B24F0103,001,1978/03/28 00:00:00,151,
B24F0103,001,1978/04/14 00:00:00,150,
B24F0103,001,1978/04/24 00:00:00,154,
B24F0103,001,1978/05/16 00:00:00,153,
B24F0103,001,1978/06/14 00:00:00,167,
B24F0103,001,1978/06/28 00:00:00,170,
B24F0103,001,1978/07/14 00:00:00,166,
B24F0103,001,1978/07/28 00:00:00,167,
B24F0103,001,1978/08/28 00:00:00,174,
B24F0103,001,1978/09/14 00:00:00,175,
B24F0103,001,1978/09/28 00:00:00,173,
B24F0103,001,1978/10/09 00:00:00,173,
B24F0103,001,1978/10/27 00:00:00,176,
B24F0103,001,1978/11/15 00:00:00,174,
B24F0103,001,1978/11/28 00:00:00,171,
B24F0103,001,1978/12/11 00:00:00,170,
B24F0103,001,1978/12/28 00:00:00,169,
B24F0103,001,1979/01/15 00:00:00,161,
B24F0103,001,1979/01/29 00:00:00,159,
B24F0103,001,1979/02/28 00:00:00,148,
B24F0103,001,1979/04/12 00:00:00,139,
B24F0103,001,1979/04/28 00:00:00,140,
B24F0103,001,1979/06/15 00:00:00,127,
B24F0103,001,1979/06/28 00:00:00,129,
B24F0103,001,1979/07/13 00:00:00,135,
B24F0103,001,1979/08/28 00:00:00,133,
B24F0103,001,1979/09/14 00:00:00,137,
B24F0103,001,1979/09/28 00:00:00,141,
B24F0103,001,1979/10/15 00:00:00,143,
B24F0103,001,1979/10/29 00:00:00,146,
B24F0103,001,1979/11/14 00:00:00,135,
B24F0103,001,1979/11/28 00:00:00,135,
B24F0103,001,1979/12/14 00:00:00,130,
B24F0103,001,1980/01/14 00:00:00,123,
B24F0103,001,1980/01/28 00:00:00,112,
B24F0103,001,1980/02/15 00:00:00,104,
B24F0103,001,1980/02/27 00:00:00,105,
B24F0103,001,1980/03/14 00:00:00,99,
B24F0103,001,1980/03/28 00:00:00,100,
B24F0103,001,1980/04/14 00:00:00,100,
B24F0103,001,1980/04/28 00:00:00,98,
B24F0103,001,1980/08/28 00:00:00,130,
B24F0103,001,1980/09/15 00:00:00,136,
B24F0103,001,1980/11/28 00:00:00,134,
B24F0103,001,1980/12/08 00:00:00,132,
B24F0103,001,1980/12/28 00:00:00,129,
B24F0103,001,1981/01/14 00:00:00,123,
B24F0103,001,1981/01/28 00:00:00,118,
B24F0103,001,1981/02/13 00:00:00,116,
B24F0103,001,1981/02/27 00:00:00,113,
B24F0103,001,1981/03/13 00:00:00,108,
B24F0103,001,1981/03/27 00:00:00,105,
B24F0103,001,1981/04/14 00:00:00,103,
B24F0103,001,1981/04/23 00:00:00,107,
B24F0103,001,1981/05/14 00:00:00,108,
B24F0103,001,1981/06/15 00:00:00,115,
B24F0103,001,1981/06/29 00:00:00,116,
B24F0103,001,1981/07/14 00:00:00,122,
B24F0103,001,1981/07/28 00:00:00,124,
B24F0103,001,1981/08/14 00:00:00,128,
B24F0103,001,1981/08/25 00:00:00,131,
B24F0103,001,1981/09/14 00:00:00,135,
B24F0103,001,1981/09/28 00:00:00,133,
B24F0103,001,1981/10/14 00:00:00,129,
B24F0103,001,1981/10/28 00:00:00,124,
B24F0103,001,1981/11/13 00:00:00,116,
B24F0103,001,1981/11/27 00:00:00,108,
B24F0103,001,1981/12/14 00:00:00,102,
B24F0103,001,1981/12/28 00:00:00,97,
B24F0103,001,1982/01/28 00:00:00,95,
B24F0103,001,1982/02/15 00:00:00,98,
B24F0103,001,1982/03/01 00:00:00,101,
B24F0103,001,1982/03/15 00:00:00,98,
B24F0103,001,1982/03/29 00:00:00,99,
B24F0103,001,1982/04/14 00:00:00,99,
B24F0103,001,1982/04/26 00:00:00,107,
B24F0103,001,1982/05/14 00:00:00,111,
