Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0105,001,24FL0010,98770,491060,200,,279,129,29,1964/05/14,1975/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0105,001,1964/05/14 00:00:00,102,
B24F0105,001,1964/06/14 00:00:00,111,
B24F0105,001,1964/07/14 00:00:00,116,
B24F0105,001,1964/08/14 00:00:00,153,
B24F0105,001,1964/09/14 00:00:00,117,
B24F0105,001,1964/10/14 00:00:00,124,
B24F0105,001,1964/11/14 00:00:00,110,
B24F0105,001,1964/12/14 00:00:00,103,
B24F0105,001,1965/01/14 00:00:00,92,
B24F0105,001,1965/02/14 00:00:00,88,
B24F0105,001,1965/03/14 00:00:00,96,
B24F0105,001,1965/04/14 00:00:00,105,
B24F0105,001,1965/05/14 00:00:00,95,
B24F0105,001,1965/06/14 00:00:00,99,
B24F0105,001,1965/07/14 00:00:00,108,
B24F0105,001,1965/08/14 00:00:00,101,
B24F0105,001,1965/09/14 00:00:00,103,
B24F0105,001,1965/10/14 00:00:00,82,
B24F0105,001,1965/11/14 00:00:00,92,
B24F0105,001,1965/12/14 00:00:00,76,
B24F0105,001,1966/01/14 00:00:00,48,
B24F0105,001,1966/02/14 00:00:00,55,
B24F0105,001,1966/03/14 00:00:00,45,
B24F0105,001,1966/04/14 00:00:00,61,
B24F0105,001,1966/05/14 00:00:00,89,
B24F0105,001,1966/06/14 00:00:00,107,
B24F0105,001,1966/07/14 00:00:00,106,
B24F0105,001,1966/08/14 00:00:00,98,
B24F0105,001,1966/09/14 00:00:00,96,
B24F0105,001,1966/10/14 00:00:00,95,
B24F0105,001,1966/11/14 00:00:00,38,
B24F0105,001,1966/12/14 00:00:00,65,
B24F0105,001,1967/01/14 00:00:00,46,
B24F0105,001,1967/02/14 00:00:00,42,
B24F0105,001,1967/03/14 00:00:00,31,
B24F0105,001,1967/04/14 00:00:00,66,
B24F0105,001,1967/05/14 00:00:00,57,
B24F0105,001,1967/06/14 00:00:00,65,
B24F0105,001,1967/07/14 00:00:00,81,
B24F0105,001,1967/08/14 00:00:00,91,
B24F0105,001,1968/01/14 00:00:00,48,
B24F0105,001,1968/02/14 00:00:00,70,
B24F0105,001,1968/03/14 00:00:00,52,
B24F0105,001,1968/04/02 00:00:00,51,
B24F0105,001,1968/05/07 00:00:00,66,
B24F0105,001,1968/06/04 00:00:00,76,
B24F0105,001,1968/07/02 00:00:00,84,
B24F0105,001,1968/08/06 00:00:00,88,
B24F0105,001,1968/09/03 00:00:00,90,
B24F0105,001,1968/10/01 00:00:00,88,
B24F0105,001,1968/11/05 00:00:00,77,
B24F0105,001,1968/12/04 00:00:00,86,
B24F0105,001,1969/01/14 00:00:00,79,
B24F0105,001,1969/01/28 00:00:00,78,
B24F0105,001,1969/02/14 00:00:00,75,
B24F0105,001,1969/02/28 00:00:00,74,
B24F0105,001,1969/03/14 00:00:00,71,
B24F0105,001,1969/03/28 00:00:00,75,
B24F0105,001,1969/04/15 00:00:00,77,
B24F0105,001,1969/04/29 00:00:00,78,
B24F0105,001,1969/05/14 00:00:00,81,
B24F0105,001,1969/05/28 00:00:00,85,
B24F0105,001,1969/06/13 00:00:00,90,
B24F0105,001,1969/06/27 00:00:00,96,
B24F0105,001,1969/07/14 00:00:00,100,
B24F0105,001,1969/07/28 00:00:00,113,
B24F0105,001,1969/08/14 00:00:00,111,
B24F0105,001,1969/08/26 00:00:00,97,
B24F0105,001,1969/09/14 00:00:00,93,
B24F0105,001,1969/09/15 00:00:00,105,
B24F0105,001,1969/09/29 00:00:00,110,
B24F0105,001,1969/10/14 00:00:00,92,
B24F0105,001,1969/10/28 00:00:00,115,
B24F0105,001,1969/11/14 00:00:00,109,
B24F0105,001,1969/11/28 00:00:00,107,
B24F0105,001,1969/12/15 00:00:00,102,
B24F0105,001,1969/12/29 00:00:00,101,
B24F0105,001,1970/01/14 00:00:00,109,
B24F0105,001,1970/01/28 00:00:00,102,
B24F0105,001,1970/02/13 00:00:00,99,
B24F0105,001,1970/02/27 00:00:00,89,
B24F0105,001,1970/03/13 00:00:00,89,
B24F0105,001,1970/03/26 00:00:00,94,
B24F0105,001,1970/04/14 00:00:00,91,
B24F0105,001,1970/04/22 00:00:00,91,
B24F0105,001,1970/05/14 00:00:00,98,
B24F0105,001,1970/05/28 00:00:00,105,
B24F0105,001,1970/06/15 00:00:00,114,
B24F0105,001,1970/06/29 00:00:00,127,
B24F0105,001,1970/07/14 00:00:00,110,
B24F0105,001,1970/07/28 00:00:00,128,
B24F0105,001,1970/08/14 00:00:00,123,
B24F0105,001,1970/08/28 00:00:00,125,
B24F0105,001,1970/09/14 00:00:00,124,
B24F0105,001,1970/09/28 00:00:00,135,
B24F0105,001,1970/10/14 00:00:00,126,
B24F0105,001,1970/10/26 00:00:00,118,
B24F0105,001,1970/11/13 00:00:00,106,
B24F0105,001,1970/11/27 00:00:00,102,
B24F0105,001,1970/12/14 00:00:00,96,
B24F0105,001,1970/12/28 00:00:00,99,
B24F0105,001,1971/01/13 00:00:00,99,
B24F0105,001,1971/01/28 00:00:00,96,
B24F0105,001,1971/02/15 00:00:00,95,
B24F0105,001,1971/03/15 00:00:00,135,
B24F0105,001,1971/03/29 00:00:00,143,
B24F0105,001,1971/04/14 00:00:00,146,
B24F0105,001,1971/04/27 00:00:00,148,
B24F0105,001,1971/05/14 00:00:00,134,
B24F0105,001,1971/05/27 00:00:00,142,
B24F0105,001,1971/06/14 00:00:00,141,
B24F0105,001,1971/06/28 00:00:00,138,
B24F0105,001,1971/07/14 00:00:00,145,
B24F0105,001,1971/07/28 00:00:00,147,
B24F0105,001,1971/08/13 00:00:00,142,
B24F0105,001,1971/08/23 00:00:00,148,
B24F0105,001,1971/09/13 00:00:00,153,
B24F0105,001,1971/09/28 00:00:00,153,
B24F0105,001,1971/10/18 00:00:00,154,
B24F0105,001,1971/10/28 00:00:00,150,
B24F0105,001,1971/11/15 00:00:00,150,
B24F0105,001,1971/11/29 00:00:00,140,
B24F0105,001,1971/12/13 00:00:00,136,
B24F0105,001,1972/01/14 00:00:00,137,
B24F0105,001,1972/01/31 00:00:00,141,
B24F0105,001,1972/02/14 00:00:00,139,
B24F0105,001,1972/02/28 00:00:00,143,
B24F0105,001,1972/03/14 00:00:00,146,
B24F0105,001,1972/03/27 00:00:00,142,
B24F0105,001,1972/04/14 00:00:00,146,
B24F0105,001,1972/04/24 00:00:00,148,
B24F0105,001,1972/05/15 00:00:00,151,
B24F0105,001,1972/05/29 00:00:00,151,
B24F0105,001,1972/06/14 00:00:00,152,
B24F0105,001,1972/06/28 00:00:00,153,
B24F0105,001,1972/07/14 00:00:00,148,
B24F0105,001,1972/07/28 00:00:00,147,
B24F0105,001,1972/08/14 00:00:00,149,
