Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0111,001,24FL0017,99450,495930,,,556,256,156,1981/04/14,1999/07/13

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0111,001,1981/04/14 00:00:00,,
B24F0111,001,1981/05/14 00:00:00,,
B24F0111,001,1981/06/14 00:00:00,,
B24F0111,001,1981/07/14 00:00:00,,
B24F0111,001,1981/08/14 00:00:00,,
B24F0111,001,1981/09/15 00:00:00,,
B24F0111,001,1981/10/15 00:00:00,,
B24F0111,001,1981/11/13 00:00:00,,
B24F0111,001,1981/12/15 00:00:00,,
B24F0111,001,1982/01/14 00:00:00,,
B24F0111,001,1982/02/14 00:00:00,,
B24F0111,001,1982/03/15 00:00:00,,
B24F0111,001,1982/04/14 00:00:00,,
B24F0111,001,1982/05/14 00:00:00,,
B24F0111,001,1982/06/14 00:00:00,,
B24F0111,001,1982/07/14 00:00:00,,
B24F0111,001,1982/08/14 00:00:00,,
B24F0111,001,1982/09/14 00:00:00,,
B24F0111,001,1982/10/14 00:00:00,,
B24F0111,001,1982/11/14 00:00:00,,
B24F0111,001,1982/12/14 00:00:00,,
B24F0111,001,1983/01/14 00:00:00,,
B24F0111,001,1983/02/15 00:00:00,,
B24F0111,001,1983/03/14 00:00:00,,
B24F0111,001,1983/04/14 00:00:00,,
B24F0111,001,1983/05/14 00:00:00,,
B24F0111,001,1983/06/14 00:00:00,,
B24F0111,001,1983/07/14 00:00:00,,
B24F0111,001,1983/09/14 00:00:00,,
B24F0111,001,1983/10/14 00:00:00,,
B24F0111,001,1983/11/14 00:00:00,,
B24F0111,001,1983/12/14 00:00:00,,
B24F0111,001,1984/01/14 00:00:00,,
B24F0111,001,1984/02/14 00:00:00,,
B24F0111,001,1984/03/14 00:00:00,,
B24F0111,001,1984/04/14 00:00:00,,
B24F0111,001,1984/05/14 00:00:00,,
B24F0111,001,1984/06/14 00:00:00,,
B24F0111,001,1984/07/14 00:00:00,,
B24F0111,001,1984/08/14 00:00:00,,
B24F0111,001,1984/09/14 00:00:00,,
B24F0111,001,1984/10/14 00:00:00,,
B24F0111,001,1984/11/14 00:00:00,,
B24F0111,001,1984/12/14 00:00:00,,
B24F0111,001,1985/02/14 00:00:00,,
B24F0111,001,1985/03/14 00:00:00,,
B24F0111,001,1985/04/14 00:00:00,,
B24F0111,001,1985/05/14 00:00:00,,
B24F0111,001,1985/07/14 00:00:00,,
B24F0111,001,1985/08/14 00:00:00,,
B24F0111,001,1985/09/14 00:00:00,,
B24F0111,001,1985/10/14 00:00:00,,
B24F0111,001,1985/11/14 00:00:00,,
B24F0111,001,1985/12/14 00:00:00,,
B24F0111,001,1986/01/14 00:00:00,,
B24F0111,001,1986/02/14 00:00:00,,
B24F0111,001,1986/03/14 00:00:00,,
B24F0111,001,1986/04/14 00:00:00,,
B24F0111,001,1986/05/14 00:00:00,,
B24F0111,001,1986/06/14 00:00:00,,
B24F0111,001,1986/07/14 00:00:00,,
B24F0111,001,1986/08/14 00:00:00,,
B24F0111,001,1986/10/14 00:00:00,,
B24F0111,001,1986/11/14 00:00:00,,
B24F0111,001,1986/12/14 00:00:00,,
B24F0111,001,1987/01/14 00:00:00,,
B24F0111,001,1987/02/14 00:00:00,,
B24F0111,001,1987/03/14 00:00:00,,
B24F0111,001,1987/04/14 00:00:00,,
B24F0111,001,1987/05/14 00:00:00,,
B24F0111,001,1987/06/14 00:00:00,,
B24F0111,001,1987/07/14 00:00:00,,
B24F0111,001,1987/08/14 00:00:00,,
B24F0111,001,1987/09/14 00:00:00,,
B24F0111,001,1987/10/14 00:00:00,,
B24F0111,001,1987/11/14 00:00:00,,
B24F0111,001,1987/12/14 00:00:00,,
B24F0111,001,1988/01/14 00:00:00,,
B24F0111,001,1988/02/14 00:00:00,,
B24F0111,001,1988/03/14 00:00:00,,
B24F0111,001,1988/04/14 00:00:00,,
B24F0111,001,1988/05/14 00:00:00,,
B24F0111,001,1988/06/14 00:00:00,,
B24F0111,001,1988/07/14 00:00:00,,
B24F0111,001,1988/09/14 00:00:00,,
