Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0115,001,24FL0024,99085,493900,327,,330,228,128,1991/01/28,2000/08/17
B24F0115,001,24FL0024,99085,493900,327,,388,228,128,2000/08/17,2005/04/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0115,001,1991/01/28 00:00:00,91,
B24F0115,001,1991/02/14 00:00:00,107,
B24F0115,001,1991/02/28 00:00:00,105,
B24F0115,001,1991/03/14 00:00:00,109,
B24F0115,001,1991/03/28 00:00:00,113,
B24F0115,001,1991/04/15 00:00:00,117,
B24F0115,001,1991/04/26 00:00:00,117,
B24F0115,001,1991/05/14 00:00:00,121,
B24F0115,001,1991/05/28 00:00:00,122,
B24F0115,001,1991/06/14 00:00:00,127,
B24F0115,001,1991/06/28 00:00:00,109,
B24F0115,001,1991/07/14 00:00:00,113,
B24F0115,001,1991/07/29 00:00:00,119,
B24F0115,001,1991/08/14 00:00:00,127,
B24F0115,001,1991/08/28 00:00:00,135,
B24F0115,001,1991/09/14 00:00:00,134,
B24F0115,001,1991/09/27 00:00:00,139,
B24F0115,001,1991/11/14 00:00:00,109,
B24F0115,001,1991/11/28 00:00:00,108,
B24F0115,001,1991/12/14 00:00:00,112,
B24F0115,001,1991/12/24 00:00:00,102,
B24F0115,001,1992/01/14 00:00:00,105,
B24F0115,001,1992/01/28 00:00:00,103,
B24F0115,001,1992/02/14 00:00:00,102,
B24F0115,001,1992/02/28 00:00:00,108,
B24F0115,001,1992/03/14 00:00:00,114,
B24F0115,001,1992/03/28 00:00:00,102,
B24F0115,001,1992/04/14 00:00:00,107,
B24F0115,001,1992/04/28 00:00:00,107,
B24F0115,001,1992/05/14 00:00:00,107,
B24F0115,001,1992/05/28 00:00:00,117,
B24F0115,001,1992/06/15 00:00:00,121,
B24F0115,001,1992/06/29 00:00:00,123,
B24F0115,001,1992/08/27 00:00:00,113,
B24F0115,001,1992/09/14 00:00:00,119,
B24F0115,001,1992/09/28 00:00:00,126,
B24F0115,001,1992/10/13 00:00:00,132,
B24F0115,001,1992/11/12 00:00:00,150,
B24F0115,001,1992/12/14 00:00:00,137,
B24F0115,001,1992/12/28 00:00:00,139,
B24F0115,001,1993/01/14 00:00:00,129,
B24F0115,001,1993/01/28 00:00:00,129,
B24F0115,001,1993/02/15 00:00:00,136,
B24F0115,001,1993/03/01 00:00:00,132,
B24F0115,001,1993/03/15 00:00:00,135,
B24F0115,001,1993/03/29 00:00:00,153,
B24F0115,001,1993/04/14 00:00:00,151,
B24F0115,001,1993/04/27 00:00:00,154,
B24F0115,001,1993/05/13 00:00:00,150,
B24F0115,001,1993/05/27 00:00:00,153,
B24F0115,001,1993/06/14 00:00:00,168,
B24F0115,001,1993/06/28 00:00:00,180,
B24F0115,001,1993/07/14 00:00:00,171,
B24F0115,001,1993/07/28 00:00:00,156,
B24F0115,001,1993/08/13 00:00:00,167,
B24F0115,001,1993/08/24 00:00:00,173,
B24F0115,001,1993/09/14 00:00:00,157,
B24F0115,001,1993/09/28 00:00:00,152,
B24F0115,001,1993/10/14 00:00:00,155,
B24F0115,001,1993/10/28 00:00:00,148,
B24F0115,001,1993/11/29 00:00:00,153,
B24F0115,001,1993/12/13 00:00:00,131,
B24F0115,001,1993/12/28 00:00:00,129,
B24F0115,001,1994/01/14 00:00:00,122,
B24F0115,001,1994/01/27 00:00:00,118,
B24F0115,001,1994/02/14 00:00:00,122,
B24F0115,001,1994/02/28 00:00:00,114,
B24F0115,001,1994/03/14 00:00:00,129,
B24F0115,001,1994/03/28 00:00:00,112,
B24F0115,001,1994/04/14 00:00:00,110,
B24F0115,001,1994/04/27 00:00:00,122,
B24F0115,001,1994/05/16 00:00:00,119,
B24F0115,001,1994/05/26 00:00:00,125,
B24F0115,001,1994/06/13 00:00:00,134,
B24F0115,001,1994/06/27 00:00:00,139,
B24F0115,001,1994/07/14 00:00:00,139,
B24F0115,001,1994/07/28 00:00:00,149,
B24F0115,001,1994/08/15 00:00:00,156,
B24F0115,001,1994/08/29 00:00:00,157,
B24F0115,001,1994/09/14 00:00:00,154,
B24F0115,001,1994/09/28 00:00:00,138,
B24F0115,001,1994/10/13 00:00:00,135,
B24F0115,001,1994/10/27 00:00:00,118,
B24F0115,001,1994/11/14 00:00:00,112,
B24F0115,001,1994/11/28 00:00:00,122,
B24F0115,001,1994/12/13 00:00:00,114,
B24F0115,001,1994/12/27 00:00:00,96,
B24F0115,001,1995/01/12 00:00:00,96,
B24F0115,001,1995/01/26 00:00:00,81,
B24F0115,001,1995/02/13 00:00:00,90,
B24F0115,001,1995/02/27 00:00:00,90,
B24F0115,001,1995/03/13 00:00:00,88,
B24F0115,001,1995/03/27 00:00:00,89,
B24F0115,001,1995/04/12 00:00:00,93,
B24F0115,001,1995/04/27 00:00:00,94,
B24F0115,001,1995/05/15 00:00:00,107,
B24F0115,001,1995/05/29 00:00:00,107,
B24F0115,001,1995/06/13 00:00:00,109,
B24F0115,001,1995/06/27 00:00:00,123,
B24F0115,001,1995/07/13 00:00:00,117,
B24F0115,001,1995/07/27 00:00:00,133,
B24F0115,001,1995/08/14 00:00:00,144,
B24F0115,001,1995/08/28 00:00:00,142,
B24F0115,001,1995/09/14 00:00:00,138,
B24F0115,001,1995/09/28 00:00:00,122,
B24F0115,001,1995/10/12 00:00:00,139,
B24F0115,001,1995/10/26 00:00:00,148,
B24F0115,001,1995/11/13 00:00:00,150,
B24F0115,001,1995/11/27 00:00:00,148,
B24F0115,001,1995/12/13 00:00:00,157,
B24F0115,001,1995/12/28 00:00:00,151,
B24F0115,001,1996/01/15 00:00:00,156,
B24F0115,001,1996/01/29 00:00:00,164,
B24F0115,001,1996/02/14 00:00:00,162,
B24F0115,001,1996/02/28 00:00:00,157,
B24F0115,001,1996/03/14 00:00:00,164,
B24F0115,001,1996/03/28 00:00:00,168,
B24F0115,001,1996/04/15 00:00:00,172,
B24F0115,001,1996/05/01 00:00:00,178,
B24F0115,001,1996/05/14 00:00:00,177,
B24F0115,001,1996/05/28 00:00:00,178,
B24F0115,001,1996/06/13 00:00:00,179,
B24F0115,001,1996/06/27 00:00:00,186,
B24F0115,001,1996/07/15 00:00:00,187,
B24F0115,001,1996/07/29 00:00:00,189,
B24F0115,001,1996/08/14 00:00:00,177,
B24F0115,001,1996/08/27 00:00:00,167,
B24F0115,001,1996/09/12 00:00:00,184,
B24F0115,001,1996/09/26 00:00:00,189,
B24F0115,001,1996/10/14 00:00:00,188,
B24F0115,001,1996/10/28 00:00:00,184,
B24F0115,001,1996/11/14 00:00:00,177,
B24F0115,001,1996/11/28 00:00:00,147,
B24F0115,001,1996/12/12 00:00:00,157,
B24F0115,001,1996/12/23 00:00:00,147,
B24F0115,001,1997/01/13 00:00:00,147,
B24F0115,001,1997/01/27 00:00:00,149,
B24F0115,001,1997/02/13 00:00:00,145,
B24F0115,001,1997/02/27 00:00:00,145,
B24F0115,001,1997/03/13 00:00:00,147,
B24F0115,001,1997/03/27 00:00:00,150,
B24F0115,001,1997/04/14 00:00:00,160,
B24F0115,001,1997/04/28 00:00:00,162,
B24F0115,001,1997/05/02 00:00:00,162,
B24F0115,001,1997/05/13 00:00:00,159,
B24F0115,001,1997/05/27 00:00:00,166,
B24F0115,001,1997/06/12 00:00:00,169,
B24F0115,001,1997/06/26 00:00:00,174,
B24F0115,001,1997/07/14 00:00:00,178,
B24F0115,001,1997/07/28 00:00:00,180,
B24F0115,001,1997/08/14 00:00:00,186,
B24F0115,001,1997/08/26 00:00:00,191,
B24F0115,001,1997/08/27 00:00:00,191,
B24F0115,001,1997/09/15 00:00:00,190,
B24F0115,001,1997/09/29 00:00:00,197,
B24F0115,001,1997/10/13 00:00:00,175,
B24F0115,001,1997/10/16 00:00:00,175,
B24F0115,001,1997/10/27 00:00:00,181,
B24F0115,001,1997/11/13 00:00:00,177,
B24F0115,001,1997/11/27 00:00:00,189,
B24F0115,001,1997/12/15 00:00:00,187,
B24F0115,001,1997/12/18 00:00:00,187,
B24F0115,001,1997/12/22 00:00:00,183,
B24F0115,001,1998/01/14 00:00:00,170,
B24F0115,001,1998/01/28 00:00:00,161,
B24F0115,001,1998/02/12 00:00:00,160,
B24F0115,001,1998/02/26 00:00:00,160,
B24F0115,001,1998/03/12 00:00:00,145,
B24F0115,001,1998/03/26 00:00:00,150,
B24F0115,001,1998/04/14 00:00:00,137,
B24F0115,001,1998/04/27 00:00:00,134,
B24F0115,001,1998/05/14 00:00:00,143,
B24F0115,001,1998/05/25 00:00:00,157,
B24F0115,001,1998/06/15 00:00:00,140,
B24F0115,001,1998/06/30 00:00:00,142,
B24F0115,001,1998/07/13 00:00:00,155,
B24F0115,001,1998/07/28 00:00:00,157,
