Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0120,001,24FP7805,99300,495380,340,,347,162,112,1985/06/14,1986/08/11
B24F0120,001,24FP7805,99300,495380,340,,352,172,122,1986/08/11,1988/08/10

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0120,001,1985/06/14 00:00:00,71,
B24F0120,001,1985/06/28 00:00:00,71,
B24F0120,001,1985/07/15 00:00:00,77,
B24F0120,001,1985/07/29 00:00:00,69,
B24F0120,001,1985/08/14 00:00:00,66,
B24F0120,001,1985/08/30 00:00:00,69,
B24F0120,001,1985/09/14 00:00:00,73,
B24F0120,001,1985/09/28 00:00:00,77,
B24F0120,001,1985/10/14 00:00:00,79,
B24F0120,001,1985/10/28 00:00:00,82,
B24F0120,001,1985/11/14 00:00:00,76,
B24F0120,001,1985/11/28 00:00:00,73,
B24F0120,001,1985/12/14 00:00:00,72,
B24F0120,001,1985/12/28 00:00:00,67,
B24F0120,001,1986/01/14 00:00:00,58,
B24F0120,001,1986/01/28 00:00:00,50,
B24F0120,001,1986/03/14 00:00:00,54,
B24F0120,001,1986/03/28 00:00:00,56,
B24F0120,001,1986/08/14 00:00:00,85,
B24F0120,001,1986/08/28 00:00:00,86,
B24F0120,001,1986/09/14 00:00:00,83,
B24F0120,001,1986/09/28 00:00:00,89,
B24F0120,001,1986/10/14 00:00:00,92,
B24F0120,001,1986/10/28 00:00:00,79,
B24F0120,001,1986/11/14 00:00:00,68,
B24F0120,001,1986/11/28 00:00:00,64,
B24F0120,001,1986/12/14 00:00:00,63,
B24F0120,001,1986/12/28 00:00:00,57,
B24F0120,001,1987/01/14 00:00:00,,Y
B24F0120,001,1987/01/28 00:00:00,,Y
B24F0120,001,1987/02/14 00:00:00,32,
B24F0120,001,1987/02/28 00:00:00,39,
B24F0120,001,1987/03/14 00:00:00,43,
B24F0120,001,1987/03/28 00:00:00,42,
B24F0120,001,1987/04/14 00:00:00,73,
B24F0120,001,1987/04/28 00:00:00,76,
