Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0128,001,24FP7812,99275,494450,348,,386,56,-44,1997/07/02,2003/06/05

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0128,001,1999/11/30 21:11:59,54,
B24F0128,001,1999/12/01 09:11:59,54,
B24F0128,001,1999/12/02 09:11:59,58,
B24F0128,001,1999/12/03 09:11:59,52,
B24F0128,001,1999/12/04 09:11:59,52,
B24F0128,001,1999/12/05 09:11:59,54,
B24F0128,001,1999/12/06 09:11:59,52,
B24F0128,001,1999/12/07 09:11:59,44,
B24F0128,001,1999/12/08 09:11:59,47,
B24F0128,001,1999/12/09 09:11:59,46,
B24F0128,001,1999/12/10 09:11:59,48,
B24F0128,001,1999/12/11 09:11:59,48,
B24F0128,001,1999/12/12 09:11:59,40,
B24F0128,001,1999/12/13 09:11:59,42,
B24F0128,001,1999/12/14 09:11:59,38,
B24F0128,001,1999/12/15 09:11:59,35,
B24F0128,001,1999/12/16 09:11:59,36,
B24F0128,001,1999/12/17 09:11:59,31,
B24F0128,001,1999/12/18 09:11:59,31,
B24F0128,001,1999/12/19 09:11:59,30,
B24F0128,001,1999/12/20 09:11:59,31,
B24F0128,001,1999/12/21 09:11:59,31,
B24F0128,001,1999/12/22 09:11:59,32,
B24F0128,001,1999/12/23 09:11:59,30,
B24F0128,001,1999/12/24 09:11:59,29,
B24F0128,001,1999/12/25 09:11:59,25,
B24F0128,001,1999/12/26 09:11:59,23,
B24F0128,001,1999/12/27 09:11:59,22,
B24F0128,001,1999/12/28 09:11:59,23,
B24F0128,001,1999/12/29 09:11:59,22,
B24F0128,001,1999/12/30 09:11:59,22,
B24F0128,001,1999/12/31 09:11:59,22,
B24F0128,001,2000/01/01 09:11:59,22,
B24F0128,001,2000/01/02 09:11:59,22,
B24F0128,001,2000/01/03 09:11:59,22,
B24F0128,001,2000/01/04 09:11:59,21,
B24F0128,001,2000/01/05 09:11:59,22,
B24F0128,001,2000/01/06 09:11:59,22,
B24F0128,001,2000/01/07 09:11:59,22,
B24F0128,001,2000/01/08 09:11:59,21,
B24F0128,001,2000/01/09 09:11:59,22,
B24F0128,001,2000/01/10 09:11:59,24,
B24F0128,001,2000/01/11 09:11:59,24,
B24F0128,001,2000/01/12 09:11:59,24,
B24F0128,001,2000/01/13 09:11:59,24,
B24F0128,001,2000/01/14 09:11:59,24,
B24F0128,001,2000/01/15 09:11:59,25,
B24F0128,001,2000/01/16 09:11:59,25,
B24F0128,001,2000/01/17 09:11:59,26,
B24F0128,001,2000/01/18 09:11:59,27,
B24F0128,001,2000/01/19 09:11:59,27,
B24F0128,001,2000/01/20 09:11:59,28,
B24F0128,001,2000/01/21 09:11:59,28,
B24F0128,001,2000/01/22 09:11:59,27,
B24F0128,001,2000/01/23 09:11:59,28,
B24F0128,001,2000/01/24 09:11:59,31,
B24F0128,001,2000/01/25 09:11:59,29,
B24F0128,001,2000/01/26 09:11:59,30,
B24F0128,001,2000/01/27 09:11:59,30,
B24F0128,001,2000/01/28 09:11:59,30,
B24F0128,001,2000/01/29 09:11:59,25,
B24F0128,001,2000/01/30 09:11:59,27,
B24F0128,001,2000/01/31 09:11:59,27,
B24F0128,001,2000/02/01 09:11:59,26,
B24F0128,001,2000/02/02 09:11:59,24,
B24F0128,001,2000/02/03 09:11:59,26,
B24F0128,001,2000/02/04 09:11:59,25,
B24F0128,001,2000/02/05 09:11:59,26,
B24F0128,001,2000/02/06 09:11:59,26,
B24F0128,001,2000/02/07 09:11:59,24,
B24F0128,001,2000/02/08 09:11:59,24,
B24F0128,001,2000/02/09 09:11:59,24,
B24F0128,001,2000/02/10 09:11:59,24,
B24F0128,001,2000/02/11 09:11:59,24,
B24F0128,001,2000/02/12 09:11:59,24,
B24F0128,001,2000/02/13 09:11:59,25,
B24F0128,001,2000/02/14 09:11:59,26,
B24F0128,001,2000/02/15 09:11:59,26,
B24F0128,001,2000/02/16 09:11:59,26,
B24F0128,001,2000/02/17 09:11:59,26,
B24F0128,001,2000/02/18 09:11:59,24,
B24F0128,001,2000/02/19 09:11:59,25,
B24F0128,001,2000/02/20 09:11:59,26,
B24F0128,001,2000/02/21 09:11:59,27,
B24F0128,001,2000/02/22 09:11:59,26,
