Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24H0015,002,24HP0026,98981,487326,1040,,1048,-2680,-2780,1974/03/06,2015/12/08

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24H0015,002,1974/03/06 00:00:00,1111,
B24H0015,002,1974/06/05 00:00:00,1113,
B24H0015,002,1974/09/11 00:00:00,1110,
B24H0015,002,1974/12/04 00:00:00,1094,
B24H0015,002,1975/04/23 00:00:00,1090,
B24H0015,002,1975/08/28 00:00:00,1116,
B24H0015,002,1975/10/15 00:00:00,1103,
B24H0015,002,1975/12/17 00:00:00,1038,
B24H0015,002,1976/04/21 00:00:00,1057,
B24H0015,002,1976/08/27 00:00:00,1172,
B24H0015,002,1976/10/13 00:00:00,1142,
B24H0015,002,1976/12/15 00:00:00,1143,
B24H0015,002,1977/04/27 00:00:00,1037,
B24H0015,002,1977/08/31 00:00:00,1056,
B24H0015,002,1977/10/12 00:00:00,1062,
B24H0015,002,1977/12/14 00:00:00,1029,
B24H0015,002,1978/04/26 00:00:00,1033,
B24H0015,002,1978/08/30 00:00:00,1055,
B24H0015,002,1978/10/11 00:00:00,1043,
B24H0015,002,1978/12/13 00:00:00,1031,
B24H0015,002,1979/04/25 00:00:00,1016,
B24H0015,002,1979/08/29 00:00:00,1022,
B24H0015,002,1979/10/17 00:00:00,1027,
B24H0015,002,1979/12/12 00:00:00,1014,
B24H0015,002,1980/04/23 00:00:00,1012,
B24H0015,002,1980/08/27 00:00:00,1031,
B24H0015,002,1980/10/15 00:00:00,1030,
B24H0015,002,1980/12/10 00:00:00,1018,
B24H0015,002,1981/04/22 00:00:00,1015,
B24H0015,002,1981/08/26 00:00:00,1029,
B24H0015,002,1981/10/14 00:00:00,1011,
B24H0015,002,1981/12/16 00:00:00,990,
B24H0015,002,1982/04/28 00:00:00,1014,
B24H0015,002,1982/08/25 00:00:00,1026,
B24H0015,002,1982/10/13 00:00:00,1021,
B24H0015,002,1982/12/15 00:00:00,1005,
B24H0015,002,1983/04/27 00:00:00,1003,
B24H0015,002,1983/08/31 00:00:00,1036,
B24H0015,002,1983/10/12 00:00:00,995,
B24H0015,002,1983/12/14 00:00:00,1012,
B24H0015,002,1984/04/25 00:00:00,1007,
B24H0015,002,1984/08/29 00:00:00,1038,
B24H0015,002,1984/10/17 00:00:00,1019,
B24H0015,002,1984/12/12 00:00:00,1014,
B24H0015,002,1985/04/25 00:00:00,1024,
B24H0015,002,1985/08/28 00:00:00,1018,
B24H0015,002,1987/08/26 00:00:00,1040,
B24H0015,002,1988/04/27 00:00:00,1040,
B24H0015,002,1988/08/31 00:00:00,1040,
B24H0015,002,1989/08/30 00:00:00,1053,
B24H0015,002,1989/10/11 00:00:00,1042,
B24H0015,002,1989/12/13 00:00:00,1106,
B24H0015,002,1990/04/25 00:00:00,1034,
B24H0015,002,1990/08/29 00:00:00,1108,
B24H0015,002,1990/10/10 00:00:00,1060,
B24H0015,002,1990/12/12 00:00:00,1091,
B24H0015,002,1991/04/24 00:00:00,1045,
B24H0015,002,1991/08/28 00:00:00,1101,
B24H0015,002,1991/10/16 00:00:00,1042,
B24H0015,002,1991/12/11 00:00:00,1032,
B24H0015,002,1992/04/29 00:00:00,1032,
B24H0015,002,1992/08/26 00:00:00,1047,
B24H0015,002,1992/10/14 00:00:00,1038,
B24H0015,002,1992/12/16 00:00:00,1006,
B24H0015,002,1993/04/28 00:00:00,1031,
B24H0015,002,1993/08/25 00:00:00,1031,
B24H0015,002,1993/10/14 00:00:00,1018,
B24H0015,002,1993/12/15 00:00:00,1017,
B24H0015,002,1994/04/27 00:00:00,1064,
B24H0015,002,1994/08/24 00:00:00,1023,
B24H0015,002,1994/10/12 00:00:00,1012,
B24H0015,002,1994/12/14 00:00:00,991,
B24H0015,002,1995/04/26 00:00:00,999,
B24H0015,002,1995/08/30 00:00:00,1018,
B24H0015,002,1995/10/11 00:00:00,1010,
B24H0015,002,1995/12/13 00:00:00,1022,
B24H0015,002,1996/04/24 00:00:00,1040,
B24H0015,002,1996/08/28 00:00:00,1031,
B24H0015,002,1996/10/16 00:00:00,1022,
B24H0015,002,1996/12/11 00:00:00,1000,
B24H0015,002,1997/04/23 00:00:00,1030,
B24H0015,002,1997/08/27 00:00:00,1029,
B24H0015,002,1997/10/15 00:00:00,1005,
B24H0015,002,1997/12/10 00:00:00,1000,
B24H0015,002,1998/04/29 00:00:00,986,
B24H0015,002,1998/08/26 00:00:00,990,
B24H0015,002,1998/10/14 00:00:00,963,
B24H0015,002,1998/12/16 00:00:00,971,
B24H0015,002,1999/04/28 00:00:00,967,
B24H0015,002,1999/08/25 00:00:00,990,
B24H0015,002,1999/10/13 00:00:00,970,
B24H0015,002,1999/12/15 00:00:00,947,
B24H0015,002,2000/04/26 00:00:00,967,
B24H0015,002,2000/08/30 00:00:00,994,
B24H0015,002,2000/10/11 00:00:00,986,
B24H0015,002,2000/12/13 00:00:00,952,
B24H0015,002,2001/04/25 00:00:00,967,
B24H0015,002,2001/08/29 00:00:00,983,
B24H0015,002,2001/10/18 00:00:00,968,
B24H0015,002,2001/12/13 00:00:00,984,
B24H0015,002,2002/04/24 00:00:00,988,
B24H0015,002,2002/08/28 00:00:00,966,
B24H0015,002,2002/10/16 00:00:00,967,
B24H0015,002,2002/12/11 00:00:00,967,
B24H0015,002,2003/04/23 00:00:00,970,
B24H0015,002,2003/08/27 00:00:00,990,
B24H0015,002,2003/10/15 00:00:00,977,
B24H0015,002,2003/12/17 00:00:00,977,
B24H0015,002,2004/04/27 00:00:00,967,
B24H0015,002,2004/08/25 00:00:00,964,
B24H0015,002,2004/10/14 00:00:00,965,
B24H0015,002,2004/12/16 00:00:00,959,
B24H0015,002,2005/04/26 00:00:00,962,
B24H0015,002,2005/08/31 00:00:00,968,
B24H0015,002,2005/10/12 00:00:00,966,
B24H0015,002,2005/12/14 00:00:00,954,
B24H0015,002,2006/04/27 00:00:00,963,
