Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24H0260,001,24HP0260,99092,485719,936,,1005,0,-100,1974/03/06,2015/12/09

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24H0260,001,1974/03/06 00:00:00,681,
B24H0260,001,1974/06/05 00:00:00,678,
B24H0260,001,1974/09/11 00:00:00,690,
B24H0260,001,1974/12/04 00:00:00,668,
B24H0260,001,1975/04/23 00:00:00,655,
B24H0260,001,1975/08/28 00:00:00,671,
B24H0260,001,1975/10/15 00:00:00,678,
B24H0260,001,1975/12/17 00:00:00,679,
B24H0260,001,1976/04/21 00:00:00,681,
B24H0260,001,1976/08/27 00:00:00,693,
B24H0260,001,1976/10/13 00:00:00,697,
B24H0260,001,1976/12/15 00:00:00,699,
B24H0260,001,1977/04/27 00:00:00,672,
B24H0260,001,1977/08/31 00:00:00,685,
B24H0260,001,1977/10/12 00:00:00,690,
B24H0260,001,1977/12/14 00:00:00,676,
B24H0260,001,1978/04/26 00:00:00,674,
B24H0260,001,1978/08/30 00:00:00,682,
B24H0260,001,1978/10/11 00:00:00,687,
B24H0260,001,1978/12/13 00:00:00,692,
B24H0260,001,1979/04/25 00:00:00,662,
B24H0260,001,1979/08/29 00:00:00,662,
B24H0260,001,1979/10/17 00:00:00,672,
B24H0260,001,1979/12/12 00:00:00,671,
B24H0260,001,1980/04/23 00:00:00,651,
B24H0260,001,1980/08/27 00:00:00,671,
B24H0260,001,1980/10/15 00:00:00,678,
B24H0260,001,1980/12/10 00:00:00,679,
B24H0260,001,1981/04/22 00:00:00,647,
B24H0260,001,1981/08/26 00:00:00,671,
B24H0260,001,1981/10/14 00:00:00,679,
B24H0260,001,1981/12/16 00:00:00,663,
B24H0260,001,1982/04/28 00:00:00,668,
B24H0260,001,1982/08/25 00:00:00,682,
B24H0260,001,1982/10/13 00:00:00,691,
B24H0260,001,1982/12/15 00:00:00,677,
B24H0260,001,1983/04/27 00:00:00,659,
B24H0260,001,1983/08/31 00:00:00,670,
B24H0260,001,1983/10/12 00:00:00,671,
B24H0260,001,1983/12/14 00:00:00,671,
B24H0260,001,1984/04/25 00:00:00,655,
B24H0260,001,1984/08/29 00:00:00,671,
B24H0260,001,1984/10/17 00:00:00,683,
B24H0260,001,1984/12/12 00:00:00,679,
B24H0260,001,1985/04/25 00:00:00,671,
B24H0260,001,1985/08/28 00:00:00,681,
