Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24H1307,001,,99743,486421,730,,716,446,346,2015/02/04,2017/04/19

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24H1307,001,2015/02/26 16:35:03,302,
B24H1307,001,2015/02/27 11:35:47,302,
B24H1307,001,2015/02/28 11:35:41,302,
B24H1307,001,2015/03/01 11:35:35,301,
B24H1307,001,2015/03/02 11:35:33,301,
B24H1307,001,2015/03/03 11:35:26,301,
B24H1307,001,2015/03/04 11:35:22,301,
B24H1307,001,2015/03/05 11:35:17,301,
B24H1307,001,2015/03/06 11:35:13,301,
B24H1307,001,2015/03/07 11:35:08,301,
B24H1307,001,2015/03/08 11:35:02,300,
B24H1307,001,2015/03/09 11:34:58,300,
B24H1307,001,2015/03/10 11:34:56,300,
B24H1307,001,2015/03/11 11:34:54,301,
B24H1307,001,2015/03/12 11:34:52,300,
B24H1307,001,2015/03/13 11:34:34,300,
B24H1307,001,2015/03/14 11:34:28,300,
B24H1307,001,2015/03/15 11:34:23,300,
B24H1307,001,2015/03/16 11:34:17,300,
B24H1307,001,2015/03/17 11:34:13,300,
B24H1307,001,2015/03/18 11:34:08,300,
B24H1307,001,2015/03/19 11:34:06,300,
B24H1307,001,2015/03/20 11:33:58,300,
B24H1307,001,2015/03/21 11:33:56,299,
B24H1307,001,2015/03/22 11:33:46,300,
B24H1307,001,2015/03/23 11:33:42,300,
B24H1307,001,2015/03/24 11:33:36,300,
B24H1307,001,2015/03/25 11:33:31,300,
B24H1307,001,2015/03/26 11:33:29,301,
B24H1307,001,2015/03/27 11:33:20,300,
B24H1307,001,2015/03/28 11:33:14,302,
B24H1307,001,2015/03/29 11:33:10,300,
B24H1307,001,2015/03/30 11:33:05,300,
B24H1307,001,2015/03/31 11:33:01,300,
B24H1307,001,2015/04/01 11:32:54,301,
B24H1307,001,2015/04/02 11:32:49,301,
B24H1307,001,2015/04/03 11:32:43,302,
B24H1307,001,2015/04/04 11:32:41,302,
B24H1307,001,2015/04/05 11:32:39,302,
B24H1307,001,2015/04/06 11:32:37,302,
B24H1307,001,2015/04/07 11:32:35,303,
B24H1307,001,2015/04/08 11:32:17,303,
B24H1307,001,2015/04/09 11:32:15,303,
B24H1307,001,2015/04/10 11:32:13,303,
B24H1307,001,2015/04/11 11:32:01,303,
B24H1307,001,2015/04/12 11:31:56,304,
B24H1307,001,2015/04/13 11:31:49,305,
B24H1307,001,2015/04/14 11:31:43,304,
B24H1307,001,2015/04/15 11:31:38,304,
B24H1307,001,2015/04/16 11:31:33,304,
B24H1307,001,2015/04/17 11:31:26,305,
B24H1307,001,2015/04/18 11:31:20,306,
B24H1307,001,2015/04/19 11:31:14,306,
B24H1307,001,2015/04/20 11:31:09,306,
B24H1307,001,2015/04/21 11:31:02,306,
B24H1307,001,2015/04/22 11:30:56,306,
B24H1307,001,2015/04/23 11:30:41,305,
B24H1307,001,2015/04/24 11:30:47,305,
B24H1307,001,2015/04/25 11:30:33,305,
B24H1307,001,2015/04/26 11:30:37,305,
B24H1307,001,2015/04/27 11:30:31,306,
B24H1307,001,2015/04/28 11:30:26,306,
B24H1307,001,2015/04/29 11:30:10,307,
B24H1307,001,2015/04/30 11:30:15,307,
B24H1307,001,2015/05/01 11:30:10,307,
B24H1307,001,2015/05/02 11:30:04,308,
B24H1307,001,2015/05/03 11:30:02,308,
B24H1307,001,2015/05/04 12:29:53,308,
B24H1307,001,2015/05/05 12:29:51,308,
B24H1307,001,2015/05/06 12:29:41,309,
B24H1307,001,2015/05/07 12:29:35,310,
B24H1307,001,2015/05/08 12:29:30,310,
B24H1307,001,2015/05/09 12:29:28,310,
B24H1307,001,2015/05/10 12:29:18,311,
B24H1307,001,2015/05/11 12:29:12,311,
B24H1307,001,2015/05/12 12:29:06,311,
B24H1307,001,2015/05/13 12:29:00,310,
B24H1307,001,2015/05/14 12:28:54,310,
B24H1307,001,2015/05/15 12:28:48,310,
B24H1307,001,2015/05/16 12:28:41,311,
B24H1307,001,2015/05/17 12:28:35,311,
B24H1307,001,2015/05/18 12:28:30,311,
B24H1307,001,2015/05/19 12:28:25,311,
B24H1307,001,2015/05/20 12:28:19,311,
B24H1307,001,2015/05/21 12:28:14,312,
B24H1307,001,2015/05/22 12:28:12,312,
B24H1307,001,2015/05/23 12:28:01,313,
B24H1307,001,2015/05/24 12:27:56,313,
B24H1307,001,2015/05/25 12:27:50,313,
B24H1307,001,2015/05/26 12:27:45,313,
B24H1307,001,2015/05/27 12:27:43,313,
B24H1307,001,2015/05/28 12:27:41,313,
B24H1307,001,2015/05/29 12:27:39,314,
B24H1307,001,2015/05/30 12:27:22,314,
B24H1307,001,2015/05/31 12:27:20,314,
B24H1307,001,2015/06/01 12:27:11,315,
B24H1307,001,2015/06/02 12:27:09,315,
B24H1307,001,2015/06/03 12:26:59,315,
B24H1307,001,2015/06/04 12:26:57,315,
B24H1307,001,2015/06/05 12:26:47,316,
B24H1307,001,2015/06/06 12:26:41,315,
B24H1307,001,2015/06/07 12:26:35,316,
B24H1307,001,2015/06/08 12:26:29,317,
B24H1307,001,2015/06/09 12:26:27,316,
B24H1307,001,2015/06/10 12:26:17,317,
B24H1307,001,2015/06/11 12:26:11,317,
B24H1307,001,2015/06/12 12:26:05,317,
B24H1307,001,2015/06/13 12:26:00,316,
B24H1307,001,2015/06/14 12:25:54,317,
B24H1307,001,2015/06/15 12:25:49,317,
B24H1307,001,2015/06/16 12:25:43,317,
B24H1307,001,2015/06/17 12:25:41,317,
B24H1307,001,2015/06/18 12:25:30,317,
B24H1307,001,2015/06/19 12:25:25,317,
B24H1307,001,2015/06/20 12:25:20,318,
B24H1307,001,2015/06/21 12:25:20,318,
B24H1307,001,2015/06/22 12:25:18,318,
B24H1307,001,2015/06/23 12:25:16,318,
B24H1307,001,2015/06/24 12:25:02,319,
B24H1307,001,2015/06/25 12:24:56,318,
B24H1307,001,2015/06/26 12:24:54,319,
B24H1307,001,2015/06/27 12:24:52,319,
B24H1307,001,2015/06/28 12:24:50,320,
B24H1307,001,2015/06/29 12:24:48,320,
B24H1307,001,2015/06/30 12:24:37,321,
B24H1307,001,2015/07/01 12:24:31,321,
B24H1307,001,2015/07/02 12:24:24,320,
B24H1307,001,2015/07/03 12:24:18,322,
B24H1307,001,2015/07/04 12:24:07,321,
B24H1307,001,2015/07/05 12:24:06,322,
B24H1307,001,2015/07/06 12:24:04,322,
B24H1307,001,2015/07/07 12:23:55,322,
B24H1307,001,2015/07/08 12:23:49,322,
B24H1307,001,2015/07/09 12:23:44,322,
B24H1307,001,2015/07/10 12:23:42,323,
B24H1307,001,2015/07/11 12:23:39,323,
B24H1307,001,2015/07/12 12:23:27,324,
B24H1307,001,2015/07/13 12:23:21,324,
B24H1307,001,2015/07/14 12:23:15,324,
B24H1307,001,2015/07/15 12:23:10,325,
B24H1307,001,2015/07/16 12:23:08,324,
B24H1307,001,2015/07/17 12:22:58,324,
B24H1307,001,2015/07/18 12:22:52,324,
B24H1307,001,2015/07/19 12:22:47,325,
B24H1307,001,2015/07/20 12:22:44,325,
B24H1307,001,2015/07/21 12:22:34,325,
B24H1307,001,2015/07/22 12:22:32,325,
B24H1307,001,2015/07/23 12:22:23,325,
B24H1307,001,2015/07/24 12:22:17,326,
B24H1307,001,2015/07/25 12:22:11,326,
B24H1307,001,2015/07/26 12:22:09,327,
B24H1307,001,2015/07/27 12:22:07,326,
B24H1307,001,2015/07/28 12:21:52,327,
B24H1307,001,2015/07/29 12:21:47,327,
B24H1307,001,2015/07/30 12:21:42,327,
B24H1307,001,2015/07/31 12:21:39,328,
B24H1307,001,2015/08/01 12:21:37,327,
B24H1307,001,2015/08/02 12:21:21,328,
B24H1307,001,2015/08/03 12:21:19,328,
B24H1307,001,2015/08/04 12:21:17,328,
B24H1307,001,2015/08/05 12:21:15,329,
B24H1307,001,2015/08/06 12:20:57,329,
B24H1307,001,2015/08/07 12:20:55,329,
B24H1307,001,2015/08/08 12:20:53,330,
B24H1307,001,2015/08/09 12:20:51,330,
B24H1307,001,2015/08/10 12:20:35,330,
