Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-08/06/2017
Datum: 08/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A0537,001,25AB0537,104060,489080,113,,100,-2176,-3587,1952/05/28,1959/07/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A0537,001,1952/05/28 00:00:00,330,
B25A0537,001,1952/06/14 00:00:00,323,
B25A0537,001,1952/06/28 00:00:00,330,
B25A0537,001,1952/07/14 00:00:00,339,
B25A0537,001,1952/07/28 00:00:00,313,
B25A0537,001,1952/08/14 00:00:00,323,
B25A0537,001,1952/08/28 00:00:00,323,
B25A0537,001,1952/09/15 00:00:00,318,
B25A0537,001,1952/09/29 00:00:00,301,
B25A0537,001,1952/10/14 00:00:00,305,
B25A0537,001,1952/10/28 00:00:00,305,
B25A0537,001,1952/11/14 00:00:00,307,
B25A0537,001,1952/12/04 00:00:00,297,
B25A0537,001,1952/12/15 00:00:00,283,
B25A0537,001,1952/12/29 00:00:00,249,
B25A0537,001,1953/01/14 00:00:00,293,
B25A0537,001,1953/01/28 00:00:00,293,
B25A0537,001,1953/02/14 00:00:00,293,
B25A0537,001,1953/02/28 00:00:00,313,
B25A0537,001,1953/03/14 00:00:00,301,
B25A0537,001,1953/03/30 00:00:00,274,
B25A0537,001,1953/04/14 00:00:00,327,
B25A0537,001,1953/04/28 00:00:00,332,
B25A0537,001,1953/05/15 00:00:00,313,
B25A0537,001,1953/05/28 00:00:00,358,
B25A0537,001,1953/06/15 00:00:00,338,
B25A0537,001,1953/06/29 00:00:00,355,
B25A0537,001,1953/07/14 00:00:00,338,
B25A0537,001,1953/07/28 00:00:00,343,
B25A0537,001,1953/08/14 00:00:00,385,
B25A0537,001,1953/08/28 00:00:00,383,
B25A0537,001,1953/09/14 00:00:00,308,
B25A0537,001,1953/09/28 00:00:00,318,
B25A0537,001,1953/10/14 00:00:00,338,
B25A0537,001,1953/10/28 00:00:00,329,
B25A0537,001,1953/11/14 00:00:00,338,
B25A0537,001,1953/11/30 00:00:00,317,
B25A0537,001,1953/12/14 00:00:00,338,
B25A0537,001,1953/12/28 00:00:00,313,
B25A0537,001,1954/01/14 00:00:00,340,
B25A0537,001,1954/02/15 00:00:00,327,
B25A0537,001,1954/03/01 00:00:00,298,
B25A0537,001,1954/03/15 00:00:00,300,
B25A0537,001,1954/03/29 00:00:00,313,
B25A0537,001,1954/04/14 00:00:00,338,
B25A0537,001,1954/04/28 00:00:00,335,
B25A0537,001,1954/05/14 00:00:00,371,
B25A0537,001,1954/05/28 00:00:00,395,
B25A0537,001,1954/06/14 00:00:00,343,
B25A0537,001,1954/06/28 00:00:00,337,
B25A0537,001,1954/07/14 00:00:00,383,
B25A0537,001,1954/07/28 00:00:00,343,
B25A0537,001,1954/08/14 00:00:00,318,
B25A0537,001,1954/08/30 00:00:00,295,
B25A0537,001,1954/09/14 00:00:00,322,
B25A0537,001,1954/09/28 00:00:00,323,
B25A0537,001,1954/10/14 00:00:00,298,
B25A0537,001,1954/10/28 00:00:00,308,
B25A0537,001,1954/12/01 00:00:00,292,
B25A0537,001,1954/12/16 00:00:00,323,
B25A0537,001,1954/12/28 00:00:00,363,
B25A0537,001,1955/02/14 00:00:00,289,
B25A0537,001,1955/02/28 00:00:00,285,
B25A0537,001,1955/03/14 00:00:00,298,
B25A0537,001,1955/03/28 00:00:00,283,
B25A0537,001,1955/04/18 00:00:00,299,
B25A0537,001,1955/04/28 00:00:00,333,
B25A0537,001,1955/05/16 00:00:00,303,
B25A0537,001,1955/05/31 00:00:00,303,
B25A0537,001,1955/06/14 00:00:00,346,
B25A0537,001,1955/06/28 00:00:00,349,
B25A0537,001,1955/07/14 00:00:00,381,
B25A0537,001,1955/07/28 00:00:00,361,
B25A0537,001,1955/08/15 00:00:00,343,
B25A0537,001,1955/08/29 00:00:00,352,
B25A0537,001,1955/09/14 00:00:00,336,
B25A0537,001,1955/10/04 00:00:00,357,
B25A0537,001,1955/10/18 00:00:00,328,
B25A0537,001,1955/10/28 00:00:00,333,
B25A0537,001,1955/11/16 00:00:00,335,
B25A0537,001,1955/11/29 00:00:00,333,
B25A0537,001,1955/12/14 00:00:00,338,
B25A0537,001,1955/12/30 00:00:00,330,
B25A0537,001,1956/01/16 00:00:00,285,
B25A0537,001,1956/01/30 00:00:00,297,
B25A0537,001,1956/03/15 00:00:00,323,
B25A0537,001,1956/03/28 00:00:00,333,
B25A0537,001,1956/04/14 00:00:00,312,
B25A0537,001,1956/04/28 00:00:00,316,
B25A0537,001,1956/05/15 00:00:00,322,
B25A0537,001,1956/05/28 00:00:00,319,
B25A0537,001,1956/06/14 00:00:00,324,
B25A0537,001,1956/06/28 00:00:00,345,
B25A0537,001,1956/07/17 00:00:00,340,
B25A0537,001,1956/07/31 00:00:00,327,
B25A0537,001,1956/08/16 00:00:00,333,
B25A0537,001,1956/08/28 00:00:00,337,
B25A0537,001,1956/09/14 00:00:00,335,
B25A0537,001,1956/09/28 00:00:00,336,
B25A0537,001,1956/10/16 00:00:00,329,
B25A0537,001,1956/10/31 00:00:00,328,
B25A0537,001,1956/11/14 00:00:00,313,
B25A0537,001,1956/12/12 00:00:00,328,
B25A0537,001,1956/12/28 00:00:00,323,
B25A0537,001,1957/01/14 00:00:00,285,
B25A0537,001,1957/01/28 00:00:00,308,
B25A0537,001,1957/02/14 00:00:00,293,
B25A0537,001,1957/03/01 00:00:00,321,
B25A0537,001,1957/03/14 00:00:00,330,
B25A0537,001,1957/03/28 00:00:00,322,
B25A0537,001,1957/04/15 00:00:00,313,
B25A0537,001,1957/04/29 00:00:00,323,
B25A0537,001,1957/05/14 00:00:00,338,
B25A0537,001,1957/05/28 00:00:00,341,
B25A0537,001,1957/06/18 00:00:00,378,
B25A0537,001,1957/06/28 00:00:00,343,
B25A0537,001,1957/07/15 00:00:00,363,
B25A0537,001,1957/07/29 00:00:00,291,
B25A0537,001,1957/08/15 00:00:00,333,
B25A0537,001,1957/08/28 00:00:00,321,
B25A0537,001,1957/09/15 00:00:00,278,
B25A0537,001,1957/09/26 00:00:00,303,
B25A0537,001,1957/10/14 00:00:00,303,
B25A0537,001,1957/10/28 00:00:00,256,
B25A0537,001,1957/11/16 00:00:00,252,
B25A0537,001,1957/12/14 00:00:00,303,
B25A0537,001,1957/12/28 00:00:00,243,
B25A0537,001,1958/01/14 00:00:00,291,
B25A0537,001,1958/01/28 00:00:00,268,
B25A0537,001,1958/02/13 00:00:00,279,
B25A0537,001,1958/03/01 00:00:00,273,
B25A0537,001,1958/03/14 00:00:00,313,
B25A0537,001,1958/03/28 00:00:00,323,
B25A0537,001,1958/04/14 00:00:00,289,
B25A0537,001,1958/04/28 00:00:00,273,
B25A0537,001,1958/05/16 00:00:00,286,
B25A0537,001,1958/05/28 00:00:00,313,
B25A0537,001,1958/06/14 00:00:00,318,
B25A0537,001,1958/06/28 00:00:00,313,
B25A0537,001,1958/07/14 00:00:00,320,
B25A0537,001,1958/07/28 00:00:00,290,
B25A0537,001,1958/08/16 00:00:00,328,
B25A0537,001,1958/08/28 00:00:00,335,
B25A0537,001,1958/09/13 00:00:00,335,
B25A0537,001,1958/09/15 00:00:00,283,
B25A0537,001,1958/10/14 00:00:00,303,
B25A0537,001,1958/10/28 00:00:00,311,
B25A0537,001,1958/11/14 00:00:00,293,
B25A0537,001,1958/11/28 00:00:00,313,
B25A0537,001,1959/01/14 00:00:00,303,
B25A0537,001,1959/01/28 00:00:00,293,
B25A0537,001,1959/02/16 00:00:00,303,
B25A0537,001,1959/03/02 00:00:00,263,
B25A0537,001,1959/03/18 00:00:00,313,
B25A0537,001,1959/03/26 00:00:00,318,
B25A0537,001,1959/04/14 00:00:00,313,
B25A0537,001,1959/04/28 00:00:00,323,
B25A0537,001,1959/05/14 00:00:00,358,
B25A0537,001,1959/05/28 00:00:00,358,
B25A0537,001,1959/06/15 00:00:00,333,
B25A0537,001,1959/06/29 00:00:00,333,
