Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-08/06/2017
Datum: 08/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A0556,003,25AP0556,102753,489402,34,,23,-2360,-2460,1958/05/22,1992/04/23
B25A0556,003,25AP0556,102753,489402,34,,22,-2360,-2460,1992/04/23,2005/11/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A0556,003,1958/05/28 00:00:00,192,
B25A0556,003,1958/06/04 00:00:00,175,
B25A0556,003,1958/06/13 00:00:00,170,
B25A0556,003,1958/06/20 00:00:00,208,
B25A0556,003,1958/06/28 00:00:00,165,
B25A0556,003,1958/07/07 00:00:00,154,
B25A0556,003,1958/07/14 00:00:00,162,
B25A0556,003,1958/07/21 00:00:00,169,
B25A0556,003,1958/07/28 00:00:00,158,
B25A0556,003,1958/08/05 00:00:00,161,
B25A0556,003,1958/08/14 00:00:00,171,
B25A0556,003,1958/08/21 00:00:00,186,
B25A0556,003,1958/08/28 00:00:00,173,
B25A0556,003,1958/09/08 00:00:00,175,
B25A0556,003,1958/09/15 00:00:00,178,
B25A0556,003,1958/09/22 00:00:00,147,
B25A0556,003,1958/09/29 00:00:00,144,
B25A0556,003,1958/10/06 00:00:00,137,
B25A0556,003,1958/10/14 00:00:00,145,
B25A0556,003,1958/10/28 00:00:00,152,
B25A0556,003,1958/11/12 00:00:00,146,
B25A0556,003,1958/11/28 00:00:00,153,
B25A0556,003,1958/12/15 00:00:00,115,
B25A0556,003,1958/12/29 00:00:00,118,
B25A0556,003,1959/01/14 00:00:00,134,
B25A0556,003,1959/02/02 00:00:00,149,
B25A0556,003,1959/02/14 00:00:00,154,
B25A0556,003,1959/02/28 00:00:00,149,
B25A0556,003,1959/03/14 00:00:00,158,
B25A0556,003,1959/03/31 00:00:00,144,
B25A0556,003,1959/04/14 00:00:00,152,
B25A0556,003,1959/04/28 00:00:00,161,
B25A0556,003,1959/05/14 00:00:00,224,
B25A0556,003,1959/06/04 00:00:00,209,
B25A0556,003,1959/06/15 00:00:00,174,
B25A0556,003,1959/06/29 00:00:00,170,
B25A0556,003,1959/07/13 00:00:00,202,
B25A0556,003,1959/07/28 00:00:00,210,
B25A0556,003,1959/08/14 00:00:00,191,
B25A0556,003,1959/08/28 00:00:00,216,
B25A0556,003,1959/09/14 00:00:00,214,
B25A0556,003,1959/09/28 00:00:00,190,
B25A0556,003,1959/10/14 00:00:00,199,
B25A0556,003,1959/10/28 00:00:00,176,
B25A0556,003,1959/11/13 00:00:00,173,
B25A0556,003,1959/11/27 00:00:00,172,
