Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1214,002,25AP1214,108175,492500,-290,,-296,-5496,-5596,1987/06/24,2016/10/21

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1214,002,1988/04/15 14:45:00,-102,
B25A1214,002,1988/04/28 15:15:00,-99,
B25A1214,002,1988/05/16 16:00:00,-90,
B25A1214,002,1988/05/27 15:00:00,-86,
B25A1214,002,1988/06/14 15:40:00,-88,
B25A1214,002,1988/06/28 15:15:00,-86,
B25A1214,002,1988/07/14 15:10:00,-98,
B25A1214,002,1988/07/28 00:00:00,-90,
B25A1214,002,1988/08/15 15:30:00,-88,
B25A1214,002,1988/08/29 00:00:00,-94,
B25A1214,002,1988/09/14 15:00:00,-90,
B25A1214,002,1988/09/28 15:30:00,-96,
B25A1214,002,1988/10/14 15:30:00,-98,
B25A1214,002,1988/10/28 15:08:00,-96,
B25A1214,002,1988/11/14 15:10:00,-94,
B25A1214,002,1988/11/28 00:00:00,-102,
B25A1214,002,1988/12/14 14:55:00,-102,
B25A1214,002,1988/12/28 00:00:00,-102,
B25A1214,002,1989/01/13 14:35:00,-102,
B25A1214,002,1989/01/27 15:00:00,-98,
B25A1214,002,1989/02/14 15:15:00,-100,
B25A1214,002,1989/03/14 15:30:00,-98,
B25A1214,002,1989/03/28 15:30:00,-99,
B25A1214,002,1989/04/14 00:00:00,-100,
B25A1214,002,1989/04/28 00:00:00,-96,
B25A1214,002,1989/05/16 00:00:00,-90,
B25A1214,002,1989/05/29 00:00:00,-81,
B25A1214,002,1989/06/14 15:20:00,-84,
B25A1214,002,1989/06/26 15:55:00,-80,
B25A1214,002,1989/07/14 14:45:00,-80,
B25A1214,002,1989/07/28 00:00:00,-77,
B25A1214,002,1989/08/14 15:20:00,-86,
B25A1214,002,1989/08/28 15:15:00,-84,
B25A1214,002,1989/09/14 15:35:00,-86,
B25A1214,002,1989/09/28 15:00:00,-85,
B25A1214,002,1989/10/16 15:20:00,-89,
B25A1214,002,1989/10/30 15:15:00,-96,
B25A1214,002,1989/11/15 14:25:00,-92,
B25A1214,002,1989/11/28 14:25:00,-89,
B25A1214,002,1989/12/14 15:30:00,-98,
B25A1214,002,1989/12/28 15:10:00,-97,
B25A1214,002,1990/01/15 15:30:00,-96,
B25A1214,002,1990/01/29 15:40:00,-104,
