Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1269,002,25AP1269,109075,494200,-79,,-88,-2288,-2388,1989/04/28,1995/02/16
B25A1269,002,25AP1269,109075,494200,-79,,-91,-2288,-2388,1995/02/16,2016/10/21

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1269,002,1989/04/28 00:00:00,60,
B25A1269,002,1989/05/16 00:00:00,65,
B25A1269,002,1989/05/29 00:00:00,65,
B25A1269,002,1989/06/14 15:50:00,67,
B25A1269,002,1989/06/26 16:00:00,60,
B25A1269,002,1989/07/14 15:15:00,65,
B25A1269,002,1989/07/28 00:00:00,59,
B25A1269,002,1989/08/14 15:40:00,55,
B25A1269,002,1989/08/28 14:55:00,59,
B25A1269,002,1989/09/14 15:25:00,51,
B25A1269,002,1989/09/28 14:50:00,51,
B25A1269,002,1989/10/16 15:00:00,52,
B25A1269,002,1989/10/30 15:05:00,49,
B25A1269,002,1989/11/15 14:55:00,49,
B25A1269,002,1989/11/28 14:10:00,49,
B25A1269,002,1989/12/14 15:10:00,51,
B25A1269,002,1989/12/28 14:35:00,54,
B25A1269,002,1990/01/15 15:10:00,59,
B25A1269,002,1990/01/29 15:10:00,57,
B25A1269,002,1990/02/14 15:10:00,49,
B25A1269,002,1990/02/28 14:45:00,52,
B25A1269,002,1990/03/14 14:45:00,61,
B25A1269,002,1990/03/28 14:40:00,61,
B25A1269,002,1990/04/12 15:00:00,61,
B25A1269,002,1990/04/15 00:00:00,61,
B25A1269,002,1990/04/27 14:45:00,62,
B25A1269,002,1990/05/28 14:20:00,69,
B25A1269,002,1990/06/14 14:40:00,60,
B25A1269,002,1990/06/28 15:10:00,61,
B25A1269,002,1990/07/13 14:45:00,59,
B25A1269,002,1990/07/30 14:45:00,63,
B25A1269,002,1990/08/14 15:00:00,58,
B25A1269,002,1990/08/28 15:00:00,55,
B25A1269,002,1990/09/14 14:40:00,59,
B25A1269,002,1990/10/01 00:00:00,53,
B25A1269,002,1990/10/15 00:00:00,51,
B25A1269,002,1990/10/29 14:50:00,65,
B25A1269,002,1990/11/14 00:00:00,47,
B25A1269,002,1990/11/28 15:25:00,44,
B25A1269,002,1990/12/14 15:10:00,49,
B25A1269,002,1990/12/28 13:45:00,53,
B25A1269,002,1991/01/14 00:00:00,59,
B25A1269,002,1991/01/28 14:45:00,61,
B25A1269,002,1991/02/28 15:15:00,63,
B25A1269,002,1991/03/14 14:35:00,69,
B25A1269,002,1991/03/28 00:00:00,63,
B25A1269,002,1991/04/15 14:45:00,75,
B25A1269,002,1991/04/26 00:00:00,59,
B25A1269,002,1991/05/14 00:00:00,69,
B25A1269,002,1991/05/28 00:00:00,68,
B25A1269,002,1991/06/14 14:30:00,71,
B25A1269,002,1991/06/28 14:00:00,66,
B25A1269,002,1991/07/15 15:00:00,67,
B25A1269,002,1991/07/29 15:15:00,63,
B25A1269,002,1991/08/14 15:10:00,69,
B25A1269,002,1991/08/28 14:35:00,71,
B25A1269,002,1991/09/13 14:15:00,73,
B25A1269,002,1991/09/27 00:00:00,59,
B25A1269,002,1991/10/14 14:35:00,57,
B25A1269,002,1991/10/28 14:45:00,57,
B25A1269,002,1991/11/14 14:50:00,53,
B25A1269,002,1991/11/28 14:40:00,61,
B25A1269,002,1991/12/13 14:45:00,63,
B25A1269,002,1991/12/30 00:00:00,61,
B25A1269,002,1992/01/14 14:45:00,57,
B25A1269,002,1992/01/28 14:20:00,65,
B25A1269,002,1992/02/14 00:00:00,66,
B25A1269,002,1992/02/28 14:50:00,63,
B25A1269,002,1992/03/13 14:45:00,61,
B25A1269,002,1992/03/27 14:40:00,70,
B25A1269,002,1992/04/14 14:10:00,68,
B25A1269,002,1992/04/28 00:00:00,65,
B25A1269,002,1992/05/14 14:30:00,69,
B25A1269,002,1992/05/29 00:00:00,69,
B25A1269,002,1992/06/15 14:45:00,69,
B25A1269,002,1992/06/29 14:30:00,71,
B25A1269,002,1992/07/14 00:00:00,62,
B25A1269,002,1992/07/28 15:45:00,67,
B25A1269,002,1992/08/13 14:30:00,67,
B25A1269,002,1992/08/28 14:50:00,59,
B25A1269,002,1992/09/14 14:45:00,59,
B25A1269,002,1992/09/28 14:45:00,61,
B25A1269,002,1992/10/14 14:45:00,61,
B25A1269,002,1992/10/28 13:45:00,52,
B25A1269,002,1992/11/13 13:30:00,59,
B25A1269,002,1992/11/30 14:30:00,57,
B25A1269,002,1992/12/14 13:30:00,55,
B25A1269,002,1992/12/28 00:00:00,65,
B25A1269,002,1993/01/14 13:30:00,64,
B25A1269,002,1993/01/28 13:45:00,65,
B25A1269,002,1993/02/15 14:30:00,69,
B25A1269,002,1993/03/01 13:45:00,70,
B25A1269,002,1993/03/15 14:35:00,73,
B25A1269,002,1993/03/29 14:10:00,75,
B25A1269,002,1993/04/14 13:50:00,71,
B25A1269,002,1993/04/28 14:20:00,67,
B25A1269,002,1993/05/14 13:40:00,69,
B25A1269,002,1993/05/28 14:10:00,71,
B25A1269,002,1993/06/14 14:20:00,81,
B25A1269,002,1993/06/28 14:40:00,91,
B25A1269,002,1993/07/14 14:15:00,81,
B25A1269,002,1993/07/28 14:45:00,87,
B25A1269,002,1993/08/13 14:20:00,88,
B25A1269,002,1993/08/27 13:30:00,83,
B25A1269,002,1993/09/14 11:00:00,81,
B25A1269,002,1993/09/28 14:10:00,69,
B25A1269,002,1993/10/14 14:30:00,71,
B25A1269,002,1993/10/28 13:40:00,81,
B25A1269,002,1993/11/15 13:30:00,71,
B25A1269,002,1993/11/29 14:10:00,89,
B25A1269,002,1993/12/14 14:10:00,87,
B25A1269,002,1993/12/28 13:45:00,89,
B25A1269,002,1994/01/14 14:00:00,89,
B25A1269,002,1994/01/28 12:50:00,89,
B25A1269,002,1994/03/14 14:10:00,107,
B25A1269,002,1994/03/28 14:20:00,91,
B25A1269,002,1994/04/14 15:15:00,99,
B25A1269,002,1994/04/28 14:10:00,101,
B25A1269,002,1994/05/16 14:45:00,101,
B25A1269,002,1994/05/31 14:10:00,95,
B25A1269,002,1994/06/15 14:10:00,91,
B25A1269,002,1994/06/28 14:15:00,91,
B25A1269,002,1994/07/15 14:00:00,87,
B25A1269,002,1994/07/28 14:15:00,87,
B25A1269,002,1994/08/15 14:10:00,81,
B25A1269,002,1994/08/29 14:45:00,69,
B25A1269,002,1994/09/14 14:15:00,65,
B25A1269,002,1994/09/28 14:20:00,69,
B25A1269,002,1994/10/14 14:10:00,57,
B25A1269,002,1994/10/27 14:10:00,49,
B25A1269,002,1994/11/14 14:20:00,55,
B25A1269,002,1994/11/29 14:10:00,59,
B25A1269,002,1994/12/14 14:20:00,59,
B25A1269,002,1994/12/28 14:15:00,41,
B25A1269,002,1994/12/29 14:15:00,41,
B25A1269,002,1995/01/27 11:50:00,51,
B25A1269,002,1995/02/14 14:00:00,53,
B25A1269,002,1995/02/28 14:00:00,62,
B25A1269,002,1995/03/14 13:45:00,64,
B25A1269,002,1995/03/28 13:45:00,64,
B25A1269,002,1995/04/13 14:00:00,70,
B25A1269,002,1995/04/28 13:45:00,72,
B25A1269,002,1995/05/15 13:35:00,68,
B25A1269,002,1995/05/29 13:45:00,66,
B25A1269,002,1995/06/14 14:00:00,60,
B25A1269,002,1995/06/28 13:45:00,64,
B25A1269,002,1995/07/14 00:00:00,56,
