Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1361,001,25AP0126,104120,495565,377,,371,66,-34,1991/07/14,1996/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1361,001,1992/02/14 00:00:00,122,
B25A1361,001,1992/02/28 00:00:00,126,
B25A1361,001,1992/03/14 00:00:00,124,
B25A1361,001,1992/03/28 00:00:00,117,
B25A1361,001,1992/04/14 00:00:00,121,
B25A1361,001,1992/04/28 00:00:00,123,
B25A1361,001,1992/05/14 00:00:00,121,
B25A1361,001,1992/05/28 00:00:00,132,
B25A1361,001,1992/06/15 00:00:00,138,
B25A1361,001,1992/06/30 00:00:00,141,
B25A1361,001,1992/08/28 00:00:00,130,
B25A1361,001,1992/09/15 00:00:00,129,
B25A1361,001,1992/09/28 00:00:00,138,
B25A1361,001,1992/10/14 00:00:00,141,
B25A1361,001,1992/10/28 00:00:00,96,
B25A1361,001,1992/11/12 00:00:00,93,
B25A1361,001,1992/11/27 00:00:00,82,
B25A1361,001,1992/12/15 00:00:00,86,
B25A1361,001,1992/12/29 00:00:00,98,
B25A1361,001,1993/01/15 00:00:00,85,
B25A1361,001,1993/01/29 00:00:00,95,
B25A1361,001,1993/02/16 00:00:00,111,
B25A1361,001,1993/03/02 00:00:00,108,
B25A1361,001,1993/03/16 00:00:00,116,
B25A1361,001,1993/03/30 00:00:00,119,
B25A1361,001,1993/04/15 00:00:00,121,
B25A1361,001,1993/04/28 00:00:00,121,
B25A1361,001,1993/05/14 00:00:00,120,
B25A1361,001,1993/05/28 00:00:00,135,
B25A1361,001,1993/06/15 00:00:00,142,
B25A1361,001,1993/06/29 00:00:00,140,
B25A1361,001,1993/07/15 00:00:00,142,
B25A1361,001,1993/07/29 00:00:00,120,
B25A1361,001,1993/08/12 00:00:00,126,
B25A1361,001,1993/08/25 00:00:00,130,
B25A1361,001,1993/09/15 00:00:00,112,
B25A1361,001,1993/09/29 00:00:00,101,
B25A1361,001,1993/10/15 00:00:00,99,
B25A1361,001,1993/10/29 00:00:00,100,
B25A1361,001,1993/11/16 00:00:00,95,
B25A1361,001,1993/11/30 00:00:00,107,
B25A1361,001,1993/12/14 00:00:00,87,
B25A1361,001,1993/12/29 00:00:00,83,
B25A1361,001,1994/01/13 00:00:00,84,
B25A1361,001,1994/01/28 00:00:00,87,
B25A1361,001,1994/02/15 00:00:00,102,
B25A1361,001,1994/03/01 00:00:00,108,
B25A1361,001,1994/03/15 00:00:00,98,
B25A1361,001,1994/03/29 00:00:00,86,
B25A1361,001,1994/04/15 00:00:00,81,
B25A1361,001,1994/04/28 00:00:00,101,
B25A1361,001,1994/05/17 00:00:00,109,
B25A1361,001,1994/05/27 00:00:00,111,
B25A1361,001,1994/06/14 00:00:00,118,
B25A1361,001,1994/06/28 00:00:00,123,
B25A1361,001,1994/07/15 00:00:00,131,
B25A1361,001,1994/07/29 00:00:00,138,
B25A1361,001,1994/08/16 00:00:00,137,
B25A1361,001,1994/08/30 00:00:00,131,
B25A1361,001,1994/09/15 00:00:00,117,
B25A1361,001,1994/09/29 00:00:00,102,
B25A1361,001,1994/10/14 00:00:00,99,
B25A1361,001,1994/10/28 00:00:00,84,
B25A1361,001,1994/11/15 00:00:00,76,
B25A1361,001,1994/11/29 00:00:00,92,
B25A1361,001,1994/12/14 00:00:00,83,
B25A1361,001,1994/12/28 00:00:00,63,
B25A1361,001,1995/01/13 00:00:00,75,
B25A1361,001,1995/01/27 00:00:00,66,
B25A1361,001,1995/02/14 00:00:00,75,
B25A1361,001,1995/02/28 00:00:00,77,
B25A1361,001,1995/03/14 00:00:00,78,
B25A1361,001,1995/03/28 00:00:00,88,
