Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1506,004,,104470,492127,,,47,-3153,-3253,2000/01/01,2005/01/12

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1506,004,2000/08/01 11:37:00,,
B25A1506,004,2000/08/02 11:37:00,,
B25A1506,004,2000/08/03 11:37:00,,
B25A1506,004,2000/08/04 11:37:00,,
B25A1506,004,2000/08/05 11:37:00,,
B25A1506,004,2000/08/06 11:37:00,,
B25A1506,004,2000/08/07 11:37:00,,
B25A1506,004,2000/08/08 11:37:00,,
B25A1506,004,2000/08/09 11:37:00,,
B25A1506,004,2000/08/10 11:37:00,,
B25A1506,004,2000/08/11 11:37:00,,
B25A1506,004,2000/08/12 11:37:00,,
B25A1506,004,2000/08/13 11:37:00,,
B25A1506,004,2000/08/14 11:37:00,,
B25A1506,004,2000/08/15 11:37:00,,
B25A1506,004,2000/08/16 11:37:00,,
B25A1506,004,2000/08/17 11:37:00,,
B25A1506,004,2000/08/18 11:37:00,,
B25A1506,004,2000/08/19 11:37:00,,
B25A1506,004,2000/08/20 11:37:00,,
B25A1506,004,2000/08/21 11:37:00,,
B25A1506,004,2000/08/22 11:37:00,,
B25A1506,004,2000/08/23 11:37:00,,
B25A1506,004,2000/08/24 11:37:00,,
B25A1506,004,2000/08/25 11:37:00,,
B25A1506,004,2000/08/26 11:37:00,,
B25A1506,004,2000/08/27 11:37:00,,
B25A1506,004,2000/08/28 11:37:00,,
B25A1506,004,2000/08/29 11:37:00,,
B25A1506,004,2000/08/30 11:37:00,,
B25A1506,004,2000/08/31 11:37:00,,
B25A1506,004,2000/09/01 11:37:00,,
B25A1506,004,2000/09/02 11:37:00,,
B25A1506,004,2000/09/03 11:37:00,,
B25A1506,004,2000/09/04 11:37:00,,
B25A1506,004,2000/09/05 11:37:00,,
B25A1506,004,2000/09/06 11:37:00,,
B25A1506,004,2000/09/07 11:37:00,,
B25A1506,004,2000/09/08 11:37:00,,
B25A1506,004,2000/09/09 11:37:00,,
B25A1506,004,2000/09/10 11:37:00,,
B25A1506,004,2000/09/11 11:37:00,,
B25A1506,004,2000/09/12 11:37:00,,
B25A1506,004,2000/09/13 11:37:00,,
B25A1506,004,2000/09/14 11:37:00,,
B25A1506,004,2000/09/15 11:37:00,,
B25A1506,004,2000/09/16 11:37:00,,
B25A1506,004,2000/09/17 11:37:00,,
B25A1506,004,2000/09/18 11:37:00,,
B25A1506,004,2000/09/19 11:37:00,,
B25A1506,004,2000/09/20 11:37:00,,
B25A1506,004,2000/09/21 11:37:00,,
B25A1506,004,2000/09/22 11:37:00,,
B25A1506,004,2000/09/23 11:37:00,,
B25A1506,004,2000/09/24 11:37:00,,
B25A1506,004,2000/09/25 11:37:00,,
B25A1506,004,2000/09/26 11:37:00,,
B25A1506,004,2000/09/27 11:37:00,,
B25A1506,004,2000/09/28 11:37:00,,
B25A1506,004,2000/09/29 11:37:00,,
B25A1506,004,2000/09/30 11:37:00,,
B25A1506,004,2000/10/01 11:37:00,,
B25A1506,004,2000/10/02 11:37:00,,
B25A1506,004,2000/10/03 11:37:00,,
B25A1506,004,2000/10/04 11:37:00,,
B25A1506,004,2000/10/05 11:37:00,,
B25A1506,004,2000/10/06 11:37:00,,
B25A1506,004,2000/10/07 11:37:00,,
B25A1506,004,2000/10/08 11:37:00,,
B25A1506,004,2000/10/09 11:37:00,,
B25A1506,004,2000/10/10 11:37:00,,
B25A1506,004,2000/10/11 11:37:00,,
B25A1506,004,2000/10/12 11:37:00,,
B25A1506,004,2000/10/13 11:37:00,,
B25A1506,004,2000/10/14 11:37:00,,
B25A1506,004,2000/10/15 11:37:00,,
B25A1506,004,2000/10/16 11:37:00,,
B25A1506,004,2000/10/17 11:37:00,,
B25A1506,004,2000/10/18 11:37:00,,
B25A1506,004,2000/10/19 11:37:00,,
B25A1506,004,2000/10/20 11:37:00,,
B25A1506,004,2000/10/21 11:37:00,,
B25A1506,004,2000/10/22 11:37:00,,
B25A1506,004,2000/10/23 11:37:00,,
B25A1506,004,2000/10/24 11:37:00,,
B25A1506,004,2000/10/25 11:37:00,,
B25A1506,004,2000/10/26 11:37:00,,
B25A1506,004,2000/10/27 11:37:00,,
B25A1506,004,2000/10/28 11:37:00,,
B25A1506,004,2000/10/29 11:37:00,,
B25A1506,004,2000/10/30 11:37:00,,
B25A1506,004,2000/10/31 11:37:00,,
B25A1506,004,2000/11/01 11:37:00,,
B25A1506,004,2000/11/02 11:37:00,,
B25A1506,004,2000/11/03 11:37:00,,
B25A1506,004,2000/11/04 11:37:00,,
B25A1506,004,2000/11/05 11:37:00,,
B25A1506,004,2000/11/06 11:37:00,,
B25A1506,004,2000/11/07 11:37:00,,
B25A1506,004,2000/11/08 11:37:00,,
B25A1506,004,2000/11/09 11:37:00,,
B25A1506,004,2000/11/10 11:37:00,,
B25A1506,004,2000/11/11 11:37:00,,
B25A1506,004,2000/11/12 11:37:00,,
B25A1506,004,2000/11/13 11:37:00,,
B25A1506,004,2000/11/14 11:37:00,,
B25A1506,004,2000/11/15 11:37:00,,
B25A1506,004,2000/11/16 11:37:00,,
B25A1506,004,2000/11/17 11:37:00,,
B25A1506,004,2000/11/18 11:37:00,,
B25A1506,004,2000/11/19 11:37:00,,
B25A1506,004,2000/11/20 11:37:00,,
B25A1506,004,2000/11/21 11:37:00,,
B25A1506,004,2000/11/22 11:37:00,,
B25A1506,004,2000/11/23 11:37:00,,
B25A1506,004,2000/11/24 11:37:00,,
B25A1506,004,2000/11/25 11:37:00,,
B25A1506,004,2000/11/26 11:37:00,,
B25A1506,004,2000/11/27 11:37:00,,
B25A1506,004,2000/11/28 11:37:00,,
B25A1506,004,2000/11/29 11:37:00,,
B25A1506,004,2000/11/30 11:37:00,,
B25A1506,004,2000/12/01 11:37:00,,
B25A1506,004,2000/12/02 11:37:00,,
B25A1506,004,2000/12/03 11:37:00,,
B25A1506,004,2000/12/04 11:37:00,,
B25A1506,004,2000/12/05 11:37:00,,
B25A1506,004,2000/12/06 11:37:00,,
B25A1506,004,2000/12/07 11:37:00,,
B25A1506,004,2000/12/08 11:37:00,,
B25A1506,004,2000/12/09 11:37:00,,
B25A1506,004,2000/12/10 11:37:00,,
B25A1506,004,2000/12/11 11:37:00,,
B25A1506,004,2000/12/12 11:37:00,,
B25A1506,004,2000/12/13 11:37:00,,
B25A1506,004,2000/12/14 11:37:00,,
B25A1506,004,2000/12/15 11:37:00,,
B25A1506,004,2000/12/16 11:37:00,,
B25A1506,004,2000/12/17 11:37:00,,
B25A1506,004,2000/12/18 11:37:00,,
B25A1506,004,2000/12/19 11:37:00,,
B25A1506,004,2000/12/20 11:37:00,,
B25A1506,004,2000/12/21 11:37:00,,
B25A1506,004,2000/12/22 11:37:00,,
B25A1506,004,2000/12/23 11:37:00,,
B25A1506,004,2000/12/24 11:37:00,,
B25A1506,004,2000/12/25 11:37:00,,
B25A1506,004,2000/12/26 11:37:00,,
B25A1506,004,2000/12/27 11:37:00,,
B25A1506,004,2000/12/28 11:37:00,,
B25A1506,004,2000/12/29 11:37:00,,
B25A1506,004,2000/12/30 11:37:00,,
B25A1506,004,2000/12/31 11:37:00,,
B25A1506,004,2001/01/01 11:37:00,,
B25A1506,004,2001/01/02 11:37:00,,
B25A1506,004,2001/01/03 11:37:00,,
B25A1506,004,2001/01/04 11:37:00,,
B25A1506,004,2001/01/05 11:37:00,,
B25A1506,004,2001/01/06 11:37:00,,
B25A1506,004,2001/01/07 11:37:00,,
B25A1506,004,2001/01/08 11:37:00,,
B25A1506,004,2001/01/09 11:37:00,,
B25A1506,004,2001/01/10 11:37:00,,
B25A1506,004,2001/01/11 11:37:00,,
B25A1506,004,2001/01/12 11:37:00,,
B25A1506,004,2001/01/13 11:37:00,,
B25A1506,004,2001/01/14 11:37:00,,
B25A1506,004,2001/01/15 11:37:00,,
B25A1506,004,2001/01/16 11:37:00,,
B25A1506,004,2001/01/17 11:37:00,,
B25A1506,004,2001/01/18 11:37:00,,
B25A1506,004,2001/01/19 11:37:00,,
B25A1506,004,2001/01/20 11:37:00,,
B25A1506,004,2001/01/21 11:37:00,,
B25A1506,004,2001/01/22 11:37:00,,
B25A1506,004,2001/01/23 11:37:00,,
B25A1506,004,2001/01/24 11:37:00,,
B25A1506,004,2001/01/25 11:37:00,,
B25A1506,004,2001/01/26 11:37:00,,
B25A1506,004,2001/01/27 11:37:00,,
B25A1506,004,2001/01/28 11:37:00,,
B25A1506,004,2001/01/29 11:37:00,,
B25A1506,004,2001/01/30 11:37:00,,
B25A1506,004,2001/01/31 11:37:00,,
B25A1506,004,2001/02/01 11:37:00,,
B25A1506,004,2001/02/02 11:37:00,,
B25A1506,004,2001/02/03 11:37:00,,
B25A1506,004,2001/02/04 11:37:00,,
B25A1506,004,2001/02/05 11:37:00,,
B25A1506,004,2001/02/06 11:37:00,,
B25A1506,004,2001/02/07 11:37:00,,
B25A1506,004,2001/02/08 11:37:00,,
B25A1506,004,2001/02/09 11:37:00,,
B25A1506,004,2001/02/10 11:37:00,,
B25A1506,004,2001/02/11 11:37:00,,
B25A1506,004,2001/02/12 11:37:00,,
B25A1506,004,2001/02/13 11:37:00,,
B25A1506,004,2001/02/14 11:37:00,,
B25A1506,004,2001/02/15 11:37:00,,
B25A1506,004,2001/02/16 11:37:00,,
B25A1506,004,2001/02/17 11:37:00,,
B25A1506,004,2001/02/18 11:37:00,,
B25A1506,004,2001/02/19 11:37:00,,
B25A1506,004,2001/02/20 11:37:00,,
B25A1506,004,2001/02/21 11:37:00,,
B25A1506,004,2001/02/22 11:37:00,,
B25A1506,004,2001/02/23 11:37:00,,
B25A1506,004,2001/02/24 11:37:00,,
B25A1506,004,2001/02/25 11:37:00,,
B25A1506,004,2001/02/26 11:37:00,,
B25A1506,004,2001/02/27 11:37:00,,
B25A1506,004,2001/02/28 11:37:00,,
B25A1506,004,2001/03/01 11:37:00,,
B25A1506,004,2001/03/02 11:37:00,,
B25A1506,004,2001/03/03 11:37:00,,
B25A1506,004,2001/03/04 11:37:00,,
B25A1506,004,2001/03/05 11:37:00,,
B25A1506,004,2001/03/06 11:37:00,,
B25A1506,004,2001/03/07 11:37:00,,
B25A1506,004,2001/03/08 11:37:00,,
B25A1506,004,2001/03/09 11:37:00,,
B25A1506,004,2001/03/10 11:37:00,,
B25A1506,004,2001/03/11 11:37:00,,
B25A1506,004,2001/03/12 11:37:00,,
B25A1506,004,2001/03/13 11:37:00,,
B25A1506,004,2001/03/14 11:37:00,,
B25A1506,004,2001/03/15 11:37:00,,
B25A1506,004,2001/03/16 11:37:00,,
B25A1506,004,2001/03/17 11:37:00,,
B25A1506,004,2001/03/18 11:37:00,,
B25A1506,004,2001/03/19 11:37:00,,
B25A1506,004,2001/03/20 11:37:00,,
B25A1506,004,2001/03/21 11:37:00,,
B25A1506,004,2001/03/22 11:37:00,,
B25A1506,004,2001/03/23 11:37:00,,
B25A1506,004,2001/03/24 11:37:00,,
B25A1506,004,2001/03/25 11:37:00,,
B25A1506,004,2001/03/26 11:37:00,,
B25A1506,004,2001/03/27 11:37:00,,
B25A1506,004,2001/03/28 11:37:00,,
B25A1506,004,2001/03/29 11:37:00,,
B25A1506,004,2001/03/30 11:37:00,,
B25A1506,004,2001/03/31 11:37:00,,
B25A1506,004,2001/04/01 11:37:00,,
B25A1506,004,2001/04/02 11:37:00,,
B25A1506,004,2001/04/03 11:37:00,,
B25A1506,004,2001/04/04 11:37:00,,
B25A1506,004,2001/04/05 11:37:00,,
B25A1506,004,2001/04/06 11:37:00,,
