Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1511,001,25AB0061,105040,492500,47,,37,-1723,-3393,1952/05/28,1996/06/20
B25A1511,001,25AB0061,105040,492500,48,,32,-1723,-3393,1996/06/20,2000/03/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1511,001,1952/05/28 00:00:00,160,
B25A1511,001,1952/06/14 00:00:00,146,
B25A1511,001,1952/06/28 00:00:00,145,
B25A1511,001,1952/07/14 00:00:00,165,
B25A1511,001,1952/07/28 00:00:00,177,
B25A1511,001,1952/08/14 00:00:00,168,
B25A1511,001,1952/08/28 00:00:00,170,
B25A1511,001,1952/09/15 00:00:00,170,
B25A1511,001,1952/09/29 00:00:00,138,
B25A1511,001,1952/10/14 00:00:00,123,
B25A1511,001,1952/10/28 00:00:00,130,
B25A1511,001,1952/11/14 00:00:00,120,
B25A1511,001,1952/12/04 00:00:00,126,
B25A1511,001,1952/12/15 00:00:00,117,
B25A1511,001,1952/12/29 00:00:00,104,
B25A1511,001,1953/01/14 00:00:00,122,
B25A1511,001,1953/01/28 00:00:00,129,
B25A1511,001,1953/02/14 00:00:00,110,
B25A1511,001,1953/02/28 00:00:00,133,
B25A1511,001,1953/03/14 00:00:00,160,
B25A1511,001,1953/03/30 00:00:00,142,
B25A1511,001,1953/04/14 00:00:00,140,
B25A1511,001,1953/04/28 00:00:00,143,
B25A1511,001,1953/05/15 00:00:00,153,
B25A1511,001,1953/05/28 00:00:00,160,
B25A1511,001,1953/06/15 00:00:00,155,
B25A1511,001,1953/06/29 00:00:00,162,
B25A1511,001,1953/07/14 00:00:00,162,
B25A1511,001,1953/07/28 00:00:00,168,
B25A1511,001,1953/08/14 00:00:00,175,
B25A1511,001,1953/08/28 00:00:00,165,
B25A1511,001,1953/09/14 00:00:00,160,
