Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1513,001,25AP0001,100000,494750,653,,727,-147,-247,1956/01/17,1973/07/27
B25A1513,001,25AP0001,100000,494750,653,,676,-147,-247,1973/07/27,1982/04/26
B25A1513,001,25AP0001,100000,494750,670,,683,-147,-247,1982/04/26,2015/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1513,001,1956/01/17 00:00:00,196,
B25A1513,001,1956/03/21 00:00:00,177,
B25A1513,001,1956/04/18 00:00:00,178,
B25A1513,001,1956/05/18 00:00:00,182,
B25A1513,001,1956/06/15 00:00:00,193,
B25A1513,001,1956/07/14 00:00:00,196,
B25A1513,001,1956/08/16 00:00:00,206,
B25A1513,001,1956/09/14 00:00:00,212,
B25A1513,001,1956/10/19 00:00:00,218,
B25A1513,001,1956/11/11 00:00:00,218,
B25A1513,001,1956/12/06 00:00:00,224,
B25A1513,001,1957/01/05 00:00:00,222,
B25A1513,001,1957/02/02 00:00:00,226,
B25A1513,001,1957/03/01 00:00:00,215,
B25A1513,001,1957/04/04 00:00:00,207,
B25A1513,001,1957/05/02 00:00:00,216,
B25A1513,001,1957/06/06 00:00:00,227,
B25A1513,001,1957/07/10 00:00:00,231,
B25A1513,001,1957/08/02 00:00:00,237,
B25A1513,001,1957/09/05 00:00:00,223,
B25A1513,001,1957/10/04 00:00:00,214,
B25A1513,001,1957/11/07 00:00:00,197,
B25A1513,001,1957/12/06 00:00:00,186,
B25A1513,001,1958/01/09 00:00:00,171,
B25A1513,001,1958/02/07 00:00:00,172,
B25A1513,001,1958/03/06 00:00:00,164,
B25A1513,001,1958/04/02 00:00:00,152,
B25A1513,001,1958/05/07 00:00:00,148,
B25A1513,001,1958/06/05 00:00:00,152,
B25A1513,001,1958/07/03 00:00:00,165,
B25A1513,001,1958/08/06 00:00:00,171,
B25A1513,001,1958/09/03 00:00:00,186,
B25A1513,001,1958/10/08 00:00:00,195,
B25A1513,001,1958/11/05 00:00:00,192,
B25A1513,001,1958/12/04 00:00:00,157,
B25A1513,001,1959/01/07 00:00:00,184,
B25A1513,001,1959/02/06 00:00:00,170,
B25A1513,001,1959/03/04 00:00:00,162,
B25A1513,001,1959/04/02 00:00:00,173,
B25A1513,001,1959/05/06 00:00:00,178,
B25A1513,001,1959/06/03 00:00:00,183,
B25A1513,001,1959/07/08 00:00:00,194,
B25A1513,001,1959/08/05 00:00:00,203,
B25A1513,001,1959/09/01 00:00:00,206,
B25A1513,001,1959/10/08 00:00:00,229,
B25A1513,001,1959/11/04 00:00:00,231,
B25A1513,001,1959/12/03 00:00:00,234,
B25A1513,001,1960/01/07 00:00:00,227,
B25A1513,001,1960/02/04 00:00:00,220,
B25A1513,001,1960/03/03 00:00:00,212,
B25A1513,001,1960/04/05 00:00:00,204,
B25A1513,001,1960/05/04 00:00:00,207,
B25A1513,001,1960/06/02 00:00:00,220,
B25A1513,001,1960/07/06 00:00:00,235,
B25A1513,001,1960/08/03 00:00:00,241,
B25A1513,001,1960/09/07 00:00:00,247,
B25A1513,001,1960/10/05 00:00:00,252,
B25A1513,001,1960/11/02 00:00:00,236,
B25A1513,001,1960/12/07 00:00:00,201,
B25A1513,001,1961/01/04 00:00:00,183,
B25A1513,001,1961/02/08 00:00:00,153,
B25A1513,001,1961/03/09 00:00:00,146,
B25A1513,001,1961/04/10 00:00:00,146,
B25A1513,001,1961/05/03 00:00:00,149,
B25A1513,001,1961/06/07 00:00:00,167,
B25A1513,001,1961/07/05 00:00:00,177,
B25A1513,001,1961/08/01 00:00:00,181,
B25A1513,001,1961/09/06 00:00:00,193,
B25A1513,001,1961/10/04 00:00:00,195,
B25A1513,001,1961/11/08 00:00:00,179,
B25A1513,001,1961/12/06 00:00:00,174,
B25A1513,001,1962/01/03 00:00:00,156,
B25A1513,001,1962/02/07 00:00:00,132,
B25A1513,001,1962/03/07 00:00:00,133,
B25A1513,001,1962/04/04 00:00:00,133,
B25A1513,001,1962/05/02 00:00:00,126,
B25A1513,001,1962/06/06 00:00:00,138,
B25A1513,001,1962/07/04 00:00:00,119,
B25A1513,001,1962/08/01 00:00:00,121,
B25A1513,001,1962/09/05 00:00:00,143,
B25A1513,001,1962/10/03 00:00:00,149,
B25A1513,001,1962/11/07 00:00:00,163,
B25A1513,001,1962/12/05 00:00:00,166,
B25A1513,001,1963/02/06 00:00:00,177,
B25A1513,001,1963/03/06 00:00:00,188,
B25A1513,001,1963/04/03 00:00:00,168,
B25A1513,001,1963/05/01 00:00:00,179,
B25A1513,001,1963/06/05 00:00:00,185,
B25A1513,001,1963/07/03 00:00:00,191,
B25A1513,001,1963/08/07 00:00:00,200,
B25A1513,001,1963/09/04 00:00:00,193,
B25A1513,001,1963/10/02 00:00:00,195,
B25A1513,001,1963/11/06 00:00:00,197,
B25A1513,001,1963/12/04 00:00:00,170,
B25A1513,001,1964/01/08 00:00:00,173,
B25A1513,001,1964/02/05 00:00:00,183,
B25A1513,001,1964/03/05 00:00:00,154,
B25A1513,001,1964/04/01 00:00:00,175,
B25A1513,001,1964/05/06 00:00:00,189,
B25A1513,001,1964/06/03 00:00:00,214,
B25A1513,001,1964/07/01 00:00:00,201,
B25A1513,001,1964/08/05 00:00:00,224,
B25A1513,001,1964/09/02 00:00:00,226,
B25A1513,001,1964/10/07 00:00:00,246,
B25A1513,001,1964/11/04 00:00:00,226,
B25A1513,001,1964/12/02 00:00:00,241,
B25A1513,001,1965/01/06 00:00:00,240,
B25A1513,001,1965/02/03 00:00:00,232,
B25A1513,001,1965/03/03 00:00:00,232,
B25A1513,001,1965/04/14 00:00:00,242,
B25A1513,001,1965/05/04 00:00:00,237,
B25A1513,001,1965/06/02 00:00:00,215,
B25A1513,001,1965/07/07 00:00:00,231,
B25A1513,001,1965/08/04 00:00:00,239,
B25A1513,001,1965/09/01 00:00:00,246,
B25A1513,001,1965/10/06 00:00:00,227,
B25A1513,001,1965/11/03 00:00:00,233,
B25A1513,001,1965/12/07 00:00:00,236,
