Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1515,001,25AP0003,102440,494670,792,,832,,32,1958/10/28,1973/01/14
B25A1515,001,25AP0003,102440,494670,792,,831,,32,1973/01/14,1999/10/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1515,001,1958/10/28 00:00:00,408,
B25A1515,001,1958/11/12 00:00:00,408,
B25A1515,001,1958/11/26 00:00:00,408,
B25A1515,001,1958/12/11 00:00:00,407,
B25A1515,001,1958/12/24 00:00:00,406,
B25A1515,001,1959/01/07 00:00:00,406,
B25A1515,001,1959/01/21 00:00:00,402,
B25A1515,001,1959/02/04 00:00:00,404,
B25A1515,001,1959/02/18 00:00:00,369,
B25A1515,001,1959/03/12 00:00:00,390,
B25A1515,001,1959/03/24 00:00:00,379,
B25A1515,001,1959/04/07 00:00:00,376,
B25A1515,001,1959/04/20 00:00:00,380,
B25A1515,001,1959/05/04 00:00:00,377,
B25A1515,001,1959/05/19 00:00:00,380,
B25A1515,001,1959/06/01 00:00:00,385,
B25A1515,001,1959/06/16 00:00:00,391,
B25A1515,001,1959/06/28 00:00:00,397,
B25A1515,001,1959/07/13 00:00:00,403,
B25A1515,001,1959/07/28 00:00:00,410,
B25A1515,001,1959/08/11 00:00:00,416,
B25A1515,001,1959/08/25 00:00:00,422,
B25A1515,001,1959/09/08 00:00:00,427,
B25A1515,001,1959/09/22 00:00:00,433,
B25A1515,001,1959/10/06 00:00:00,441,
B25A1515,001,1959/10/30 00:00:00,452,
B25A1515,001,1959/11/11 00:00:00,457,
B25A1515,001,1959/11/26 00:00:00,461,
B25A1515,001,1959/12/09 00:00:00,467,
B25A1515,001,1959/12/22 00:00:00,469,
B25A1515,001,1960/01/05 00:00:00,468,
B25A1515,001,1960/01/20 00:00:00,458,
B25A1515,001,1960/02/02 00:00:00,455,
B25A1515,001,1960/02/16 00:00:00,448,
B25A1515,001,1960/03/01 00:00:00,440,
B25A1515,001,1960/03/15 00:00:00,436,
B25A1515,001,1960/03/29 00:00:00,433,
B25A1515,001,1960/04/12 00:00:00,431,
B25A1515,001,1960/04/26 00:00:00,432,
B25A1515,001,1960/05/10 00:00:00,436,
B25A1515,001,1960/05/24 00:00:00,441,
B25A1515,001,1960/06/09 00:00:00,447,
B25A1515,001,1960/06/21 00:00:00,452,
B25A1515,001,1960/07/06 00:00:00,457,
B25A1515,001,1960/07/19 00:00:00,461,
B25A1515,001,1960/08/03 00:00:00,466,
B25A1515,001,1960/08/16 00:00:00,472,
B25A1515,001,1960/08/30 00:00:00,475,
B25A1515,001,1960/09/20 00:00:00,479,
B25A1515,001,1960/10/04 00:00:00,481,
B25A1515,001,1960/10/20 00:00:00,482,
B25A1515,001,1960/11/02 00:00:00,470,
B25A1515,001,1960/11/15 00:00:00,456,
B25A1515,001,1960/12/06 00:00:00,433,
B25A1515,001,1961/01/11 00:00:00,374,
B25A1515,001,1961/01/24 00:00:00,364,
B25A1515,001,1961/02/07 00:00:00,353,
B25A1515,001,1961/02/21 00:00:00,346,
B25A1515,001,1961/03/08 00:00:00,343,
B25A1515,001,1961/10/16 00:00:00,110,
B25A1515,001,1962/04/25 00:00:00,333,
B25A1515,001,1962/10/15 00:00:00,398,
B25A1515,001,1963/04/29 00:00:00,400,
B25A1515,001,1964/04/28 00:00:00,416,
B25A1515,001,1964/10/14 00:00:00,373,
B25A1515,001,1965/10/18 00:00:00,446,
B25A1515,001,1966/04/27 00:00:00,371,
B25A1515,001,1966/10/14 00:00:00,431,
B25A1515,001,1967/05/02 00:00:00,360,
B25A1515,001,1967/10/16 00:00:00,440,
B25A1515,001,1968/04/29 00:00:00,386,
B25A1515,001,1968/11/06 00:00:00,434,
B25A1515,001,1973/01/14 00:00:00,567,
B25A1515,001,1973/04/27 00:00:00,617,
B25A1515,001,1973/07/14 00:00:00,622,
B25A1515,001,1973/10/15 00:00:00,635,
B25A1515,001,1974/01/14 00:00:00,615,
B25A1515,001,1974/04/29 00:00:00,591,
B25A1515,001,1974/07/14 00:00:00,593,
B25A1515,001,1974/10/25 00:00:00,603,
B25A1515,001,1975/01/14 00:00:00,532,
B25A1515,001,1975/04/15 00:00:00,473,
B25A1515,001,1975/07/14 00:00:00,474,
B25A1515,001,1975/10/14 00:00:00,516,
B25A1515,001,1976/01/14 00:00:00,517,
B25A1515,001,1976/04/26 00:00:00,511,
B25A1515,001,1976/07/14 00:00:00,537,
B25A1515,001,1976/10/30 00:00:00,566,
B25A1515,001,1977/01/14 00:00:00,579,
B25A1515,001,1977/04/13 00:00:00,532,
B25A1515,001,1977/07/14 00:00:00,535,
B25A1515,001,1977/10/14 00:00:00,561,
B25A1515,001,1978/01/13 00:00:00,553,
B25A1515,001,1978/04/25 00:00:00,535,
B25A1515,001,1978/07/14 00:00:00,535,
B25A1515,001,1978/10/14 00:00:00,557,
B25A1515,001,1979/01/14 00:00:00,569,
B25A1515,001,1979/04/27 00:00:00,524,
B25A1515,001,1979/10/14 00:00:00,498,
B25A1515,001,1980/01/14 00:00:00,464,
B25A1515,001,1980/04/14 00:00:00,424,
B25A1515,001,1980/07/14 00:00:00,458,
B25A1515,001,1980/10/14 00:00:00,467,
B25A1515,001,1981/01/14 00:00:00,470,
B25A1515,001,1981/07/14 00:00:00,439,
B25A1515,001,1981/08/14 00:00:00,437,
B25A1515,001,1981/10/15 00:00:00,488,
B25A1515,001,1982/01/14 00:00:00,413,
B25A1515,001,1982/04/28 00:00:00,409,
B25A1515,001,1982/07/14 00:00:00,444,
B25A1515,001,1982/10/14 00:00:00,484,
B25A1515,001,1983/01/14 00:00:00,459,
B25A1515,001,1983/04/29 00:00:00,423,
B25A1515,001,1983/07/14 00:00:00,400,
B25A1515,001,1983/10/14 00:00:00,435,
B25A1515,001,1984/01/14 00:00:00,417,
B25A1515,001,1984/04/28 00:00:00,382,
B25A1515,001,1984/07/14 00:00:00,393,
B25A1515,001,1984/10/14 00:00:00,449,
