Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1516,002,25AP0004,101600,491645,1608,,958,-3222,-3322,1959/05/06,1964/08/05
B25A1516,002,25AP0004,101600,491645,1608,,1628,-3222,-3322,1964/08/05,1975/01/14
B25A1516,002,25AP0004,101600,491645,1640,,1634,-3222,-3322,1975/01/14,1976/01/14
B25A1516,002,25AP0004,101600,491645,1640,,1628,-3222,-3322,1976/01/14,1994/11/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1516,002,1959/05/06 00:00:00,1623,
B25A1516,002,1959/06/03 00:00:00,1651,
B25A1516,002,1959/07/08 00:00:00,1666,
B25A1516,002,1959/08/05 00:00:00,1641,
B25A1516,002,1959/09/01 00:00:00,1653,
B25A1516,002,1959/10/08 00:00:00,1667,
B25A1516,002,1959/11/04 00:00:00,1645,
B25A1516,002,1959/12/03 00:00:00,1641,
B25A1516,002,1960/01/07 00:00:00,1632,
B25A1516,002,1960/02/04 00:00:00,1634,
B25A1516,002,1960/03/03 00:00:00,1626,
B25A1516,002,1960/04/05 00:00:00,1645,
B25A1516,002,1960/05/04 00:00:00,1653,
B25A1516,002,1960/06/02 00:00:00,1684,
B25A1516,002,1960/07/06 00:00:00,1667,
B25A1516,002,1960/08/03 00:00:00,1665,
B25A1516,002,1960/09/07 00:00:00,1654,
B25A1516,002,1960/10/05 00:00:00,1648,
B25A1516,002,1960/11/02 00:00:00,1637,
B25A1516,002,1960/12/07 00:00:00,1613,
B25A1516,002,1961/02/08 00:00:00,1599,
B25A1516,002,1961/03/09 00:00:00,1606,
B25A1516,002,1961/04/10 00:00:00,1599,
B25A1516,002,1961/05/03 00:00:00,1618,
B25A1516,002,1961/06/07 00:00:00,1662,
B25A1516,002,1961/07/05 00:00:00,1665,
B25A1516,002,1961/08/01 00:00:00,1647,
B25A1516,002,1961/09/06 00:00:00,1650,
B25A1516,002,1961/10/04 00:00:00,1649,
B25A1516,002,1961/11/08 00:00:00,1636,
B25A1516,002,1961/12/06 00:00:00,1620,
B25A1516,002,1962/01/03 00:00:00,1623,
B25A1516,002,1962/02/07 00:00:00,1614,
B25A1516,002,1962/03/07 00:00:00,1625,
B25A1516,002,1962/04/04 00:00:00,1623,
B25A1516,002,1962/05/02 00:00:00,1632,
B25A1516,002,1962/06/06 00:00:00,1655,
B25A1516,002,1962/07/04 00:00:00,1657,
B25A1516,002,1962/08/01 00:00:00,1655,
B25A1516,002,1962/09/05 00:00:00,1660,
B25A1516,002,1962/10/03 00:00:00,1655,
B25A1516,002,1962/11/07 00:00:00,1654,
B25A1516,002,1962/12/05 00:00:00,1655,
B25A1516,002,1963/02/06 00:00:00,1668,
B25A1516,002,1963/03/06 00:00:00,1687,
B25A1516,002,1963/04/03 00:00:00,1668,
B25A1516,002,1963/05/01 00:00:00,1665,
B25A1516,002,1963/06/05 00:00:00,1725,
B25A1516,002,1963/07/03 00:00:00,1690,
B25A1516,002,1963/08/07 00:00:00,1698,
B25A1516,002,1963/09/04 00:00:00,1686,
B25A1516,002,1963/10/02 00:00:00,1674,
B25A1516,002,1963/11/06 00:00:00,1676,
B25A1516,002,1963/12/04 00:00:00,1658,
B25A1516,002,1964/01/08 00:00:00,1665,
B25A1516,002,1964/02/05 00:00:00,1670,
B25A1516,002,1964/03/05 00:00:00,1677,
B25A1516,002,1964/04/01 00:00:00,1686,
B25A1516,002,1964/05/06 00:00:00,1693,
B25A1516,002,1964/06/03 00:00:00,1729,
B25A1516,002,1964/07/01 00:00:00,1720,
B25A1516,002,1964/08/05 00:00:00,1711,
B25A1516,002,1964/09/02 00:00:00,1727,
B25A1516,002,1964/10/07 00:00:00,1720,
B25A1516,002,1964/11/04 00:00:00,1708,
B25A1516,002,1964/12/02 00:00:00,1709,
B25A1516,002,1965/01/06 00:00:00,1700,
B25A1516,002,1965/02/03 00:00:00,1701,
B25A1516,002,1965/03/03 00:00:00,1696,
B25A1516,002,1965/04/14 00:00:00,1712,
B25A1516,002,1965/05/04 00:00:00,1714,
B25A1516,002,1965/06/02 00:00:00,1719,
B25A1516,002,1965/07/07 00:00:00,1725,
B25A1516,002,1965/08/04 00:00:00,1706,
B25A1516,002,1965/09/01 00:00:00,1711,
B25A1516,002,1965/10/06 00:00:00,1706,
