Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1532,001,25AP0035,103580,495480,520,,525,,175,1958/07/15,1973/01/14
B25A1532,001,25AP0035,103580,495480,520,,523,275,175,1973/01/14,2005/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1532,001,1958/07/15 00:00:00,159,
B25A1532,001,1958/07/22 00:00:00,165,
B25A1532,001,1958/08/05 00:00:00,168,
B25A1532,001,1958/08/18 00:00:00,169,
B25A1532,001,1958/09/02 00:00:00,173,
B25A1532,001,1958/09/16 00:00:00,175,
B25A1532,001,1958/09/30 00:00:00,171,
B25A1532,001,1958/10/13 00:00:00,164,
B25A1532,001,1958/10/28 00:00:00,169,
B25A1532,001,1958/11/12 00:00:00,175,
B25A1532,001,1958/11/26 00:00:00,179,
B25A1532,001,1958/12/11 00:00:00,177,
B25A1532,001,1958/12/24 00:00:00,173,
B25A1532,001,1959/01/07 00:00:00,160,
B25A1532,001,1959/01/21 00:00:00,151,
B25A1532,001,1959/02/04 00:00:00,138,
B25A1532,001,1959/02/18 00:00:00,145,
B25A1532,001,1959/03/12 00:00:00,147,
B25A1532,001,1959/03/24 00:00:00,147,
B25A1532,001,1959/04/07 00:00:00,139,
B25A1532,001,1959/04/20 00:00:00,147,
B25A1532,001,1959/05/04 00:00:00,149,
B25A1532,001,1959/05/19 00:00:00,156,
B25A1532,001,1959/06/01 00:00:00,164,
B25A1532,001,1959/06/16 00:00:00,172,
B25A1532,001,1959/06/28 00:00:00,180,
B25A1532,001,1959/07/13 00:00:00,188,
B25A1532,001,1959/07/28 00:00:00,195,
B25A1532,001,1959/08/11 00:00:00,200,
B25A1532,001,1959/08/25 00:00:00,203,
B25A1532,001,1959/09/08 00:00:00,210,
B25A1532,001,1959/09/22 00:00:00,215,
B25A1532,001,1959/10/06 00:00:00,224,
B25A1532,001,1959/10/30 00:00:00,226,
B25A1532,001,1959/11/11 00:00:00,215,
B25A1532,001,1959/11/26 00:00:00,209,
B25A1532,001,1959/12/09 00:00:00,209,
B25A1532,001,1959/12/22 00:00:00,206,
B25A1532,001,1960/01/05 00:00:00,193,
B25A1532,001,1960/01/20 00:00:00,190,
B25A1532,001,1960/02/02 00:00:00,179,
B25A1532,001,1960/02/16 00:00:00,167,
B25A1532,001,1960/03/01 00:00:00,165,
B25A1532,001,1960/03/15 00:00:00,167,
B25A1532,001,1960/03/29 00:00:00,187,
B25A1532,001,1960/04/12 00:00:00,189,
B25A1532,001,1960/04/26 00:00:00,189,
B25A1532,001,1960/05/10 00:00:00,190,
B25A1532,001,1960/05/24 00:00:00,194,
B25A1532,001,1960/06/09 00:00:00,197,
B25A1532,001,1960/06/21 00:00:00,203,
B25A1532,001,1960/07/06 00:00:00,204,
B25A1532,001,1960/07/19 00:00:00,201,
B25A1532,001,1960/08/03 00:00:00,206,
B25A1532,001,1960/08/16 00:00:00,210,
B25A1532,001,1960/08/30 00:00:00,200,
B25A1532,001,1960/09/20 00:00:00,197,
B25A1532,001,1960/10/04 00:00:00,204,
B25A1532,001,1960/10/20 00:00:00,186,
B25A1532,001,1960/11/02 00:00:00,176,
B25A1532,001,1960/11/15 00:00:00,150,
B25A1532,001,1960/12/06 00:00:00,112,
B25A1532,001,1961/01/11 00:00:00,100,
B25A1532,001,1961/01/24 00:00:00,100,
B25A1532,001,1961/02/07 00:00:00,95,
B25A1532,001,1961/02/21 00:00:00,106,
B25A1532,001,1961/03/08 00:00:00,106,
B25A1532,001,1961/10/16 00:00:00,174,
B25A1532,001,1962/01/14 00:00:00,85,
B25A1532,001,1962/04/25 00:00:00,107,
B25A1532,001,1962/07/14 00:00:00,147,
B25A1532,001,1962/10/15 00:00:00,160,
B25A1532,001,1963/01/14 00:00:00,159,
B25A1532,001,1963/04/29 00:00:00,149,
B25A1532,001,1963/07/15 00:00:00,142,
B25A1532,001,1963/10/14 00:00:00,145,
B25A1532,001,1964/01/14 00:00:00,158,
B25A1532,001,1964/04/28 00:00:00,167,
B25A1532,001,1964/07/14 00:00:00,180,
B25A1532,001,1964/10/14 00:00:00,243,
B25A1532,001,1965/01/14 00:00:00,182,
B25A1532,001,1965/04/14 00:00:00,179,
B25A1532,001,1965/07/14 00:00:00,188,
B25A1532,001,1965/10/18 00:00:00,159,
B25A1532,001,1966/01/14 00:00:00,122,
B25A1532,001,1966/04/27 00:00:00,102,
B25A1532,001,1966/07/14 00:00:00,148,
B25A1532,001,1966/10/14 00:00:00,158,
B25A1532,001,1967/01/16 00:00:00,108,
B25A1532,001,1967/05/02 00:00:00,122,
B25A1532,001,1967/07/14 00:00:00,159,
B25A1532,001,1967/10/13 00:00:00,173,
B25A1532,001,1968/01/15 00:00:00,112,
B25A1532,001,1968/04/29 00:00:00,146,
B25A1532,001,1968/07/17 00:00:00,163,
B25A1532,001,1968/11/06 00:00:00,149,
B25A1532,001,1969/01/15 00:00:00,158,
B25A1532,001,1969/04/28 00:00:00,148,
B25A1532,001,1969/07/14 00:00:00,171,
B25A1532,001,1969/10/15 00:00:00,195,
B25A1532,001,1970/01/15 00:00:00,192,
B25A1532,001,1970/04/15 00:00:00,158,
B25A1532,001,1970/07/16 00:00:00,200,
B25A1532,001,1970/10/15 00:00:00,219,
B25A1532,001,1971/01/14 00:00:00,192,
B25A1532,001,1971/04/15 00:00:00,183,
B25A1532,001,1971/07/09 00:00:00,200,
B25A1532,001,1971/10/15 00:00:00,242,
B25A1532,001,1972/01/15 00:00:00,238,
B25A1532,001,1972/04/15 00:00:00,249,
B25A1532,001,1972/07/14 00:00:00,251,
B25A1532,001,1972/10/16 00:00:00,268,
B25A1532,001,1973/01/14 00:00:00,265,
B25A1532,001,1973/04/27 00:00:00,263,
B25A1532,001,1973/07/14 00:00:00,273,
B25A1532,001,1973/10/15 00:00:00,274,
B25A1532,001,1974/01/14 00:00:00,239,
B25A1532,001,1974/04/29 00:00:00,233,
B25A1532,001,1974/07/15 00:00:00,253,
B25A1532,001,1974/10/25 00:00:00,228,
B25A1532,001,1975/01/14 00:00:00,171,
B25A1532,001,1975/04/15 00:00:00,142,
B25A1532,001,1975/07/14 00:00:00,189,
B25A1532,001,1975/10/14 00:00:00,219,
B25A1532,001,1976/01/14 00:00:00,188,
B25A1532,001,1976/04/26 00:00:00,204,
B25A1532,001,1976/07/14 00:00:00,243,
B25A1532,001,1976/10/30 00:00:00,264,
B25A1532,001,1977/01/14 00:00:00,228,
B25A1532,001,1977/04/13 00:00:00,203,
B25A1532,001,1977/07/14 00:00:00,234,
B25A1532,001,1977/10/14 00:00:00,261,
B25A1532,001,1978/01/13 00:00:00,228,
B25A1532,001,1978/04/25 00:00:00,214,
B25A1532,001,1978/07/14 00:00:00,222,
B25A1532,001,1978/10/14 00:00:00,250,
B25A1532,001,1979/01/14 00:00:00,231,
B25A1532,001,1979/04/27 00:00:00,184,
B25A1532,001,1979/08/14 00:00:00,200,
B25A1532,001,1979/10/14 00:00:00,217,
B25A1532,001,1980/01/14 00:00:00,153,
B25A1532,001,1980/04/14 00:00:00,145,
B25A1532,001,1980/07/14 00:00:00,155,
B25A1532,001,1980/10/14 00:00:00,207,
B25A1532,001,1981/01/14 00:00:00,163,
B25A1532,001,1981/04/29 00:00:00,180,
B25A1532,001,1981/07/14 00:00:00,169,
B25A1532,001,1981/08/14 00:00:00,179,
B25A1532,001,1981/10/15 00:00:00,194,
B25A1532,001,1982/01/14 00:00:00,140,
B25A1532,001,1982/04/28 00:00:00,154,
B25A1532,001,1982/07/14 00:00:00,190,
B25A1532,001,1982/10/14 00:00:00,194,
