Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1535,001,25AP0040,104290,495270,333,,367,,-133,1958/07/15,1973/01/14
B25A1535,001,25AP0040,104290,495270,333,,369,,-133,1973/01/14,1981/08/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1535,001,1958/07/15 00:00:00,126,
B25A1535,001,1958/07/22 00:00:00,106,
B25A1535,001,1958/08/05 00:00:00,109,
B25A1535,001,1958/08/18 00:00:00,111,
B25A1535,001,1958/09/02 00:00:00,109,
B25A1535,001,1958/09/16 00:00:00,124,
B25A1535,001,1958/09/30 00:00:00,93,
B25A1535,001,1958/10/13 00:00:00,97,
B25A1535,001,1958/10/28 00:00:00,109,
B25A1535,001,1958/11/12 00:00:00,96,
B25A1535,001,1958/11/26 00:00:00,124,
B25A1535,001,1958/12/11 00:00:00,100,
B25A1535,001,1958/12/24 00:00:00,94,
B25A1535,001,1959/01/07 00:00:00,89,
B25A1535,001,1959/01/21 00:00:00,97,
B25A1535,001,1959/02/04 00:00:00,96,
B25A1535,001,1959/03/12 00:00:00,96,
B25A1535,001,1959/03/24 00:00:00,95,
B25A1535,001,1959/04/07 00:00:00,100,
B25A1535,001,1959/04/20 00:00:00,95,
B25A1535,001,1959/05/04 00:00:00,96,
B25A1535,001,1959/05/19 00:00:00,107,
B25A1535,001,1959/06/01 00:00:00,115,
B25A1535,001,1959/06/16 00:00:00,124,
B25A1535,001,1959/06/28 00:00:00,102,
B25A1535,001,1959/07/13 00:00:00,114,
B25A1535,001,1959/07/28 00:00:00,138,
B25A1535,001,1959/08/11 00:00:00,129,
B25A1535,001,1959/08/25 00:00:00,137,
B25A1535,001,1959/09/08 00:00:00,141,
B25A1535,001,1959/09/22 00:00:00,138,
B25A1535,001,1959/10/06 00:00:00,142,
B25A1535,001,1959/10/30 00:00:00,98,
B25A1535,001,1959/11/11 00:00:00,96,
B25A1535,001,1959/11/26 00:00:00,133,
B25A1535,001,1959/12/09 00:00:00,127,
B25A1535,001,1959/12/22 00:00:00,96,
B25A1535,001,1960/01/05 00:00:00,96,
B25A1535,001,1960/01/20 00:00:00,95,
B25A1535,001,1960/02/02 00:00:00,93,
B25A1535,001,1960/02/16 00:00:00,97,
B25A1535,001,1960/03/01 00:00:00,98,
B25A1535,001,1960/03/15 00:00:00,98,
B25A1535,001,1960/03/29 00:00:00,98,
B25A1535,001,1960/04/12 00:00:00,101,
B25A1535,001,1960/04/26 00:00:00,109,
B25A1535,001,1960/05/10 00:00:00,111,
B25A1535,001,1960/05/24 00:00:00,104,
B25A1535,001,1960/06/09 00:00:00,114,
B25A1535,001,1960/06/21 00:00:00,127,
B25A1535,001,1960/07/06 00:00:00,129,
B25A1535,001,1960/07/19 00:00:00,105,
B25A1535,001,1960/08/03 00:00:00,115,
B25A1535,001,1960/08/16 00:00:00,91,
B25A1535,001,1960/08/30 00:00:00,89,
B25A1535,001,1960/09/20 00:00:00,101,
B25A1535,001,1960/10/04 00:00:00,110,
B25A1535,001,1960/10/20 00:00:00,97,
B25A1535,001,1960/11/02 00:00:00,97,
B25A1535,001,1960/11/15 00:00:00,121,
B25A1535,001,1960/12/06 00:00:00,121,
B25A1535,001,1961/01/11 00:00:00,125,
B25A1535,001,1961/01/24 00:00:00,126,
B25A1535,001,1961/02/07 00:00:00,123,
B25A1535,001,1961/02/21 00:00:00,130,
B25A1535,001,1961/03/08 00:00:00,95,
B25A1535,001,1961/10/16 00:00:00,127,
B25A1535,001,1962/04/25 00:00:00,100,
B25A1535,001,1962/10/15 00:00:00,122,
B25A1535,001,1963/04/29 00:00:00,101,
B25A1535,001,1963/10/14 00:00:00,132,
B25A1535,001,1964/04/28 00:00:00,97,
B25A1535,001,1964/10/14 00:00:00,113,
B25A1535,001,1965/04/14 00:00:00,55,
B25A1535,001,1965/10/18 00:00:00,122,
B25A1535,001,1966/04/27 00:00:00,91,
B25A1535,001,1966/10/14 00:00:00,119,
B25A1535,001,1967/05/02 00:00:00,98,
