Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1536,001,25AP0041,105280,495160,,,178,,,1958/07/15,1960/03/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1536,001,1958/07/15 00:00:00,,
B25A1536,001,1958/07/22 00:00:00,,
B25A1536,001,1958/08/05 00:00:00,,
B25A1536,001,1958/08/18 00:00:00,,
B25A1536,001,1958/09/02 00:00:00,,
B25A1536,001,1958/09/16 00:00:00,,
B25A1536,001,1958/09/30 00:00:00,,
B25A1536,001,1958/10/13 00:00:00,,
B25A1536,001,1958/10/28 00:00:00,,
B25A1536,001,1958/11/12 00:00:00,,
B25A1536,001,1958/11/26 00:00:00,,
B25A1536,001,1958/12/11 00:00:00,,
B25A1536,001,1958/12/24 00:00:00,,
B25A1536,001,1959/01/07 00:00:00,,
B25A1536,001,1959/01/21 00:00:00,,
B25A1536,001,1959/02/04 00:00:00,,
B25A1536,001,1959/02/18 00:00:00,,
B25A1536,001,1959/03/12 00:00:00,,
B25A1536,001,1959/03/24 00:00:00,,
B25A1536,001,1959/04/07 00:00:00,,
B25A1536,001,1959/04/20 00:00:00,,
B25A1536,001,1959/05/04 00:00:00,,
B25A1536,001,1959/05/19 00:00:00,,
B25A1536,001,1959/06/01 00:00:00,,
B25A1536,001,1959/06/16 00:00:00,,
B25A1536,001,1959/06/28 00:00:00,,
B25A1536,001,1959/07/13 00:00:00,,
B25A1536,001,1959/07/28 00:00:00,,
B25A1536,001,1959/08/11 00:00:00,,
B25A1536,001,1959/08/25 00:00:00,,
B25A1536,001,1959/09/08 00:00:00,,
B25A1536,001,1959/09/22 00:00:00,,
B25A1536,001,1959/10/06 00:00:00,,
B25A1536,001,1959/10/30 00:00:00,,
B25A1536,001,1959/11/11 00:00:00,,
B25A1536,001,1959/11/26 00:00:00,,
B25A1536,001,1959/12/09 00:00:00,,
B25A1536,001,1959/12/22 00:00:00,,
B25A1536,001,1960/01/05 00:00:00,,
B25A1536,001,1960/01/20 00:00:00,,
B25A1536,001,1960/02/02 00:00:00,,
B25A1536,001,1960/02/16 00:00:00,,
B25A1536,001,1960/03/01 00:00:00,,
