Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1538,001,25AP0043,103900,494500,312,,343,,-508,1958/09/30,1962/11/14
B25A1538,001,25AP0043,103900,494500,312,,342,,-508,1962/11/14,1977/01/14
B25A1538,001,25AP0043,103900,494500,312,,361,,-508,1977/01/14,1998/12/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1538,001,1958/09/30 00:00:00,51,
B25A1538,001,1958/10/13 00:00:00,47,
B25A1538,001,1958/10/28 00:00:00,53,
B25A1538,001,1958/11/12 00:00:00,47,
B25A1538,001,1958/11/26 00:00:00,58,
B25A1538,001,1958/12/11 00:00:00,53,
B25A1538,001,1958/12/24 00:00:00,49,
B25A1538,001,1959/01/07 00:00:00,34,
B25A1538,001,1959/01/21 00:00:00,95,
B25A1538,001,1959/02/04 00:00:00,105,
B25A1538,001,1959/02/18 00:00:00,113,
B25A1538,001,1959/03/12 00:00:00,109,
B25A1538,001,1959/03/24 00:00:00,65,
B25A1538,001,1959/04/07 00:00:00,104,
B25A1538,001,1959/04/20 00:00:00,152,
B25A1538,001,1959/05/04 00:00:00,160,
B25A1538,001,1959/05/19 00:00:00,86,
B25A1538,001,1959/06/01 00:00:00,81,
B25A1538,001,1959/06/16 00:00:00,94,
B25A1538,001,1959/06/28 00:00:00,91,
B25A1538,001,1959/07/13 00:00:00,92,
B25A1538,001,1959/07/28 00:00:00,95,
B25A1538,001,1959/08/11 00:00:00,89,
B25A1538,001,1959/08/25 00:00:00,92,
B25A1538,001,1959/09/08 00:00:00,101,
B25A1538,001,1959/09/22 00:00:00,90,
B25A1538,001,1959/10/06 00:00:00,96,
B25A1538,001,1959/10/30 00:00:00,71,
B25A1538,001,1959/11/11 00:00:00,54,
B25A1538,001,1959/11/26 00:00:00,73,
B25A1538,001,1959/12/09 00:00:00,63,
B25A1538,001,1959/12/22 00:00:00,57,
B25A1538,001,1960/01/05 00:00:00,67,
B25A1538,001,1960/01/20 00:00:00,60,
B25A1538,001,1960/02/02 00:00:00,46,
B25A1538,001,1960/02/16 00:00:00,62,
B25A1538,001,1960/03/01 00:00:00,64,
B25A1538,001,1960/03/15 00:00:00,70,
B25A1538,001,1960/03/29 00:00:00,70,
