Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1541,001,25AP0051,104000,492380,-22,,16,,-734,1958/10/28,1973/01/14
B25A1541,001,25AP0051,104000,492380,-22,,5,,-734,1973/01/14,1979/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1541,001,1958/10/28 00:00:00,27,
B25A1541,001,1958/11/12 00:00:00,23,
B25A1541,001,1958/11/26 00:00:00,32,
B25A1541,001,1958/12/11 00:00:00,20,
B25A1541,001,1958/12/24 00:00:00,16,
B25A1541,001,1959/01/07 00:00:00,12,
B25A1541,001,1959/01/21 00:00:00,18,
B25A1541,001,1959/02/04 00:00:00,28,
B25A1541,001,1959/02/18 00:00:00,25,
B25A1541,001,1959/03/12 00:00:00,25,
B25A1541,001,1959/03/24 00:00:00,16,
B25A1541,001,1959/04/07 00:00:00,26,
B25A1541,001,1959/04/20 00:00:00,27,
B25A1541,001,1959/05/04 00:00:00,19,
B25A1541,001,1959/05/19 00:00:00,53,
B25A1541,001,1959/06/01 00:00:00,49,
B25A1541,001,1959/06/16 00:00:00,57,
B25A1541,001,1959/06/28 00:00:00,52,
B25A1541,001,1959/07/13 00:00:00,47,
B25A1541,001,1959/07/28 00:00:00,61,
B25A1541,001,1959/08/11 00:00:00,45,
B25A1541,001,1959/08/25 00:00:00,54,
B25A1541,001,1959/09/08 00:00:00,63,
B25A1541,001,1959/09/22 00:00:00,53,
B25A1541,001,1959/10/06 00:00:00,50,
B25A1541,001,1959/10/30 00:00:00,24,
B25A1541,001,1959/11/11 00:00:00,12,
B25A1541,001,1959/11/26 00:00:00,25,
B25A1541,001,1959/12/09 00:00:00,18,
B25A1541,001,1959/12/22 00:00:00,11,
B25A1541,001,1960/01/05 00:00:00,16,
B25A1541,001,1960/01/20 00:00:00,16,
B25A1541,001,1960/02/02 00:00:00,9,
B25A1541,001,1960/02/16 00:00:00,14,
B25A1541,001,1960/03/01 00:00:00,19,
B25A1541,001,1960/03/15 00:00:00,25,
B25A1541,001,1960/03/29 00:00:00,28,
B25A1541,001,1960/04/12 00:00:00,22,
B25A1541,001,1960/04/26 00:00:00,40,
B25A1541,001,1960/05/10 00:00:00,46,
B25A1541,001,1960/05/24 00:00:00,29,
B25A1541,001,1960/06/09 00:00:00,47,
B25A1541,001,1960/06/21 00:00:00,51,
B25A1541,001,1960/07/06 00:00:00,49,
B25A1541,001,1960/07/19 00:00:00,38,
B25A1541,001,1960/08/03 00:00:00,36,
B25A1541,001,1960/08/16 00:00:00,19,
B25A1541,001,1960/08/30 00:00:00,14,
B25A1541,001,1960/09/20 00:00:00,28,
B25A1541,001,1960/10/04 00:00:00,34,
B25A1541,001,1960/10/20 00:00:00,13,
B25A1541,001,1960/11/02 00:00:00,11,
B25A1541,001,1960/11/15 00:00:00,19,
B25A1541,001,1960/12/06 00:00:00,8,
B25A1541,001,1961/01/11 00:00:00,9,
B25A1541,001,1961/01/24 00:00:00,14,
B25A1541,001,1961/02/07 00:00:00,14,
B25A1541,001,1961/02/21 00:00:00,26,
B25A1541,001,1961/03/08 00:00:00,30,
B25A1541,001,1961/10/16 00:00:00,31,
B25A1541,001,1962/04/25 00:00:00,32,
B25A1541,001,1962/10/15 00:00:00,29,
B25A1541,001,1963/04/29 00:00:00,43,
B25A1541,001,1963/10/14 00:00:00,40,
B25A1541,001,1964/04/28 00:00:00,35,
B25A1541,001,1964/10/14 00:00:00,31,
B25A1541,001,1965/04/14 00:00:00,29,
B25A1541,001,1965/10/18 00:00:00,41,
B25A1541,001,1966/04/27 00:00:00,26,
B25A1541,001,1966/10/14 00:00:00,37,
B25A1541,001,1967/05/02 00:00:00,52,
B25A1541,001,1967/10/16 00:00:00,32,
B25A1541,001,1968/04/29 00:00:00,43,
B25A1541,001,1968/11/06 00:00:00,30,
B25A1541,001,1969/04/28 00:00:00,30,
B25A1541,001,1969/10/15 00:00:00,55,
B25A1541,001,1970/04/15 00:00:00,38,
B25A1541,001,1970/11/28 00:00:00,39,
B25A1541,001,1971/04/15 00:00:00,53,
B25A1541,001,1971/10/15 00:00:00,36,
B25A1541,001,1972/04/15 00:00:00,36,
B25A1541,001,1973/01/14 00:00:00,39,
B25A1541,001,1973/04/27 00:00:00,48,
B25A1541,001,1973/07/14 00:00:00,44,
B25A1541,001,1973/10/15 00:00:00,36,
B25A1541,001,1974/01/14 00:00:00,-76,
B25A1541,001,1974/04/29 00:00:00,42,
B25A1541,001,1974/07/15 00:00:00,-88,
B25A1541,001,1974/10/25 00:00:00,32,
B25A1541,001,1975/01/14 00:00:00,-81,
B25A1541,001,1975/04/15 00:00:00,27,
B25A1541,001,1975/07/14 00:00:00,54,
B25A1541,001,1975/10/14 00:00:00,47,
B25A1541,001,1976/01/14 00:00:00,35,
B25A1541,001,1976/04/26 00:00:00,62,
B25A1541,001,1976/07/14 00:00:00,62,
B25A1541,001,1976/10/30 00:00:00,47,
B25A1541,001,1977/01/14 00:00:00,33,
B25A1541,001,1977/04/13 00:00:00,40,
B25A1541,001,1977/07/14 00:00:00,47,
B25A1541,001,1977/10/14 00:00:00,-95,
B25A1541,001,1978/01/13 00:00:00,-81,
B25A1541,001,1978/04/25 00:00:00,34,
B25A1541,001,1978/07/14 00:00:00,44,
B25A1541,001,1978/10/14 00:00:00,43,
