Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-08/06/2017
Datum: 08/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1546,001,25AP0076,104270,489030,,,36,-464,-564,1966/01/25,1981/05/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1546,001,1966/01/27 00:00:00,,
B25A1546,001,1966/02/23 00:00:00,,
B25A1546,001,1966/03/12 00:00:00,,
B25A1546,001,1966/03/23 00:00:00,,
B25A1546,001,1966/04/07 00:00:00,,
B25A1546,001,1966/04/21 00:00:00,,
B25A1546,001,1966/05/04 00:00:00,,
B25A1546,001,1966/06/04 00:00:00,,
B25A1546,001,1966/07/07 00:00:00,,
B25A1546,001,1966/08/04 00:00:00,,
B25A1546,001,1966/08/18 00:00:00,,
B25A1546,001,1966/09/08 00:00:00,,
B25A1546,001,1966/09/22 00:00:00,,
B25A1546,001,1966/10/20 00:00:00,,
B25A1546,001,1966/11/19 00:00:00,,
B25A1546,001,1966/12/15 00:00:00,,
B25A1546,001,1967/01/01 00:00:00,,
B25A1546,001,1967/01/23 00:00:00,,
B25A1546,001,1967/02/12 00:00:00,,
B25A1546,001,1967/02/25 00:00:00,,
B25A1546,001,1967/03/12 00:00:00,,
B25A1546,001,1967/04/23 00:00:00,,
B25A1546,001,1967/05/15 00:00:00,,
B25A1546,001,1967/05/31 00:00:00,,
B25A1546,001,1967/06/12 00:00:00,,
B25A1546,001,1967/06/26 00:00:00,,
B25A1546,001,1967/07/10 00:00:00,,
B25A1546,001,1967/07/24 00:00:00,,
B25A1546,001,1967/08/07 00:00:00,,
B25A1546,001,1967/08/21 00:00:00,,
B25A1546,001,1967/09/04 00:00:00,,
B25A1546,001,1967/09/18 00:00:00,,
B25A1546,001,1967/10/02 00:00:00,,
B25A1546,001,1967/10/16 00:00:00,,
B25A1546,001,1967/10/30 00:00:00,,
B25A1546,001,1967/11/13 00:00:00,,
B25A1546,001,1967/11/27 00:00:00,,
B25A1546,001,1967/12/11 00:00:00,,
B25A1546,001,1967/12/21 00:00:00,,
B25A1546,001,1968/01/08 00:00:00,,
B25A1546,001,1968/01/22 00:00:00,,
B25A1546,001,1968/02/07 00:00:00,,
B25A1546,001,1968/02/19 00:00:00,,
B25A1546,001,1968/03/04 00:00:00,,
B25A1546,001,1968/03/18 00:00:00,,
B25A1546,001,1968/04/01 00:00:00,,
B25A1546,001,1968/04/16 00:00:00,,
B25A1546,001,1968/05/01 00:00:00,,
B25A1546,001,1968/05/14 00:00:00,,
B25A1546,001,1968/05/24 00:00:00,,
B25A1546,001,1968/06/11 00:00:00,,
B25A1546,001,1968/06/26 00:00:00,,
B25A1546,001,1968/07/08 00:00:00,,
B25A1546,001,1968/07/22 00:00:00,,
B25A1546,001,1968/08/13 00:00:00,,
B25A1546,001,1968/08/27 00:00:00,,
B25A1546,001,1968/09/09 00:00:00,,
B25A1546,001,1968/09/25 00:00:00,,
B25A1546,001,1968/10/09 00:00:00,,
B25A1546,001,1968/10/22 00:00:00,,
B25A1546,001,1968/11/04 00:00:00,,
B25A1546,001,1968/11/19 00:00:00,,
B25A1546,001,1968/12/03 00:00:00,,
