Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-08/06/2017
Datum: 08/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1549,001,25AP0079,105033,488347,7,,-5,-405,-505,1966/04/24,1978/01/17
B25A1549,001,25AP0079,105033,488347,7,,-4,-405,-505,1978/01/17,1996/07/29
B25A1549,001,25AP0079,105033,488347,10,,-5,-405,-505,1996/07/29,1998/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1549,001,1966/04/27 00:00:00,110,
B25A1549,001,1966/05/14 00:00:00,119,
B25A1549,001,1966/05/28 00:00:00,132,
B25A1549,001,1966/07/02 00:00:00,126,
B25A1549,001,1966/07/10 00:00:00,131,
B25A1549,001,1966/07/28 00:00:00,100,
B25A1549,001,1966/08/20 00:00:00,117,
B25A1549,001,1966/09/01 00:00:00,122,
B25A1549,001,1966/09/29 00:00:00,128,
B25A1549,001,1966/10/14 00:00:00,127,
B25A1549,001,1966/10/28 00:00:00,117,
B25A1549,001,1966/11/10 00:00:00,138,
B25A1549,001,1966/11/24 00:00:00,123,
B25A1549,001,1966/12/22 00:00:00,112,
B25A1549,001,1967/01/01 00:00:00,116,
B25A1549,001,1967/01/19 00:00:00,124,
B25A1549,001,1967/02/16 00:00:00,137,
B25A1549,001,1967/02/28 00:00:00,133,
B25A1549,001,1967/04/29 00:00:00,133,
B25A1549,001,1967/05/26 00:00:00,132,
B25A1549,001,1967/06/06 00:00:00,130,
B25A1549,001,1967/06/20 00:00:00,136,
B25A1549,001,1967/07/04 00:00:00,140,
B25A1549,001,1967/07/18 00:00:00,142,
B25A1549,001,1967/07/28 00:00:00,148,
B25A1549,001,1967/08/15 00:00:00,137,
B25A1549,001,1967/08/28 00:00:00,140,
B25A1549,001,1967/09/12 00:00:00,128,
B25A1549,001,1967/09/26 00:00:00,125,
B25A1549,001,1967/10/10 00:00:00,125,
B25A1549,001,1967/10/24 00:00:00,116,
B25A1549,001,1967/11/06 00:00:00,93,
B25A1549,001,1967/11/21 00:00:00,113,
B25A1549,001,1967/12/05 00:00:00,112,
B25A1549,001,1967/12/19 00:00:00,112,
B25A1549,001,1968/01/03 00:00:00,112,
B25A1549,001,1968/01/15 00:00:00,108,
B25A1549,001,1968/01/30 00:00:00,115,
B25A1549,001,1968/02/12 00:00:00,103,
B25A1549,001,1968/02/27 00:00:00,120,
B25A1549,001,1968/03/12 00:00:00,117,
B25A1549,001,1968/03/26 00:00:00,118,
B25A1549,001,1968/04/08 00:00:00,124,
B25A1549,001,1968/05/02 00:00:00,125,
B25A1549,001,1968/05/06 00:00:00,117,
B25A1549,001,1968/05/20 00:00:00,111,
B25A1549,001,1968/06/04 00:00:00,120,
B25A1549,001,1968/06/17 00:00:00,123,
B25A1549,001,1968/07/01 00:00:00,116,
B25A1549,001,1968/07/15 00:00:00,98,
B25A1549,001,1968/07/29 00:00:00,105,
B25A1549,001,1968/08/19 00:00:00,102,
B25A1549,001,1968/09/04 00:00:00,100,
B25A1549,001,1968/09/17 00:00:00,90,
B25A1549,001,1968/10/01 00:00:00,92,
B25A1549,001,1968/10/16 00:00:00,91,
B25A1549,001,1968/10/29 00:00:00,99,
B25A1549,001,1968/11/11 00:00:00,98,
B25A1549,001,1968/11/25 00:00:00,110,
B25A1549,001,1968/12/09 00:00:00,114,
B25A1549,001,1968/12/23 00:00:00,115,
B25A1549,001,1969/01/06 00:00:00,106,
B25A1549,001,1969/01/20 00:00:00,108,
B25A1549,001,1969/02/03 00:00:00,110,
B25A1549,001,1969/03/10 00:00:00,115,
B25A1549,001,1969/03/24 00:00:00,102,
B25A1549,001,1969/04/08 00:00:00,105,
B25A1549,001,1969/04/21 00:00:00,96,
B25A1549,001,1969/05/05 00:00:00,101,
B25A1549,001,1969/05/19 00:00:00,94,
B25A1549,001,1969/06/03 00:00:00,98,
B25A1549,001,1969/07/02 00:00:00,117,
B25A1549,001,1969/07/14 00:00:00,107,
B25A1549,001,1969/08/20 00:00:00,122,
B25A1549,001,1969/09/02 00:00:00,119,
B25A1549,001,1969/09/22 00:00:00,130,
B25A1549,001,1969/10/06 00:00:00,131,
B25A1549,001,1969/10/20 00:00:00,131,
B25A1549,001,1969/11/02 00:00:00,124,
B25A1549,001,1969/11/18 00:00:00,109,
B25A1549,001,1969/12/02 00:00:00,100,
B25A1549,001,1969/12/16 00:00:00,98,
B25A1549,001,1970/01/20 00:00:00,103,
B25A1549,001,1970/02/03 00:00:00,97,
B25A1549,001,1970/03/03 00:00:00,89,
B25A1549,001,1970/03/17 00:00:00,101,
B25A1549,001,1970/04/07 00:00:00,97,
B25A1549,001,1970/04/22 00:00:00,104,
B25A1549,001,1970/06/10 00:00:00,118,
B25A1549,001,1970/06/23 00:00:00,124,
B25A1549,001,1970/07/07 00:00:00,116,
B25A1549,001,1970/07/21 00:00:00,100,
B25A1549,001,1970/08/10 00:00:00,101,
B25A1549,001,1970/08/24 00:00:00,108,
B25A1549,001,1970/09/08 00:00:00,116,
B25A1549,001,1970/10/06 00:00:00,94,
B25A1549,001,1970/10/20 00:00:00,97,
B25A1549,001,1970/11/02 00:00:00,86,
B25A1549,001,1970/11/17 00:00:00,87,
B25A1549,001,1970/11/30 00:00:00,87,
B25A1549,001,1970/12/15 00:00:00,90,
B25A1549,001,1971/02/10 00:00:00,87,
B25A1549,001,1971/03/02 00:00:00,100,
B25A1549,001,1971/03/16 00:00:00,93,
B25A1549,001,1971/03/29 00:00:00,94,
B25A1549,001,1971/04/15 00:00:00,101,
B25A1549,001,1971/04/26 00:00:00,100,
B25A1549,001,1971/05/10 00:00:00,110,
B25A1549,001,1971/05/24 00:00:00,104,
B25A1549,001,1971/06/07 00:00:00,112,
B25A1549,001,1971/06/22 00:00:00,97,
B25A1549,001,1971/08/05 00:00:00,110,
B25A1549,001,1971/08/20 00:00:00,111,
B25A1549,001,1971/09/06 00:00:00,116,
B25A1549,001,1971/09/23 00:00:00,125,
B25A1549,001,1971/10/04 00:00:00,122,
B25A1549,001,1971/10/19 00:00:00,116,
B25A1549,001,1971/11/02 00:00:00,122,
B25A1549,001,1971/11/16 00:00:00,118,
B25A1549,001,1971/12/02 00:00:00,101,
B25A1549,001,1971/12/23 00:00:00,102,
B25A1549,001,1972/01/07 00:00:00,110,
B25A1549,001,1972/02/15 00:00:00,99,
B25A1549,001,1972/02/28 00:00:00,102,
B25A1549,001,1972/03/27 00:00:00,122,
B25A1549,001,1972/04/10 00:00:00,98,
B25A1549,001,1972/04/24 00:00:00,104,
B25A1549,001,1972/05/08 00:00:00,106,
B25A1549,001,1972/05/29 00:00:00,96,
B25A1549,001,1972/07/04 00:00:00,97,
B25A1549,001,1972/08/08 00:00:00,90,
B25A1549,001,1972/08/21 00:00:00,94,
B25A1549,001,1972/09/19 00:00:00,102,
B25A1549,001,1972/10/03 00:00:00,115,
B25A1549,001,1972/10/17 00:00:00,125,
B25A1549,001,1972/10/31 00:00:00,115,
B25A1549,001,1972/11/13 00:00:00,104,
B25A1549,001,1972/11/28 00:00:00,99,
B25A1549,001,1972/12/12 00:00:00,103,
B25A1549,001,1973/01/02 00:00:00,118,
B25A1549,001,1973/01/15 00:00:00,119,
B25A1549,001,1973/03/06 00:00:00,110,
B25A1549,001,1973/03/19 00:00:00,120,
B25A1549,001,1973/03/28 00:00:00,125,
B25A1549,001,1973/04/13 00:00:00,106,
B25A1549,001,1973/06/12 00:00:00,112,
B25A1549,001,1973/06/26 00:00:00,116,
