Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1562,001,25AP0104,104240,495911,423,,462,,,1959/08/11,1960/02/16
B25A1562,001,25AP0104,104240,495911,423,,435,,,1960/02/16,1976/01/14
B25A1562,001,25AP0104,104240,495911,423,,428,205,105,1976/01/14,2000/08/17
B25A1562,001,25AP0104,104240,495911,423,,425,205,105,2000/08/17,2004/05/26
B25A1562,001,25AP0104,104240,495911,420,,411,168,68,2004/05/26,2005/04/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1562,001,1959/08/11 00:00:00,182,
B25A1562,001,1959/08/25 00:00:00,178,
B25A1562,001,1959/09/08 00:00:00,169,
B25A1562,001,1959/09/22 00:00:00,165,
B25A1562,001,1959/10/06 00:00:00,168,
B25A1562,001,1959/10/30 00:00:00,159,
B25A1562,001,1959/11/11 00:00:00,152,
B25A1562,001,1959/11/26 00:00:00,145,
B25A1562,001,1959/12/09 00:00:00,142,
B25A1562,001,1959/12/22 00:00:00,140,
B25A1562,001,1960/01/05 00:00:00,129,
B25A1562,001,1960/01/20 00:00:00,128,
B25A1562,001,1960/02/02 00:00:00,104,
B25A1562,001,1960/02/16 00:00:00,139,
B25A1562,001,1960/03/01 00:00:00,142,
B25A1562,001,1960/03/15 00:00:00,150,
B25A1562,001,1960/03/29 00:00:00,156,
B25A1562,001,1960/04/12 00:00:00,157,
B25A1562,001,1960/04/26 00:00:00,160,
B25A1562,001,1960/05/10 00:00:00,160,
B25A1562,001,1960/05/24 00:00:00,163,
B25A1562,001,1960/06/09 00:00:00,168,
B25A1562,001,1960/06/21 00:00:00,177,
B25A1562,001,1960/07/06 00:00:00,181,
B25A1562,001,1960/07/19 00:00:00,174,
B25A1562,001,1960/08/03 00:00:00,181,
B25A1562,001,1960/08/16 00:00:00,167,
B25A1562,001,1960/08/30 00:00:00,153,
B25A1562,001,1960/09/20 00:00:00,162,
B25A1562,001,1960/10/04 00:00:00,170,
B25A1562,001,1960/10/20 00:00:00,134,
B25A1562,001,1960/11/02 00:00:00,121,
B25A1562,001,1960/11/15 00:00:00,144,
B25A1562,001,1960/12/06 00:00:00,106,
B25A1562,001,1961/01/11 00:00:00,107,
B25A1562,001,1961/01/24 00:00:00,116,
B25A1562,001,1961/02/07 00:00:00,113,
B25A1562,001,1961/02/21 00:00:00,129,
B25A1562,001,1961/03/08 00:00:00,130,
B25A1562,001,1961/10/16 00:00:00,154,
B25A1562,001,1962/01/14 00:00:00,117,
B25A1562,001,1962/04/27 00:00:00,115,
B25A1562,001,1962/07/14 00:00:00,154,
B25A1562,001,1962/10/15 00:00:00,156,
B25A1562,001,1963/01/14 00:00:00,150,
B25A1562,001,1963/04/29 00:00:00,137,
B25A1562,001,1963/07/15 00:00:00,139,
B25A1562,001,1963/10/14 00:00:00,139,
B25A1562,001,1964/01/14 00:00:00,145,
B25A1562,001,1964/04/28 00:00:00,145,
B25A1562,001,1964/07/14 00:00:00,155,
B25A1562,001,1964/10/14 00:00:00,164,
B25A1562,001,1965/01/14 00:00:00,141,
B25A1562,001,1965/04/14 00:00:00,146,
B25A1562,001,1965/07/14 00:00:00,163,
B25A1562,001,1965/10/18 00:00:00,140,
B25A1562,001,1966/01/14 00:00:00,125,
B25A1562,001,1966/04/27 00:00:00,112,
B25A1562,001,1966/07/14 00:00:00,152,
B25A1562,001,1966/10/14 00:00:00,146,
B25A1562,001,1967/01/16 00:00:00,119,
B25A1562,001,1967/05/02 00:00:00,136,
B25A1562,001,1967/07/14 00:00:00,163,
B25A1562,001,1967/10/13 00:00:00,159,
B25A1562,001,1975/01/14 00:00:00,276,
B25A1562,001,1975/04/29 00:00:00,289,
B25A1562,001,1975/07/14 00:00:00,246,
B25A1562,001,1975/10/14 00:00:00,225,
B25A1562,001,1976/01/14 00:00:00,274,
B25A1562,001,1976/04/26 00:00:00,234,
B25A1562,001,1976/07/14 00:00:00,212,
B25A1562,001,1976/10/30 00:00:00,212,
B25A1562,001,1977/01/14 00:00:00,255,
B25A1562,001,1977/04/13 00:00:00,258,
B25A1562,001,1977/07/14 00:00:00,204,
B25A1562,001,1978/01/13 00:00:00,168,
B25A1562,001,1978/04/25 00:00:00,158,
B25A1562,001,1978/07/14 00:00:00,179,
B25A1562,001,1978/10/14 00:00:00,209,
B25A1562,001,1979/01/14 00:00:00,173,
B25A1562,001,1979/04/27 00:00:00,173,
B25A1562,001,1980/04/14 00:00:00,137,
B25A1562,001,1980/07/14 00:00:00,153,
B25A1562,001,1980/10/14 00:00:00,185,
B25A1562,001,1981/01/14 00:00:00,122,
B25A1562,001,1981/04/29 00:00:00,168,
B25A1562,001,1981/07/14 00:00:00,165,
B25A1562,001,1984/12/14 00:00:00,285,
B25A1562,001,1985/02/14 00:00:00,135,
B25A1562,001,1985/03/14 00:00:00,143,
B25A1562,001,1985/04/14 00:00:00,133,
B25A1562,001,1985/05/14 00:00:00,152,
B25A1562,001,1985/07/14 00:00:00,162,
B25A1562,001,1985/08/14 00:00:00,147,
B25A1562,001,1985/09/14 00:00:00,158,
B25A1562,001,1985/10/14 00:00:00,164,
B25A1562,001,1985/11/14 00:00:00,157,
B25A1562,001,1985/12/14 00:00:00,160,
B25A1562,001,1986/01/14 00:00:00,123,
B25A1562,001,1986/02/14 00:00:00,130,
B25A1562,001,1986/03/14 00:00:00,133,
B25A1562,001,1986/04/14 00:00:00,144,
B25A1562,001,1986/05/14 00:00:00,143,
B25A1562,001,1986/06/14 00:00:00,143,
B25A1562,001,1986/07/14 00:00:00,177,
B25A1562,001,1986/08/14 00:00:00,193,
B25A1562,001,1986/10/14 00:00:00,200,
B25A1562,001,1986/11/14 00:00:00,149,
B25A1562,001,1986/12/14 00:00:00,146,
B25A1562,001,1987/02/14 00:00:00,139,
B25A1562,001,1987/03/14 00:00:00,142,
B25A1562,001,1987/04/14 00:00:00,141,
B25A1562,001,1987/05/14 00:00:00,151,
B25A1562,001,1987/06/14 00:00:00,146,
B25A1562,001,1987/07/14 00:00:00,159,
B25A1562,001,1987/08/14 00:00:00,138,
B25A1562,001,1987/09/14 00:00:00,144,
B25A1562,001,1987/10/14 00:00:00,143,
B25A1562,001,1987/11/14 00:00:00,141,
B25A1562,001,1987/12/14 00:00:00,129,
B25A1562,001,1988/01/14 00:00:00,109,
B25A1562,001,1988/02/14 00:00:00,110,
B25A1562,001,1988/03/14 00:00:00,114,
B25A1562,001,1988/04/14 00:00:00,113,
B25A1562,001,1988/05/14 00:00:00,134,
B25A1562,001,1988/06/14 00:00:00,153,
B25A1562,001,1988/07/14 00:00:00,154,
B25A1562,001,1988/09/14 00:00:00,171,
B25A1562,001,1988/10/14 00:00:00,151,
B25A1562,001,1988/11/14 00:00:00,145,
B25A1562,001,1988/12/14 00:00:00,135,
B25A1562,001,1989/05/16 00:00:00,145,
B25A1562,001,1990/01/29 00:00:00,165,
B25A1562,001,1990/02/14 00:00:00,147,
B25A1562,001,1990/03/14 00:00:00,143,
B25A1562,001,1990/03/28 00:00:00,155,
B25A1562,001,1990/04/12 00:00:00,155,
B25A1562,001,1990/04/27 00:00:00,157,
B25A1562,001,1990/05/14 00:00:00,160,
B25A1562,001,1990/05/28 00:00:00,170,
B25A1562,001,1990/08/14 00:00:00,196,
B25A1562,001,1990/08/28 00:00:00,201,
B25A1562,001,1990/09/14 00:00:00,211,
B25A1562,001,1990/09/28 00:00:00,205,
B25A1562,001,1990/10/15 00:00:00,203,
B25A1562,001,1990/10/29 00:00:00,205,
B25A1562,001,1990/11/14 00:00:00,180,
B25A1562,001,1990/11/28 00:00:00,157,
B25A1562,001,1990/12/14 00:00:00,159,
B25A1562,001,1990/12/28 00:00:00,158,
B25A1562,001,1991/01/14 00:00:00,148,
B25A1562,001,1991/01/28 00:00:00,157,
B25A1562,001,1991/02/14 00:00:00,166,
B25A1562,001,1991/02/28 00:00:00,163,
B25A1562,001,1991/03/14 00:00:00,157,
B25A1562,001,1991/03/28 00:00:00,165,
B25A1562,001,1991/04/15 00:00:00,170,
B25A1562,001,1991/04/26 00:00:00,172,
B25A1562,001,1991/05/28 00:00:00,181,
B25A1562,001,1991/06/14 00:00:00,193,
B25A1562,001,1991/06/28 00:00:00,158,
B25A1562,001,1991/07/14 00:00:00,162,
B25A1562,001,1991/07/29 00:00:00,175,
B25A1562,001,1991/08/14 00:00:00,186,
B25A1562,001,1991/08/28 00:00:00,202,
B25A1562,001,1991/09/14 00:00:00,203,
B25A1562,001,1991/09/27 00:00:00,207,
B25A1562,001,1991/10/14 00:00:00,193,
B25A1562,001,1991/10/28 00:00:00,194,
B25A1562,001,1991/11/14 00:00:00,164,
B25A1562,001,1991/11/28 00:00:00,163,
B25A1562,001,1991/12/14 00:00:00,175,
B25A1562,001,1991/12/24 00:00:00,162,
B25A1562,001,1992/01/14 00:00:00,149,
B25A1562,001,1992/01/28 00:00:00,160,
B25A1562,001,1992/02/14 00:00:00,163,
B25A1562,001,1992/02/28 00:00:00,166,
B25A1562,001,1992/03/14 00:00:00,168,
B25A1562,001,1992/03/28 00:00:00,160,
B25A1562,001,1992/04/14 00:00:00,165,
B25A1562,001,1992/04/28 00:00:00,165,
B25A1562,001,1992/05/14 00:00:00,158,
B25A1562,001,1992/05/28 00:00:00,170,
B25A1562,001,1992/06/15 00:00:00,185,
B25A1562,001,1992/06/30 00:00:00,187,
B25A1562,001,1992/08/28 00:00:00,199,
B25A1562,001,1992/09/15 00:00:00,183,
B25A1562,001,1992/10/28 00:00:00,147,
B25A1562,001,1992/11/12 00:00:00,150,
B25A1562,001,1992/11/27 00:00:00,142,
B25A1562,001,1992/12/15 00:00:00,143,
B25A1562,001,1992/12/29 00:00:00,152,
B25A1562,001,1993/01/15 00:00:00,137,
B25A1562,001,1993/01/29 00:00:00,146,
B25A1562,001,1993/02/16 00:00:00,162,
B25A1562,001,1993/03/02 00:00:00,157,
B25A1562,001,1993/03/16 00:00:00,163,
