Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-08/06/2017
Datum: 08/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1572,001,25AP0125,104200,489010,88,,85,-365,-465,1990/02/26,1999/10/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1572,001,1990/03/14 10:00:00,118,
B25A1572,001,1990/03/29 10:15:00,127,
B25A1572,001,1990/09/14 13:45:00,148,
B25A1572,001,1990/10/01 15:10:00,141,
B25A1572,001,1990/10/11 00:00:00,137,
B25A1572,001,1990/10/26 11:20:00,141,
B25A1572,001,1990/11/14 10:30:00,131,
B25A1572,001,1990/11/28 00:00:00,121,
B25A1572,001,1990/12/17 10:30:00,125,
B25A1572,001,1991/02/14 00:00:00,134,
B25A1572,001,1991/03/01 00:00:00,138,
B25A1572,001,1991/03/14 10:30:00,132,
B25A1572,001,1991/03/28 10:30:00,140,
B25A1572,001,1991/04/15 15:30:00,143,
B25A1572,001,1991/05/14 10:30:00,145,
B25A1572,001,1991/05/28 10:00:00,146,
B25A1572,001,1991/06/14 10:15:00,144,
B25A1572,001,1991/06/26 10:15:00,120,
B25A1572,001,1991/07/15 10:30:00,134,
B25A1572,001,1991/07/30 09:50:00,141,
B25A1572,001,1991/08/14 10:00:00,149,
B25A1572,001,1991/08/28 09:30:00,153,
B25A1572,001,1991/09/13 10:00:00,155,
B25A1572,001,1991/09/27 09:30:00,152,
B25A1572,001,1991/11/18 00:00:00,115,
B25A1572,001,1991/12/04 10:00:00,122,
B25A1572,001,1991/12/16 09:30:00,128,
B25A1572,001,1992/01/14 10:00:00,115,
B25A1572,001,1992/01/28 10:00:00,124,
B25A1572,001,1992/02/14 10:00:00,126,
B25A1572,001,1992/02/27 10:00:00,126,
B25A1572,001,1992/03/17 10:30:00,118,
B25A1572,001,1992/03/27 10:00:00,115,
B25A1572,001,1992/04/14 09:40:00,148,
B25A1572,001,1992/04/28 10:00:00,118,
B25A1572,001,1992/05/14 10:00:00,115,
B25A1572,001,1992/05/27 10:00:00,124,
B25A1572,001,1992/06/15 10:00:00,127,
B25A1572,001,1992/06/29 11:00:00,131,
B25A1572,001,1992/07/13 10:30:00,121,
B25A1572,001,1992/07/27 11:00:00,126,
B25A1572,001,1992/08/14 10:00:00,128,
B25A1572,001,1992/08/28 00:00:00,125,
B25A1572,001,1992/09/14 00:00:00,113,
B25A1572,001,1992/09/28 00:00:00,119,
B25A1572,001,1992/10/14 00:00:00,126,
B25A1572,001,1992/10/28 00:00:00,95,
B25A1572,001,1992/11/30 00:00:00,88,
B25A1572,001,1992/12/14 00:00:00,100,
B25A1572,001,1992/12/28 00:00:00,111,
B25A1572,001,1993/01/14 00:00:00,141,
B25A1572,001,1993/01/28 00:00:00,117,
B25A1572,001,1993/02/15 00:00:00,124,
B25A1572,001,1993/03/01 00:00:00,122,
B25A1572,001,1993/03/15 00:00:00,128,
B25A1572,001,1993/03/29 00:00:00,131,
B25A1572,001,1993/04/14 00:00:00,133,
B25A1572,001,1993/04/28 00:00:00,138,
B25A1572,001,1993/05/14 00:00:00,133,
B25A1572,001,1993/05/28 00:00:00,135,
B25A1572,001,1993/06/14 00:00:00,136,
B25A1572,001,1993/06/28 00:00:00,139,
B25A1572,001,1993/07/28 00:00:00,119,
B25A1572,001,1993/08/16 00:00:00,126,
B25A1572,001,1993/08/30 00:00:00,129,
B25A1572,001,1993/09/14 00:00:00,118,
B25A1572,001,1993/10/14 00:00:00,113,
B25A1572,001,1993/11/15 00:00:00,115,
B25A1572,001,1993/11/29 00:00:00,119,
B25A1572,001,1993/12/14 00:00:00,115,
B25A1572,001,1993/12/28 00:00:00,101,
B25A1572,001,1994/01/14 00:00:00,104,
B25A1572,001,1994/02/28 00:00:00,117,
B25A1572,001,1994/03/14 00:00:00,108,
B25A1572,001,1994/03/28 00:00:00,106,
B25A1572,001,1994/04/28 00:00:00,113,
B25A1572,001,1994/05/16 00:00:00,117,
B25A1572,001,1994/05/30 00:00:00,122,
B25A1572,001,1994/06/14 00:00:00,124,
B25A1572,001,1994/06/28 00:00:00,145,
B25A1572,001,1994/08/15 00:00:00,154,
B25A1572,001,1994/08/29 00:00:00,151,
B25A1572,001,1994/09/14 00:00:00,154,
B25A1572,001,1994/10/28 00:00:00,124,
B25A1572,001,1994/11/14 00:00:00,119,
B25A1572,001,1994/11/28 00:00:00,130,
B25A1572,001,1994/12/14 00:00:00,130,
B25A1572,001,1995/01/14 00:00:00,117,
B25A1572,001,1995/01/27 00:00:00,104,
B25A1572,001,1995/02/14 00:00:00,108,
B25A1572,001,1995/02/28 00:00:00,115,
B25A1572,001,1995/03/14 00:00:00,117,
B25A1572,001,1995/03/28 00:00:00,120,
B25A1572,001,1995/03/29 00:00:00,120,
B25A1572,001,1995/04/13 00:00:00,127,
B25A1572,001,1995/05/16 00:00:00,132,
B25A1572,001,1995/05/29 00:00:00,134,
B25A1572,001,1995/06/14 00:00:00,130,
B25A1572,001,1995/06/29 00:00:00,132,
B25A1572,001,1995/07/14 00:00:00,139,
B25A1572,001,1995/07/28 00:00:00,144,
B25A1572,001,1995/08/14 00:00:00,150,
B25A1572,001,1995/08/28 00:00:00,151,
B25A1572,001,1995/09/14 00:00:00,148,
B25A1572,001,1995/09/28 00:00:00,142,
B25A1572,001,1995/10/13 00:00:00,135,
B25A1572,001,1995/10/27 00:00:00,137,
B25A1572,001,1995/11/14 00:00:00,134,
B25A1572,001,1995/11/30 00:00:00,128,
B25A1572,001,1995/12/18 00:00:00,133,
B25A1572,001,1996/01/18 00:00:00,130,
B25A1572,001,1996/02/14 00:00:00,134,
B25A1572,001,1996/02/28 00:00:00,122,
B25A1572,001,1996/04/26 00:00:00,137,
B25A1572,001,1996/05/14 00:00:00,140,
B25A1572,001,1996/05/28 00:00:00,135,
B25A1572,001,1996/06/14 00:00:00,140,
B25A1572,001,1996/06/28 00:00:00,142,
B25A1572,001,1996/07/15 00:00:00,138,
B25A1572,001,1996/07/29 00:00:00,140,
B25A1572,001,1996/08/14 00:00:00,131,
B25A1572,001,1996/08/28 00:00:00,128,
