Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1581,001,25AL0008,101520,492240,835,,887,,,1969/09/28,1973/11/14
B25A1581,001,25AL0008,101520,492240,835,,305,,,1973/11/14,1974/12/14
B25A1581,001,25AL0008,101520,492240,835,,350,,,1974/12/14,1975/02/14
B25A1581,001,25AL0008,101520,492240,835,,400,,,1975/02/14,1977/01/14
B25A1581,001,25AL0008,101520,492240,835,,490,,,1977/01/14,1982/03/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1581,001,1969/09/28 00:00:00,375,
B25A1581,001,1969/10/14 00:00:00,375,
B25A1581,001,1969/10/28 00:00:00,377,
B25A1581,001,1969/11/14 00:00:00,372,
B25A1581,001,1969/11/28 00:00:00,372,
B25A1581,001,1969/12/15 00:00:00,375,
B25A1581,001,1969/12/29 00:00:00,374,
B25A1581,001,1970/01/14 00:00:00,375,
B25A1581,001,1970/01/28 00:00:00,378,
B25A1581,001,1970/02/14 00:00:00,379,
B25A1581,001,1970/02/28 00:00:00,371,
B25A1581,001,1970/03/14 00:00:00,373,
B25A1581,001,1970/03/26 00:00:00,375,
B25A1581,001,1970/04/14 00:00:00,375,
B25A1581,001,1970/04/28 00:00:00,377,
B25A1581,001,1970/05/14 00:00:00,382,
B25A1581,001,1970/05/28 00:00:00,386,
B25A1581,001,1970/06/14 00:00:00,392,
B25A1581,001,1970/06/28 00:00:00,395,
B25A1581,001,1970/07/14 00:00:00,390,
B25A1581,001,1970/07/28 00:00:00,391,
B25A1581,001,1970/08/14 00:00:00,396,
B25A1581,001,1970/08/28 00:00:00,403,
B25A1581,001,1970/09/14 00:00:00,403,
B25A1581,001,1970/09/28 00:00:00,395,
B25A1581,001,1971/03/15 00:00:00,420,
B25A1581,001,1971/03/28 00:00:00,420,
B25A1581,001,1971/04/14 00:00:00,422,
B25A1581,001,1971/04/28 00:00:00,422,
B25A1581,001,1971/05/14 00:00:00,426,
B25A1581,001,1971/08/28 00:00:00,439,
B25A1581,001,1972/05/14 00:00:00,465,
B25A1581,001,1972/05/28 00:00:00,463,
B25A1581,001,1972/06/14 00:00:00,466,
B25A1581,001,1972/06/28 00:00:00,466,
B25A1581,001,1972/07/14 00:00:00,464,
B25A1581,001,1972/07/28 00:00:00,463,
B25A1581,001,1972/08/14 00:00:00,470,
B25A1581,001,1972/08/28 00:00:00,476,
B25A1581,001,1972/09/14 00:00:00,477,
B25A1581,001,1972/09/28 00:00:00,479,
B25A1581,001,1972/10/14 00:00:00,483,
B25A1581,001,1972/10/28 00:00:00,484,
B25A1581,001,1972/11/14 00:00:00,481,
B25A1581,001,1972/11/28 00:00:00,467,
B25A1581,001,1972/12/14 00:00:00,468,
B25A1581,001,1972/12/28 00:00:00,469,
B25A1581,001,1973/01/14 00:00:00,471,
B25A1581,001,1973/01/28 00:00:00,481,
B25A1581,001,1973/02/14 00:00:00,471,
B25A1581,001,1973/02/28 00:00:00,472,
