Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1583,001,25AL0010,100040,494140,650,,752,336,276,1959/06/28,1968/09/14
B25A1583,001,25AL0010,100040,494140,577,,602,336,276,1968/09/14,1972/02/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1583,001,1959/06/28 00:00:00,225,
B25A1583,001,1959/07/14 00:00:00,228,
B25A1583,001,1959/07/28 00:00:00,231,
B25A1583,001,1959/08/14 00:00:00,242,
B25A1583,001,1959/08/28 00:00:00,243,
B25A1583,001,1959/09/14 00:00:00,248,
B25A1583,001,1959/09/28 00:00:00,253,
B25A1583,001,1959/10/14 00:00:00,254,
B25A1583,001,1959/10/28 00:00:00,260,
B25A1583,001,1959/11/14 00:00:00,262,
B25A1583,001,1959/11/28 00:00:00,266,
B25A1583,001,1959/12/14 00:00:00,266,
B25A1583,001,1959/12/28 00:00:00,259,
B25A1583,001,1960/01/14 00:00:00,249,
B25A1583,001,1960/01/28 00:00:00,246,
B25A1583,001,1960/02/15 00:00:00,243,
B25A1583,001,1960/02/29 00:00:00,235,
B25A1583,001,1960/03/14 00:00:00,237,
B25A1583,001,1960/03/28 00:00:00,238,
B25A1583,001,1960/04/14 00:00:00,257,
B25A1583,001,1960/04/28 00:00:00,263,
B25A1583,001,1960/05/14 00:00:00,297,
B25A1583,001,1960/05/28 00:00:00,294,
B25A1583,001,1960/06/14 00:00:00,298,
B25A1583,001,1960/06/28 00:00:00,310,
B25A1583,001,1960/07/14 00:00:00,,D
B25A1583,001,1960/07/28 00:00:00,308,
B25A1583,001,1960/08/15 00:00:00,295,
B25A1583,001,1960/08/29 00:00:00,288,
B25A1583,001,1960/09/14 00:00:00,285,
B25A1583,001,1960/09/28 00:00:00,283,
B25A1583,001,1960/10/14 00:00:00,276,
B25A1583,001,1960/10/28 00:00:00,278,
B25A1583,001,1960/11/14 00:00:00,258,
B25A1583,001,1960/11/28 00:00:00,244,
B25A1583,001,1960/12/14 00:00:00,227,
B25A1583,001,1960/12/28 00:00:00,209,
B25A1583,001,1961/01/14 00:00:00,208,
B25A1583,001,1961/01/28 00:00:00,201,
B25A1583,001,1961/02/14 00:00:00,190,
B25A1583,001,1961/02/28 00:00:00,185,
B25A1583,001,1961/03/14 00:00:00,184,
B25A1583,001,1961/03/28 00:00:00,182,
B25A1583,001,1961/04/14 00:00:00,181,
B25A1583,001,1961/04/28 00:00:00,180,
B25A1583,001,1961/05/14 00:00:00,185,
B25A1583,001,1961/05/28 00:00:00,195,
B25A1583,001,1961/06/14 00:00:00,201,
B25A1583,001,1961/06/28 00:00:00,207,
B25A1583,001,1961/07/14 00:00:00,211,
B25A1583,001,1961/07/28 00:00:00,215,
B25A1583,001,1961/08/14 00:00:00,219,
B25A1583,001,1961/08/28 00:00:00,225,
B25A1583,001,1961/09/14 00:00:00,218,
B25A1583,001,1961/09/28 00:00:00,223,
B25A1583,001,1961/10/14 00:00:00,229,
B25A1583,001,1961/10/28 00:00:00,222,
B25A1583,001,1961/11/14 00:00:00,210,
B25A1583,001,1961/11/28 00:00:00,212,
B25A1583,001,1961/12/14 00:00:00,191,
B25A1583,001,1961/12/28 00:00:00,188,
B25A1583,001,1962/01/15 00:00:00,175,
B25A1583,001,1962/01/29 00:00:00,172,
B25A1583,001,1962/02/14 00:00:00,167,
B25A1583,001,1962/02/28 00:00:00,167,
B25A1583,001,1962/03/19 00:00:00,154,
B25A1583,001,1962/03/28 00:00:00,155,
B25A1583,001,1962/04/13 00:00:00,161,
B25A1583,001,1962/04/24 00:00:00,159,
B25A1583,001,1962/05/14 00:00:00,162,
B25A1583,001,1962/05/28 00:00:00,182,
B25A1583,001,1962/06/14 00:00:00,175,
B25A1583,001,1962/06/28 00:00:00,187,
B25A1583,001,1962/07/13 00:00:00,213,
B25A1583,001,1962/07/26 00:00:00,219,
B25A1583,001,1962/09/13 00:00:00,251,
B25A1583,001,1962/09/26 00:00:00,256,
B25A1583,001,1962/10/16 00:00:00,278,
B25A1583,001,1962/10/30 00:00:00,256,
B25A1583,001,1962/11/15 00:00:00,258,
B25A1583,001,1963/03/28 00:00:00,241,
B25A1583,001,1963/04/28 00:00:00,147,
B25A1583,001,1963/05/14 00:00:00,228,
B25A1583,001,1963/05/28 00:00:00,226,
B25A1583,001,1963/06/14 00:00:00,224,
B25A1583,001,1963/06/28 00:00:00,228,
B25A1583,001,1963/07/29 00:00:00,234,
B25A1583,001,1963/08/14 00:00:00,239,
B25A1583,001,1963/08/28 00:00:00,235,
B25A1583,001,1963/09/14 00:00:00,235,
B25A1583,001,1963/09/28 00:00:00,235,
B25A1583,001,1963/10/28 00:00:00,237,
B25A1583,001,1963/11/14 00:00:00,240,
B25A1583,001,1963/11/28 00:00:00,217,
B25A1583,001,1963/12/28 00:00:00,213,
B25A1583,001,1964/01/14 00:00:00,210,
B25A1583,001,1964/01/28 00:00:00,213,
B25A1583,001,1964/02/14 00:00:00,237,
B25A1583,001,1964/02/28 00:00:00,247,
B25A1583,001,1964/03/13 00:00:00,284,
B25A1583,001,1964/03/27 00:00:00,248,
B25A1583,001,1964/04/14 00:00:00,257,
B25A1583,001,1964/04/28 00:00:00,254,
B25A1583,001,1964/05/14 00:00:00,240,
B25A1583,001,1964/05/28 00:00:00,233,
B25A1583,001,1964/06/15 00:00:00,248,
B25A1583,001,1964/06/29 00:00:00,256,
B25A1583,001,1964/07/14 00:00:00,247,
B25A1583,001,1964/07/28 00:00:00,252,
B25A1583,001,1964/08/14 00:00:00,250,
B25A1583,001,1964/08/28 00:00:00,267,
B25A1583,001,1964/09/14 00:00:00,265,
B25A1583,001,1964/09/28 00:00:00,267,
B25A1583,001,1964/10/14 00:00:00,265,
B25A1583,001,1964/10/28 00:00:00,273,
B25A1583,001,1964/11/13 00:00:00,270,
B25A1583,001,1964/11/27 00:00:00,266,
B25A1583,001,1964/12/14 00:00:00,256,
B25A1583,001,1965/01/14 00:00:00,254,
B25A1583,001,1965/01/28 00:00:00,251,
B25A1583,001,1965/02/15 00:00:00,247,
B25A1583,001,1965/03/01 00:00:00,246,
B25A1583,001,1965/03/15 00:00:00,248,
B25A1583,001,1965/03/29 00:00:00,249,
B25A1583,001,1965/04/14 00:00:00,249,
B25A1583,001,1965/04/28 00:00:00,251,
B25A1583,001,1965/05/14 00:00:00,248,
B25A1583,001,1965/05/28 00:00:00,243,
B25A1583,001,1965/06/14 00:00:00,253,
B25A1583,001,1965/06/28 00:00:00,245,
B25A1583,001,1965/07/14 00:00:00,248,
B25A1583,001,1965/07/28 00:00:00,254,
B25A1583,001,1965/08/13 00:00:00,254,
B25A1583,001,1965/08/27 00:00:00,256,
B25A1583,001,1965/09/14 00:00:00,247,
B25A1583,001,1965/09/28 00:00:00,244,
B25A1583,001,1965/10/14 00:00:00,244,
B25A1583,001,1965/10/28 00:00:00,245,
B25A1583,001,1965/11/15 00:00:00,248,
B25A1583,001,1965/11/29 00:00:00,252,
B25A1583,001,1965/12/14 00:00:00,232,
B25A1583,001,1965/12/28 00:00:00,226,
B25A1583,001,1966/01/14 00:00:00,219,
B25A1583,001,1966/01/28 00:00:00,215,
B25A1583,001,1966/02/28 00:00:00,202,
B25A1583,001,1966/03/14 00:00:00,199,
B25A1583,001,1966/03/28 00:00:00,197,
B25A1583,001,1966/04/28 00:00:00,191,
B25A1583,001,1966/05/13 00:00:00,191,
B25A1583,001,1966/05/27 00:00:00,194,
B25A1583,001,1966/06/14 00:00:00,200,
B25A1583,001,1966/06/28 00:00:00,198,
B25A1583,001,1966/07/14 00:00:00,205,
B25A1583,001,1966/07/28 00:00:00,206,
B25A1583,001,1966/08/15 00:00:00,209,
B25A1583,001,1966/08/29 00:00:00,211,
B25A1583,001,1966/09/14 00:00:00,210,
B25A1583,001,1966/09/28 00:00:00,220,
B25A1583,001,1966/10/14 00:00:00,216,
B25A1583,001,1966/10/28 00:00:00,224,
B25A1583,001,1966/11/14 00:00:00,225,
B25A1583,001,1966/11/28 00:00:00,216,
B25A1583,001,1966/12/28 00:00:00,190,
B25A1583,001,1967/01/14 00:00:00,171,
B25A1583,001,1967/01/28 00:00:00,173,
B25A1583,001,1967/02/14 00:00:00,172,
B25A1583,001,1967/02/28 00:00:00,165,
B25A1583,001,1967/03/14 00:00:00,166,
B25A1583,001,1967/03/28 00:00:00,164,
B25A1583,001,1967/04/14 00:00:00,161,
B25A1583,001,1967/04/28 00:00:00,164,
B25A1583,001,1967/05/14 00:00:00,165,
