Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1599,001,25AL0052,106140,494720,14,,-1,-301,-401,1972/12/14,1980/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1599,001,1972/12/14 00:00:00,72,
B25A1599,001,1973/01/15 00:00:00,94,
B25A1599,001,1973/02/14 00:00:00,64,
B25A1599,001,1973/03/15 00:00:00,89,
B25A1599,001,1973/04/16 00:00:00,90,
B25A1599,001,1973/05/14 00:00:00,99,
B25A1599,001,1973/06/14 00:00:00,102,
B25A1599,001,1973/07/14 00:00:00,99,
B25A1599,001,1973/08/14 00:00:00,96,
B25A1599,001,1973/09/14 00:00:00,114,
B25A1599,001,1973/10/15 00:00:00,72,
B25A1599,001,1973/11/14 00:00:00,65,
B25A1599,001,1973/12/17 00:00:00,63,
B25A1599,001,1974/01/14 00:00:00,66,
B25A1599,001,1974/02/14 00:00:00,69,
B25A1599,001,1974/03/13 00:00:00,71,
B25A1599,001,1974/04/16 00:00:00,106,
B25A1599,001,1974/05/14 00:00:00,99,
B25A1599,001,1974/06/14 00:00:00,106,
B25A1599,001,1974/07/15 00:00:00,103,
B25A1599,001,1974/08/14 00:00:00,86,
B25A1599,001,1974/09/19 00:00:00,79,
B25A1599,001,1974/10/24 00:00:00,61,
B25A1599,001,1974/11/14 00:00:00,69,
B25A1599,001,1974/12/14 00:00:00,66,
B25A1599,001,1975/01/14 00:00:00,79,
B25A1599,001,1975/02/14 00:00:00,72,
B25A1599,001,1975/03/17 00:00:00,68,
B25A1599,001,1975/04/15 00:00:00,68,
B25A1599,001,1975/05/14 00:00:00,83,
B25A1599,001,1975/06/13 00:00:00,85,
B25A1599,001,1975/07/14 00:00:00,86,
B25A1599,001,1975/08/14 00:00:00,85,
B25A1599,001,1975/09/23 00:00:00,82,
B25A1599,001,1975/10/14 00:00:00,106,
B25A1599,001,1975/11/14 00:00:00,90,
B25A1599,001,1975/12/15 00:00:00,84,
B25A1599,001,1976/01/14 00:00:00,77,
B25A1599,001,1976/02/13 00:00:00,80,
B25A1599,001,1976/03/14 00:00:00,92,
B25A1599,001,1976/04/26 00:00:00,90,
B25A1599,001,1976/05/24 00:00:00,82,
B25A1599,001,1976/06/16 00:00:00,83,
B25A1599,001,1976/07/14 00:00:00,68,
B25A1599,001,1976/08/13 00:00:00,68,
B25A1599,001,1976/09/14 00:00:00,67,
B25A1599,001,1976/10/20 00:00:00,76,
B25A1599,001,1976/11/15 00:00:00,81,
B25A1599,001,1976/12/14 00:00:00,74,
B25A1599,001,1977/01/14 00:00:00,65,
B25A1599,001,1977/02/14 00:00:00,66,
B25A1599,001,1977/03/28 00:00:00,73,
B25A1599,001,1977/04/14 00:00:00,77,
B25A1599,001,1977/05/15 00:00:00,86,
B25A1599,001,1977/06/08 00:00:00,86,
B25A1599,001,1977/07/14 00:00:00,80,
B25A1599,001,1977/09/15 00:00:00,84,
B25A1599,001,1977/10/14 00:00:00,110,
B25A1599,001,1977/11/14 00:00:00,74,
B25A1599,001,1977/12/13 00:00:00,84,
B25A1599,001,1978/01/13 00:00:00,79,
B25A1599,001,1978/02/14 00:00:00,89,
B25A1599,001,1978/03/14 00:00:00,86,
B25A1599,001,1978/04/25 00:00:00,79,
B25A1599,001,1978/05/14 00:00:00,63,
B25A1599,001,1978/07/14 00:00:00,79,
B25A1599,001,1978/08/14 00:00:00,79,
B25A1599,001,1978/09/14 00:00:00,78,
B25A1599,001,1978/11/14 00:00:00,100,
B25A1599,001,1978/12/14 00:00:00,62,
B25A1599,001,1979/02/14 00:00:00,60,
B25A1599,001,1979/03/14 00:00:00,74,
B25A1599,001,1979/04/27 00:00:00,87,
B25A1599,001,1979/05/14 00:00:00,81,
B25A1599,001,1979/06/14 00:00:00,77,
B25A1599,001,1979/07/14 00:00:00,70,
B25A1599,001,1979/08/14 00:00:00,65,
B25A1599,001,1979/09/14 00:00:00,76,
B25A1599,001,1979/10/14 00:00:00,89,
B25A1599,001,1979/11/14 00:00:00,62,
B25A1599,001,1979/12/14 00:00:00,100,
