Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1602,001,25AL0055,105670,490680,-145,,-135,-385,-435,1972/01/20,1980/03/15

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1602,001,1972/01/20 00:00:00,47,
B25A1602,001,1972/02/29 00:00:00,78,
B25A1602,001,1972/03/14 00:00:00,78,
B25A1602,001,1972/05/08 00:00:00,89,
B25A1602,001,1972/05/29 00:00:00,88,
B25A1602,001,1972/06/14 00:00:00,89,
B25A1602,001,1972/06/28 00:00:00,90,
B25A1602,001,1972/07/14 00:00:00,87,
B25A1602,001,1972/07/28 00:00:00,88,
B25A1602,001,1972/08/14 00:00:00,86,
B25A1602,001,1972/08/28 00:00:00,88,
B25A1602,001,1972/09/14 00:00:00,97,
B25A1602,001,1972/09/28 00:00:00,100,
B25A1602,001,1972/10/12 00:00:00,96,
B25A1602,001,1972/10/27 00:00:00,91,
B25A1602,001,1972/11/14 00:00:00,91,
B25A1602,001,1972/11/28 00:00:00,80,
B25A1602,001,1972/12/14 00:00:00,73,
B25A1602,001,1972/12/28 00:00:00,77,
B25A1602,001,1973/01/14 00:00:00,82,
B25A1602,001,1973/01/28 00:00:00,83,
B25A1602,001,1973/02/14 00:00:00,78,
B25A1602,001,1973/02/28 00:00:00,77,
B25A1602,001,1973/03/14 00:00:00,80,
B25A1602,001,1973/03/28 00:00:00,82,
B25A1602,001,1973/04/14 00:00:00,78,
B25A1602,001,1973/04/28 00:00:00,84,
B25A1602,001,1973/05/14 00:00:00,84,
B25A1602,001,1973/05/28 00:00:00,85,
B25A1602,001,1973/06/14 00:00:00,95,
B25A1602,001,1973/06/28 00:00:00,107,
B25A1602,001,1973/07/14 00:00:00,104,
B25A1602,001,1973/07/28 00:00:00,107,
B25A1602,001,1973/08/14 00:00:00,108,
B25A1602,001,1973/08/28 00:00:00,106,
B25A1602,001,1973/09/14 00:00:00,106,
B25A1602,001,1973/09/28 00:00:00,101,
B25A1602,001,1973/10/14 00:00:00,97,
B25A1602,001,1973/10/28 00:00:00,96,
B25A1602,001,1973/11/14 00:00:00,89,
B25A1602,001,1973/11/28 00:00:00,83,
B25A1602,001,1973/12/14 00:00:00,82,
B25A1602,001,1973/12/28 00:00:00,79,
B25A1602,001,1974/01/14 00:00:00,72,
B25A1602,001,1974/01/28 00:00:00,70,
B25A1602,001,1974/04/14 00:00:00,94,
B25A1602,001,1974/04/28 00:00:00,98,
B25A1602,001,1974/05/14 00:00:00,100,
B25A1602,001,1974/05/28 00:00:00,104,
B25A1602,001,1974/06/14 00:00:00,113,
B25A1602,001,1974/06/28 00:00:00,112,
B25A1602,001,1974/07/14 00:00:00,109,
B25A1602,001,1974/07/28 00:00:00,105,
B25A1602,001,1974/08/14 00:00:00,98,
B25A1602,001,1974/08/28 00:00:00,100,
B25A1602,001,1974/09/14 00:00:00,105,
B25A1602,001,1974/09/28 00:00:00,109,
B25A1602,001,1974/10/14 00:00:00,89,
B25A1602,001,1974/10/28 00:00:00,124,
B25A1602,001,1974/11/14 00:00:00,129,
B25A1602,001,1974/11/28 00:00:00,120,
B25A1602,001,1974/12/14 00:00:00,125,
B25A1602,001,1974/12/28 00:00:00,128,
B25A1602,001,1975/01/14 00:00:00,131,
B25A1602,001,1975/01/28 00:00:00,135,
B25A1602,001,1975/02/14 00:00:00,138,
B25A1602,001,1975/02/28 00:00:00,136,
B25A1602,001,1975/03/14 00:00:00,135,
B25A1602,001,1975/03/28 00:00:00,123,
B25A1602,001,1975/04/14 00:00:00,108,
B25A1602,001,1975/04/28 00:00:00,88,
B25A1602,001,1975/05/14 00:00:00,90,
B25A1602,001,1975/05/28 00:00:00,101,
B25A1602,001,1975/06/14 00:00:00,105,
B25A1602,001,1975/06/28 00:00:00,106,
B25A1602,001,1975/07/14 00:00:00,100,
B25A1602,001,1975/07/28 00:00:00,92,
B25A1602,001,1975/08/14 00:00:00,99,
B25A1602,001,1975/08/28 00:00:00,100,
B25A1602,001,1975/09/14 00:00:00,104,
B25A1602,001,1975/09/28 00:00:00,102,
B25A1602,001,1975/10/14 00:00:00,98,
B25A1602,001,1975/10/28 00:00:00,95,
B25A1602,001,1975/11/14 00:00:00,92,
B25A1602,001,1975/11/28 00:00:00,85,
B25A1602,001,1975/12/14 00:00:00,90,
B25A1602,001,1975/12/28 00:00:00,90,
B25A1602,001,1976/01/14 00:00:00,87,
B25A1602,001,1976/01/28 00:00:00,85,
B25A1602,001,1976/02/14 00:00:00,87,
B25A1602,001,1976/02/28 00:00:00,93,
B25A1602,001,1976/03/14 00:00:00,95,
B25A1602,001,1976/03/28 00:00:00,90,
B25A1602,001,1976/04/14 00:00:00,88,
B25A1602,001,1976/04/28 00:00:00,100,
B25A1602,001,1976/05/14 00:00:00,101,
B25A1602,001,1976/05/28 00:00:00,101,
B25A1602,001,1976/06/14 00:00:00,103,
B25A1602,001,1976/06/28 00:00:00,101,
B25A1602,001,1976/07/14 00:00:00,98,
B25A1602,001,1976/07/28 00:00:00,92,
B25A1602,001,1976/08/14 00:00:00,94,
B25A1602,001,1976/08/28 00:00:00,96,
B25A1602,001,1976/09/14 00:00:00,80,
B25A1602,001,1976/09/28 00:00:00,82,
B25A1602,001,1976/10/14 00:00:00,81,
B25A1602,001,1976/10/28 00:00:00,87,
B25A1602,001,1976/11/14 00:00:00,94,
B25A1602,001,1976/11/28 00:00:00,92,
B25A1602,001,1976/12/14 00:00:00,90,
B25A1602,001,1976/12/28 00:00:00,86,
B25A1602,001,1977/01/14 00:00:00,80,
B25A1602,001,1977/01/28 00:00:00,73,
B25A1602,001,1977/02/14 00:00:00,71,
B25A1602,001,1977/02/28 00:00:00,72,
B25A1602,001,1977/03/14 00:00:00,74,
B25A1602,001,1977/03/28 00:00:00,76,
B25A1602,001,1977/04/14 00:00:00,80,
B25A1602,001,1977/04/28 00:00:00,83,
