Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1611,001,25AL0060,109820,495910,-161,,-179,,,1952/10/14,1953/05/28
B25A1611,001,25AL0060,109820,495910,-161,,-182,,,1953/05/28,1954/04/28
B25A1611,001,25AL0060,109820,495910,-161,,-185,,,1954/04/28,1955/04/27
B25A1611,001,25AL0060,109820,495910,-161,,-179,,,1955/04/27,1961/04/14
B25A1611,001,25AL0060,109820,495910,-165,,-184,,,1961/04/14,1963/07/16
B25A1611,001,25AL0060,109820,495910,-165,,-171,,,1963/07/16,1964/12/21
B25A1611,001,25AL0060,109820,495910,-165,,-165,,,1964/12/21,1976/10/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1611,001,1952/10/14 00:00:00,12,
B25A1611,001,1952/12/29 00:00:00,12,
B25A1611,001,1953/05/28 00:00:00,71,
B25A1611,001,1953/08/28 00:00:00,80,
B25A1611,001,1953/10/14 00:00:00,62,
B25A1611,001,1953/12/14 00:00:00,65,
B25A1611,001,1954/04/28 00:00:00,55,
B25A1611,001,1954/08/28 00:00:00,26,
B25A1611,001,1954/10/14 00:00:00,30,
B25A1611,001,1954/12/14 00:00:00,4,
B25A1611,001,1955/04/27 00:00:00,38,
B25A1611,001,1955/07/21 00:00:00,97,
B25A1611,001,1955/09/06 00:00:00,88,
B25A1611,001,1955/10/14 00:00:00,29,
B25A1611,001,1965/12/14 00:00:00,0,
B25A1611,001,1966/02/23 00:00:00,0,
B25A1611,001,1966/03/14 00:00:00,0,
B25A1611,001,1966/04/14 00:00:00,8,
B25A1611,001,1966/05/16 00:00:00,32,
B25A1611,001,1966/06/14 00:00:00,51,
B25A1611,001,1966/07/14 00:00:00,77,
B25A1611,001,1966/08/15 00:00:00,26,
B25A1611,001,1966/09/14 00:00:00,26,
