Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1612,001,25AL0060,109830,495890,,,,,,1976/10/14,1986/06/12
B25A1612,001,25AL0060,109830,495890,,,,,,1986/06/12,1988/11/24

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1612,001,1976/10/14 00:00:00,39,
B25A1612,001,1976/11/15 00:00:00,31,
B25A1612,001,1976/12/14 00:00:00,17,
B25A1612,001,1977/01/14 00:00:00,5,
B25A1612,001,1977/02/14 00:00:00,5,
B25A1612,001,1977/03/14 00:00:00,5,
B25A1612,001,1977/04/14 00:00:00,5,
B25A1612,001,1977/05/14 00:00:00,5,
B25A1612,001,1977/06/14 00:00:00,37,
B25A1612,001,1977/07/14 00:00:00,60,
B25A1612,001,1977/08/15 00:00:00,31,
B25A1612,001,1977/09/14 00:00:00,47,
B25A1612,001,1977/10/14 00:00:00,37,
B25A1612,001,1977/11/15 00:00:00,5,
B25A1612,001,1977/12/14 00:00:00,5,
B25A1612,001,1978/01/13 00:00:00,5,
B25A1612,001,1978/02/14 00:00:00,5,
B25A1612,001,1978/03/14 00:00:00,10,
B25A1612,001,1978/04/14 00:00:00,5,
B25A1612,001,1978/05/16 00:00:00,24,
B25A1612,001,1978/06/14 00:00:00,37,
B25A1612,001,1978/07/03 00:00:00,23,
B25A1612,001,1978/08/14 00:00:00,26,
B25A1612,001,1978/09/13 00:00:00,34,
B25A1612,001,1978/10/13 00:00:00,27,
B25A1612,001,1978/11/14 00:00:00,25,
B25A1612,001,1978/12/14 00:00:00,5,
B25A1612,001,1979/03/14 00:00:00,17,
B25A1612,001,1979/04/12 00:00:00,30,
B25A1612,001,1979/05/14 00:00:00,26,
B25A1612,001,1979/06/14 00:00:00,5,
B25A1612,001,1979/07/14 00:00:00,38,
B25A1612,001,1979/08/14 00:00:00,45,
B25A1612,001,1979/09/14 00:00:00,34,
B25A1612,001,1979/10/15 00:00:00,5,
B25A1612,001,1979/11/14 00:00:00,5,
B25A1612,001,1979/12/14 00:00:00,5,
B25A1612,001,1980/08/14 00:00:00,17,
B25A1612,001,1980/10/14 00:00:00,30,
B25A1612,001,1980/12/15 00:00:00,5,
B25A1612,001,1981/04/14 00:00:00,56,
B25A1612,001,1981/08/14 00:00:00,41,
B25A1612,001,1981/10/14 00:00:00,5,
B25A1612,001,1982/04/14 00:00:00,13,
B25A1612,001,1982/08/16 00:00:00,57,
B25A1612,001,1982/10/14 00:00:00,5,
B25A1612,001,1982/12/14 00:00:00,5,
B25A1612,001,1983/04/14 00:00:00,12,
B25A1612,001,1983/08/12 00:00:00,59,
B25A1612,001,1983/10/17 00:00:00,6,
B25A1612,001,1983/12/14 00:00:00,17,
B25A1612,001,1984/04/27 00:00:00,31,
B25A1612,001,1984/08/28 00:00:00,54,
B25A1612,001,1984/10/15 00:00:00,18,
B25A1612,001,1984/12/14 00:00:00,19,
B25A1612,001,1985/04/29 00:00:00,31,
B25A1612,001,1985/08/28 00:00:00,20,
B25A1612,001,1985/10/14 00:00:00,21,
B25A1612,001,1985/12/16 00:00:00,5,
B25A1612,001,1986/04/29 00:00:00,7,
B25A1612,001,1986/08/28 00:00:00,45,
B25A1612,001,1986/10/14 00:00:00,43,
B25A1612,001,1986/12/15 00:00:00,5,
B25A1612,001,1987/04/28 00:00:00,31,
B25A1612,001,1987/12/14 00:00:00,10,
B25A1612,001,1988/04/28 12:00:00,28,
B25A1612,001,1988/08/30 10:45:00,22,
