Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1623,001,25AL0069,108200,493490,-114,,-114,,,1950/05/22,1952/04/07
B25A1623,001,25AL0069,108200,493490,-114,,-117,,,1952/04/07,1955/07/28
B25A1623,001,25AL0069,108200,493490,-114,,-102,,,1955/07/28,1957/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1623,001,1950/05/22 00:00:00,151,
B25A1623,001,1950/06/01 00:00:00,163,
B25A1623,001,1950/06/09 00:00:00,166,
B25A1623,001,1950/06/14 00:00:00,172,
B25A1623,001,1950/06/19 00:00:00,176,
B25A1623,001,1950/06/26 00:00:00,174,
B25A1623,001,1950/06/30 00:00:00,180,
B25A1623,001,1950/07/07 00:00:00,162,
B25A1623,001,1950/07/14 00:00:00,153,
B25A1623,001,1950/07/22 00:00:00,179,
B25A1623,001,1950/07/29 00:00:00,154,
B25A1623,001,1950/08/05 00:00:00,158,
B25A1623,001,1950/08/12 00:00:00,161,
B25A1623,001,1950/08/19 00:00:00,153,
B25A1623,001,1950/08/26 00:00:00,145,
B25A1623,001,1950/09/02 00:00:00,146,
B25A1623,001,1950/09/09 00:00:00,147,
B25A1623,001,1950/09/16 00:00:00,121,
B25A1623,001,1950/09/23 00:00:00,103,
B25A1623,001,1950/09/30 00:00:00,117,
B25A1623,001,1950/10/07 00:00:00,133,
B25A1623,001,1950/10/14 00:00:00,148,
B25A1623,001,1950/10/21 00:00:00,139,
B25A1623,001,1950/10/28 00:00:00,147,
B25A1623,001,1950/11/07 00:00:00,142,
B25A1623,001,1950/11/11 00:00:00,110,
B25A1623,001,1950/11/18 00:00:00,96,
B25A1623,001,1950/11/25 00:00:00,93,
B25A1623,001,1950/12/02 00:00:00,95,
B25A1623,001,1950/12/09 00:00:00,91,
B25A1623,001,1950/12/16 00:00:00,95,
B25A1623,001,1950/12/23 00:00:00,117,
B25A1623,001,1950/12/30 00:00:00,126,
B25A1623,001,1951/01/06 00:00:00,103,
B25A1623,001,1951/01/12 00:00:00,114,
B25A1623,001,1951/01/20 00:00:00,111,
B25A1623,001,1951/01/27 00:00:00,116,
B25A1623,001,1951/02/02 00:00:00,122,
B25A1623,001,1951/02/11 00:00:00,125,
B25A1623,001,1951/02/17 00:00:00,129,
B25A1623,001,1951/02/23 00:00:00,101,
B25A1623,001,1951/03/03 00:00:00,119,
B25A1623,001,1951/03/12 00:00:00,128,
B25A1623,001,1951/03/19 00:00:00,131,
B25A1623,001,1951/03/24 00:00:00,122,
B25A1623,001,1951/04/02 00:00:00,100,
B25A1623,001,1951/04/09 00:00:00,98,
B25A1623,001,1951/04/16 00:00:00,109,
B25A1623,001,1951/04/23 00:00:00,123,
B25A1623,001,1951/04/28 00:00:00,129,
B25A1623,001,1951/05/05 00:00:00,133,
B25A1623,001,1951/05/12 00:00:00,138,
B25A1623,001,1951/05/18 00:00:00,143,
B25A1623,001,1951/05/25 00:00:00,147,
B25A1623,001,1951/06/03 00:00:00,154,
B25A1623,001,1951/06/11 00:00:00,160,
B25A1623,001,1951/06/19 00:00:00,173,
B25A1623,001,1951/06/25 00:00:00,173,
B25A1623,001,1951/06/30 00:00:00,158,
B25A1623,001,1951/07/07 00:00:00,156,
B25A1623,001,1951/07/14 00:00:00,147,
B25A1623,001,1951/07/21 00:00:00,157,
B25A1623,001,1951/07/28 00:00:00,165,
B25A1623,001,1951/08/04 00:00:00,170,
B25A1623,001,1951/08/11 00:00:00,170,
B25A1623,001,1951/08/18 00:00:00,168,
B25A1623,001,1951/08/25 00:00:00,171,
B25A1623,001,1951/09/01 00:00:00,149,
B25A1623,001,1951/09/08 00:00:00,147,
B25A1623,001,1951/09/15 00:00:00,151,
B25A1623,001,1951/09/22 00:00:00,157,
B25A1623,001,1951/09/29 00:00:00,160,
B25A1623,001,1951/10/06 00:00:00,165,
B25A1623,001,1951/10/13 00:00:00,168,
B25A1623,001,1951/10/23 00:00:00,166,
B25A1623,001,1951/10/30 00:00:00,170,
B25A1623,001,1951/11/06 00:00:00,175,
