Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1626,001,25AL0071,104490,492460,,,56,-269,-369,1964/01/06,1967/05/31
B25A1626,001,25AL0071,104490,492460,,,54,-271,-371,1967/05/31,1978/01/17
B25A1626,001,25AL0071,104490,492460,,,53,-272,-372,1978/01/17,1999/10/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1626,001,1964/03/03 00:00:00,,
B25A1626,001,1964/03/17 00:00:00,,
B25A1626,001,1964/04/04 00:00:00,,
B25A1626,001,1964/04/20 00:00:00,,
B25A1626,001,1964/05/04 00:00:00,,
B25A1626,001,1964/06/08 00:00:00,,
B25A1626,001,1964/06/17 00:00:00,,
B25A1626,001,1964/07/05 00:00:00,,
B25A1626,001,1964/07/18 00:00:00,,
B25A1626,001,1964/08/03 00:00:00,,
B25A1626,001,1964/08/16 00:00:00,,
B25A1626,001,1964/08/29 00:00:00,,
B25A1626,001,1964/09/20 00:00:00,,
B25A1626,001,1964/10/03 00:00:00,,
B25A1626,001,1964/10/17 00:00:00,,
B25A1626,001,1964/10/31 00:00:00,,
B25A1626,001,1964/11/14 00:00:00,,
B25A1626,001,1964/12/12 00:00:00,,
B25A1626,001,1965/01/01 00:00:00,,
B25A1626,001,1965/01/06 00:00:00,,
B25A1626,001,1965/01/22 00:00:00,,
B25A1626,001,1965/02/09 00:00:00,,
B25A1626,001,1965/03/11 00:00:00,,
B25A1626,001,1965/03/25 00:00:00,,
B25A1626,001,1965/04/09 00:00:00,,
B25A1626,001,1965/04/23 00:00:00,,
B25A1626,001,1965/05/07 00:00:00,,
B25A1626,001,1965/06/04 00:00:00,,
B25A1626,001,1965/06/17 00:00:00,,
B25A1626,001,1965/07/01 00:00:00,,
B25A1626,001,1965/07/15 00:00:00,,
B25A1626,001,1965/07/27 00:00:00,,
B25A1626,001,1965/08/08 00:00:00,,
B25A1626,001,1965/08/20 00:00:00,,
B25A1626,001,1965/09/08 00:00:00,,
B25A1626,001,1965/09/22 00:00:00,,
B25A1626,001,1965/10/10 00:00:00,,
B25A1626,001,1965/10/21 00:00:00,,
B25A1626,001,1965/11/07 00:00:00,,
B25A1626,001,1965/12/04 00:00:00,,
B25A1626,001,1965/12/14 00:00:00,,
B25A1626,001,1965/12/28 00:00:00,,
B25A1626,001,1966/01/28 00:00:00,,
B25A1626,001,1966/02/23 00:00:00,,
B25A1626,001,1966/03/10 00:00:00,,
B25A1626,001,1966/03/23 00:00:00,,
B25A1626,001,1966/04/09 00:00:00,,
B25A1626,001,1966/04/20 00:00:00,,
B25A1626,001,1966/05/08 00:00:00,,
B25A1626,001,1966/05/19 00:00:00,,
B25A1626,001,1966/06/02 00:00:00,,
B25A1626,001,1966/07/05 00:00:00,,
B25A1626,001,1966/07/20 00:00:00,,
B25A1626,001,1966/08/04 00:00:00,,
B25A1626,001,1966/08/17 00:00:00,,
B25A1626,001,1966/09/06 00:00:00,,
B25A1626,001,1966/09/23 00:00:00,,
B25A1626,001,1966/10/22 00:00:00,,
B25A1626,001,1966/11/03 00:00:00,,
B25A1626,001,1966/11/18 00:00:00,,
B25A1626,001,1966/12/15 00:00:00,,
B25A1626,001,1966/12/29 00:00:00,,
B25A1626,001,1967/01/01 00:00:00,,
B25A1626,001,1967/01/28 00:00:00,,
B25A1626,001,1967/02/09 00:00:00,,
B25A1626,001,1967/02/23 00:00:00,,
B25A1626,001,1967/03/11 00:00:00,,
B25A1626,001,1967/04/28 00:00:00,,
B25A1626,001,1967/05/21 00:00:00,,
B25A1626,001,1967/05/31 00:00:00,,
B25A1626,001,1967/06/12 00:00:00,,
B25A1626,001,1967/06/16 00:00:00,,
B25A1626,001,1967/06/26 00:00:00,,
B25A1626,001,1967/07/10 00:00:00,,
B25A1626,001,1967/07/14 00:00:00,,
B25A1626,001,1967/07/24 00:00:00,,
B25A1626,001,1967/07/25 00:00:00,,
B25A1626,001,1967/08/07 00:00:00,,
B25A1626,001,1967/09/04 00:00:00,,
B25A1626,001,1967/09/18 00:00:00,,
B25A1626,001,1967/10/02 00:00:00,,
B25A1626,001,1967/10/16 00:00:00,,
B25A1626,001,1967/10/30 00:00:00,,
B25A1626,001,1967/11/13 00:00:00,,
B25A1626,001,1967/11/27 00:00:00,,
B25A1626,001,1967/12/11 00:00:00,,
B25A1626,001,1967/12/21 00:00:00,,
B25A1626,001,1968/01/08 00:00:00,,
B25A1626,001,1968/01/22 00:00:00,,
B25A1626,001,1968/03/14 00:00:00,,
B25A1626,001,1968/03/18 00:00:00,,
B25A1626,001,1968/04/01 00:00:00,,
B25A1626,001,1968/04/16 00:00:00,,
B25A1626,001,1968/05/01 00:00:00,,
B25A1626,001,1968/05/14 00:00:00,,
B25A1626,001,1968/05/24 00:00:00,,
B25A1626,001,1968/06/11 00:00:00,,
B25A1626,001,1968/06/25 00:00:00,,
B25A1626,001,1968/07/09 00:00:00,,
B25A1626,001,1968/07/22 00:00:00,,
B25A1626,001,1968/08/13 00:00:00,,
B25A1626,001,1968/08/27 00:00:00,,
B25A1626,001,1968/09/09 00:00:00,,
B25A1626,001,1968/09/24 00:00:00,,
