Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1627,001,25AL0075,107840,490680,-142,,-143,,,1952/12/17,1954/04/28
B25A1627,001,25AL0075,107840,490680,-142,,-144,,,1954/04/28,1955/07/18
B25A1627,001,25AL0075,107840,490680,-142,,-143,,,1955/07/18,1958/12/13
B25A1627,001,25AL0075,107840,490680,-142,,-151,,,1958/12/13,1965/08/27
B25A1627,001,25AL0075,107840,490680,-142,,-154,,,1965/08/27,1977/12/14
B25A1627,001,25AL0075,107840,490680,-142,,-154,-279,-329,1977/12/14,1988/05/30

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1627,001,1952/12/17 00:00:00,5,
B25A1627,001,1953/04/27 00:00:00,62,
B25A1627,001,1953/08/27 00:00:00,37,
B25A1627,001,1953/10/14 00:00:00,51,
B25A1627,001,1953/12/14 00:00:00,57,
B25A1627,001,1954/04/28 00:00:00,62,
B25A1627,001,1954/08/28 00:00:00,39,
B25A1627,001,1954/12/15 00:00:00,24,
B25A1627,001,1955/04/28 00:00:00,48,
B25A1627,001,1955/07/18 00:00:00,63,
B25A1627,001,1955/08/29 00:00:00,60,
B25A1627,001,1958/12/13 00:00:00,22,
B25A1627,001,1959/04/27 00:00:00,48,
B25A1627,001,1959/08/28 00:00:00,69,
B25A1627,001,1959/10/14 00:00:00,72,
B25A1627,001,1959/12/15 00:00:00,42,
B25A1627,001,1960/04/29 00:00:00,52,
B25A1627,001,1960/08/30 00:00:00,22,
B25A1627,001,1960/10/14 00:00:00,26,
B25A1627,001,1960/12/14 00:00:00,32,
B25A1627,001,1961/04/28 00:00:00,37,
B25A1627,001,1961/08/28 00:00:00,59,
B25A1627,001,1961/10/13 00:00:00,49,
B25A1627,001,1961/12/14 00:00:00,18,
B25A1627,001,1962/04/27 00:00:00,46,
B25A1627,001,1962/08/28 00:00:00,70,
B25A1627,001,1962/10/15 00:00:00,49,
B25A1627,001,1962/12/14 00:00:00,29,
B25A1627,001,1963/04/29 00:00:00,29,
B25A1627,001,1963/08/28 00:00:00,34,
B25A1627,001,1963/10/14 00:00:00,42,
B25A1627,001,1963/12/13 00:00:00,46,
B25A1627,001,1964/04/28 00:00:00,48,
B25A1627,001,1964/08/28 00:00:00,47,
B25A1627,001,1964/10/14 00:00:00,44,
B25A1627,001,1964/12/14 00:00:00,28,
B25A1627,001,1965/05/17 00:00:00,51,
B25A1627,001,1965/08/27 00:00:00,32,
B25A1627,001,1965/10/14 00:00:00,45,
B25A1627,001,1965/12/14 00:00:00,34,
B25A1627,001,1966/04/28 00:00:00,41,
B25A1627,001,1966/08/29 00:00:00,57,
B25A1627,001,1966/10/12 00:00:00,40,
B25A1627,001,1966/12/14 00:00:00,27,
B25A1627,001,1967/04/28 00:00:00,52,
B25A1627,001,1967/08/28 00:00:00,64,
B25A1627,001,1967/10/13 00:00:00,29,
B25A1627,001,1967/12/14 00:00:00,24,
B25A1627,001,1968/04/29 00:00:00,62,
B25A1627,001,1968/08/28 00:00:00,63,
B25A1627,001,1968/10/14 00:00:00,35,
B25A1627,001,1968/12/12 00:00:00,41,
B25A1627,001,1969/04/28 00:00:00,37,
B25A1627,001,1969/08/27 00:00:00,36,
B25A1627,001,1969/10/14 00:00:00,62,
B25A1627,001,1969/12/15 00:00:00,37,
B25A1627,001,1970/04/28 00:00:00,45,
B25A1627,001,1970/08/28 00:00:00,62,
B25A1627,001,1970/10/14 00:00:00,49,
B25A1627,001,1970/12/14 00:00:00,37,
B25A1627,001,1971/04/28 00:00:00,62,
B25A1627,001,1971/08/27 00:00:00,61,
B25A1627,001,1971/10/14 00:00:00,50,
B25A1627,001,1971/12/14 00:00:00,47,
B25A1627,001,1972/04/27 00:00:00,54,
B25A1627,001,1972/08/28 00:00:00,52,
B25A1627,001,1972/10/12 00:00:00,59,
B25A1627,001,1972/12/13 00:00:00,39,
B25A1627,001,1973/04/26 00:00:00,52,
B25A1627,001,1973/08/28 00:00:00,67,
B25A1627,001,1973/10/15 00:00:00,42,
B25A1627,001,1973/12/14 00:00:00,30,
B25A1627,001,1974/04/29 00:00:00,64,
B25A1627,001,1974/08/27 00:00:00,66,
B25A1627,001,1974/10/14 00:00:00,32,
B25A1627,001,1974/12/12 00:00:00,5,
B25A1627,001,1975/04/28 00:00:00,48,
B25A1627,001,1975/08/27 00:00:00,56,
B25A1627,001,1975/10/14 00:00:00,56,
B25A1627,001,1975/12/15 00:00:00,44,
B25A1627,001,1976/04/27 00:00:00,65,
B25A1627,001,1976/08/27 00:00:00,60,
B25A1627,001,1976/10/14 00:00:00,44,
