Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1628,001,25AL0075,107820,490810,,,,,,1988/05/30,1999/05/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1628,001,1988/08/29 12:00:00,67,
B25A1628,001,1988/10/20 16:00:00,68,
B25A1628,001,1988/12/16 14:00:00,64,
B25A1628,001,1989/05/03 13:00:00,71,
B25A1628,001,1989/08/30 11:30:00,82,
B25A1628,001,1989/10/16 14:00:00,81,
B25A1628,001,1989/12/14 13:45:00,58,
B25A1628,001,1990/05/07 12:00:00,79,
B25A1628,001,1990/08/28 10:30:00,77,
B25A1628,001,1990/10/15 13:30:00,77,
B25A1628,001,1990/12/14 11:00:00,73,
B25A1628,001,1991/05/02 14:00:00,79,
B25A1628,001,1991/09/02 13:30:00,87,
B25A1628,001,1991/10/25 12:00:00,72,
B25A1628,001,1991/12/13 10:30:00,77,
B25A1628,001,1992/04/28 16:00:00,70,
B25A1628,001,1992/08/28 14:00:00,72,
B25A1628,001,1992/10/16 13:00:00,63,
B25A1628,001,1992/12/14 14:00:00,55,
B25A1628,001,1993/04/29 11:30:00,78,
B25A1628,001,1993/08/27 10:45:00,75,
B25A1628,001,1993/10/14 09:30:00,53,
B25A1628,001,1993/12/14 13:15:00,37,
B25A1628,001,1994/04/28 10:15:00,72,
B25A1628,001,1994/08/30 13:30:00,73,
B25A1628,001,1994/10/17 10:00:00,70,
B25A1628,001,1994/12/14 10:00:00,64,
B25A1628,001,1995/03/29 00:00:00,75,
B25A1628,001,1995/05/04 13:30:00,79,
B25A1628,001,1995/08/28 11:00:00,88,
B25A1628,001,1995/10/13 15:00:00,82,
B25A1628,001,1995/12/20 10:00:00,77,
B25A1628,001,1996/04/25 14:00:00,80,
B25A1628,001,1996/08/29 15:00:00,71,
B25A1628,001,1996/10/14 13:30:00,75,
B25A1628,001,1996/12/18 11:00:00,74,
B25A1628,001,1997/04/28 17:00:00,83,
B25A1628,001,1998/02/23 00:00:00,79,
B25A1628,001,1998/05/14 11:30:00,77,
B25A1628,001,1998/09/01 10:00:00,71,
B25A1628,001,1998/10/19 10:00:00,59,
B25A1628,001,1998/12/17 14:00:00,32,
B25A1628,001,1999/05/06 11:30:00,77,
