Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-08/06/2017
Datum: 08/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1629,001,25AL0081,108220,487590,-392,,-403,,,1952/10/14,1981/08/28
B25A1629,001,25AL0081,108220,487590,-392,,,,,1981/08/28,1984/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1629,001,1952/10/14 00:00:00,58,
B25A1629,001,1952/12/19 00:00:00,57,
B25A1629,001,1953/04/28 00:00:00,69,
B25A1629,001,1953/08/29 00:00:00,57,
B25A1629,001,1953/10/15 00:00:00,63,
B25A1629,001,1953/12/15 00:00:00,74,
B25A1629,001,1954/04/30 00:00:00,76,
B25A1629,001,1954/08/31 00:00:00,78,
B25A1629,001,1954/10/14 00:00:00,59,
B25A1629,001,1954/12/24 00:00:00,104,
B25A1629,001,1955/05/03 00:00:00,81,
B25A1629,001,1955/08/31 00:00:00,83,
B25A1629,001,1955/10/17 00:00:00,64,
B25A1629,001,1958/12/13 00:00:00,47,
B25A1629,001,1959/04/27 00:00:00,67,
B25A1629,001,1959/08/28 00:00:00,83,
B25A1629,001,1959/10/14 00:00:00,87,
B25A1629,001,1959/12/15 00:00:00,71,
B25A1629,001,1960/04/29 00:00:00,76,
B25A1629,001,1960/08/30 00:00:00,45,
B25A1629,001,1960/10/14 00:00:00,45,
B25A1629,001,1960/12/14 00:00:00,60,
B25A1629,001,1961/04/28 00:00:00,68,
B25A1629,001,1961/08/28 00:00:00,71,
B25A1629,001,1961/10/13 00:00:00,65,
B25A1629,001,1961/12/14 00:00:00,46,
B25A1629,001,1962/04/27 00:00:00,61,
B25A1629,001,1962/08/28 00:00:00,65,
B25A1629,001,1962/10/15 00:00:00,66,
B25A1629,001,1962/12/14 00:00:00,53,
B25A1629,001,1963/04/29 00:00:00,49,
B25A1629,001,1963/08/28 00:00:00,51,
B25A1629,001,1963/10/14 00:00:00,61,
B25A1629,001,1963/12/13 00:00:00,67,
B25A1629,001,1964/04/28 00:00:00,58,
B25A1629,001,1964/08/28 00:00:00,67,
B25A1629,001,1964/10/14 00:00:00,59,
B25A1629,001,1964/12/14 00:00:00,56,
B25A1629,001,1965/04/28 00:00:00,68,
B25A1629,001,1965/08/27 00:00:00,61,
B25A1629,001,1965/10/14 00:00:00,71,
B25A1629,001,1965/12/14 00:00:00,53,
B25A1629,001,1966/04/28 00:00:00,63,
B25A1629,001,1966/08/29 00:00:00,74,
B25A1629,001,1966/10/14 00:00:00,67,
B25A1629,001,1966/12/14 00:00:00,45,
B25A1629,001,1967/04/28 00:00:00,78,
