Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1635,001,25AL0097,105140,497130,,,118,-32,-132,1981/04/14,1985/05/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1635,001,1981/04/14 00:00:00,,
B25A1635,001,1981/05/14 00:00:00,,
B25A1635,001,1981/06/14 00:00:00,,
B25A1635,001,1981/07/14 00:00:00,,
B25A1635,001,1981/08/14 00:00:00,,
B25A1635,001,1981/09/15 00:00:00,,D
B25A1635,001,1981/10/15 00:00:00,,
B25A1635,001,1981/11/13 00:00:00,,
B25A1635,001,1981/12/15 00:00:00,,
B25A1635,001,1982/01/14 00:00:00,,
B25A1635,001,1982/02/14 00:00:00,,
B25A1635,001,1982/03/15 00:00:00,,
B25A1635,001,1982/04/14 00:00:00,,
B25A1635,001,1982/05/14 00:00:00,,
B25A1635,001,1982/06/14 00:00:00,,
B25A1635,001,1982/07/14 00:00:00,,D
B25A1635,001,1982/08/14 00:00:00,,D
B25A1635,001,1982/09/14 00:00:00,,D
B25A1635,001,1982/10/14 00:00:00,,
B25A1635,001,1982/11/14 00:00:00,,
B25A1635,001,1982/12/14 00:00:00,,
B25A1635,001,1983/01/14 00:00:00,,
B25A1635,001,1983/02/15 00:00:00,,
B25A1635,001,1983/03/14 00:00:00,,
B25A1635,001,1983/04/14 00:00:00,,
B25A1635,001,1983/05/14 00:00:00,,
B25A1635,001,1983/06/14 00:00:00,,
B25A1635,001,1983/07/14 00:00:00,,
B25A1635,001,1984/08/14 00:00:00,,
B25A1635,001,1984/09/14 00:00:00,,
B25A1635,001,1984/10/14 00:00:00,,
B25A1635,001,1984/11/14 00:00:00,,
B25A1635,001,1984/12/14 00:00:00,,
B25A1635,001,1985/02/14 00:00:00,,
B25A1635,001,1985/03/14 00:00:00,,
B25A1635,001,1985/04/14 00:00:00,,
