Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1642,001,25AL0111,101935,492950,693,,731,,,1986/05/21,2000/08/17
B25A1642,001,25AL0111,101935,492950,693,,727,369,269,2000/08/17,2015/09/03

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1642,001,1986/05/28 00:00:00,,
B25A1642,001,1986/06/13 00:00:00,,
B25A1642,001,1986/06/27 00:00:00,,
B25A1642,001,1986/06/28 00:00:00,,
B25A1642,001,1986/07/14 00:00:00,,
B25A1642,001,1986/07/30 00:00:00,,
B25A1642,001,1986/08/14 00:00:00,,
B25A1642,001,1986/08/26 00:00:00,,
B25A1642,001,1986/09/12 00:00:00,,
B25A1642,001,1986/09/29 00:00:00,,
B25A1642,001,1986/10/09 00:00:00,,
B25A1642,001,1986/10/28 00:00:00,,
B25A1642,001,1986/11/14 00:00:00,,
B25A1642,001,1986/11/28 00:00:00,,
B25A1642,001,1986/12/16 00:00:00,,
B25A1642,001,1986/12/29 00:00:00,,
B25A1642,001,1987/01/14 00:00:00,,
B25A1642,001,1987/01/28 00:00:00,,
B25A1642,001,1987/02/16 00:00:00,,
B25A1642,001,1987/02/28 00:00:00,,
B25A1642,001,1987/03/13 00:00:00,,
B25A1642,001,1987/03/27 00:00:00,,
B25A1642,001,1987/04/14 00:00:00,,
B25A1642,001,1987/04/28 00:00:00,,
B25A1642,001,1987/05/14 00:00:00,,
B25A1642,001,1987/05/27 00:00:00,,
B25A1642,001,1987/06/15 00:00:00,,
B25A1642,001,1987/06/27 00:00:00,,
B25A1642,001,1987/07/15 00:00:00,,
B25A1642,001,1987/07/29 00:00:00,,
B25A1642,001,1987/08/14 00:00:00,,
B25A1642,001,1987/08/28 00:00:00,,
B25A1642,001,1987/09/11 00:00:00,,
B25A1642,001,1987/09/28 00:00:00,,
B25A1642,001,1987/10/14 00:00:00,,
