Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-08/06/2017
Datum: 08/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1643,001,25AL0119,104630,489600,31,,21,-330,-430,1986/09/29,1999/10/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1643,001,1986/09/29 00:00:00,118,
B25A1643,001,1986/10/14 00:00:00,120,
B25A1643,001,1986/10/28 00:00:00,95,
B25A1643,001,1986/11/28 00:00:00,95,
B25A1643,001,1986/12/15 00:00:00,98,
B25A1643,001,1986/12/29 00:00:00,93,
B25A1643,001,1987/01/14 00:00:00,91,
B25A1643,001,1987/01/28 00:00:00,107,
B25A1643,001,1987/02/13 00:00:00,111,
B25A1643,001,1987/02/27 00:00:00,115,
B25A1643,001,1987/03/13 00:00:00,115,
B25A1643,001,1987/03/27 00:00:00,102,
B25A1643,001,1987/04/13 00:00:00,112,
B25A1643,001,1987/04/28 00:00:00,116,
B25A1643,001,1987/05/14 00:00:00,119,
B25A1643,001,1987/05/27 00:00:00,117,
B25A1643,001,1987/06/15 00:00:00,104,
B25A1643,001,1987/06/29 00:00:00,110,
B25A1643,001,1987/07/16 00:00:00,116,
B25A1643,001,1987/07/28 00:00:00,92,
B25A1643,001,1987/08/14 00:00:00,104,
B25A1643,001,1987/08/28 00:00:00,100,
B25A1643,001,1987/09/15 00:00:00,104,
B25A1643,001,1987/09/28 00:00:00,106,
B25A1643,001,1987/10/14 00:00:00,98,
B25A1643,001,1987/10/28 00:00:00,97,
B25A1643,001,1987/11/16 00:00:00,95,
B25A1643,001,1987/11/27 00:00:00,92,
B25A1643,001,1987/12/14 00:00:00,102,
B25A1643,001,1987/12/28 00:00:00,97,
B25A1643,001,1988/01/14 00:00:00,93,
B25A1643,001,1988/01/28 00:00:00,88,
B25A1643,001,1988/02/15 00:00:00,93,
B25A1643,001,1988/02/29 00:00:00,96,
B25A1643,001,1988/03/15 00:00:00,91,
B25A1643,001,1988/03/28 00:00:00,87,
B25A1643,001,1988/04/14 00:00:00,105,
B25A1643,001,1988/04/28 00:00:00,107,
B25A1643,001,1988/05/16 00:00:00,117,
B25A1643,001,1988/05/27 00:00:00,120,
B25A1643,001,1988/06/14 00:00:00,118,
B25A1643,001,1988/06/28 00:00:00,121,
B25A1643,001,1988/07/28 00:00:00,106,
B25A1643,001,1988/08/15 00:00:00,118,
B25A1643,001,1988/08/30 00:00:00,108,
B25A1643,001,1988/09/14 00:00:00,116,
B25A1643,001,1988/09/28 00:00:00,106,
B25A1643,001,1988/10/17 00:00:00,98,
B25A1643,001,1988/10/28 00:00:00,108,
B25A1643,001,1988/11/14 00:00:00,114,
B25A1643,001,1988/11/28 00:00:00,106,
B25A1643,001,1988/12/14 00:00:00,108,
B25A1643,001,1988/12/28 00:00:00,94,
B25A1643,001,1989/01/13 00:00:00,99,
B25A1643,001,1989/01/27 00:00:00,105,
B25A1643,001,1989/02/14 00:00:00,110,
B25A1643,001,1989/02/28 00:00:00,97,
B25A1643,001,1989/03/14 00:00:00,97,
B25A1643,001,1989/03/29 00:00:00,100,
B25A1643,001,1989/04/14 00:00:00,99,
B25A1643,001,1989/05/16 00:00:00,110,
B25A1643,001,1989/05/29 00:00:00,121,
B25A1643,001,1989/06/14 00:00:00,120,
B25A1643,001,1989/06/28 00:00:00,110,
B25A1643,001,1989/07/14 00:00:00,115,
B25A1643,001,1989/08/02 00:00:00,115,
B25A1643,001,1989/08/15 00:00:00,119,
B25A1643,001,1989/08/28 00:00:00,124,
B25A1643,001,1989/09/14 00:00:00,124,
B25A1643,001,1989/09/28 00:00:00,119,
B25A1643,001,1989/10/14 00:00:00,121,
B25A1643,001,1989/10/27 00:00:00,114,
B25A1643,001,1989/11/14 00:00:00,97,
B25A1643,001,1989/11/28 00:00:00,102,
B25A1643,001,1989/12/14 09:40:00,101,
B25A1643,001,1989/12/28 10:15:00,102,
B25A1643,001,1990/01/15 15:00:00,110,
B25A1643,001,1990/03/14 09:45:00,99,
B25A1643,001,1990/03/29 10:00:00,107,
B25A1643,001,1990/04/12 11:00:00,114,
B25A1643,001,1990/04/27 10:00:00,113,
B25A1643,001,1990/05/14 09:30:00,103,
B25A1643,001,1990/05/28 15:00:00,106,
B25A1643,001,1990/06/14 15:00:00,108,
B25A1643,001,1990/06/28 10:00:00,112,
B25A1643,001,1990/07/12 11:15:00,115,
B25A1643,001,1990/08/13 09:50:00,128,
B25A1643,001,1990/08/28 10:15:00,120,
B25A1643,001,1990/09/14 13:30:00,121,
B25A1643,001,1990/10/01 15:00:00,111,
B25A1643,001,1990/10/11 00:00:00,104,
B25A1643,001,1990/10/26 11:10:00,108,
B25A1643,001,1990/11/14 10:15:00,93,
B25A1643,001,1990/11/28 00:00:00,82,
B25A1643,001,1990/12/17 10:15:00,89,
B25A1643,001,1991/02/14 00:00:00,116,
B25A1643,001,1991/03/01 00:00:00,121,
B25A1643,001,1991/03/14 10:15:00,114,
B25A1643,001,1991/03/28 10:15:00,117,
B25A1643,001,1991/04/15 15:15:00,120,
B25A1643,001,1991/05/14 10:15:00,122,
B25A1643,001,1991/05/28 09:50:00,124,
B25A1643,001,1991/06/14 10:00:00,120,
B25A1643,001,1991/06/26 10:00:00,97,
B25A1643,001,1991/07/15 10:15:00,108,
B25A1643,001,1991/07/30 09:40:00,116,
B25A1643,001,1991/08/14 09:50:00,124,
B25A1643,001,1991/08/28 09:20:00,130,
B25A1643,001,1991/09/13 09:50:00,133,
B25A1643,001,1991/09/27 09:20:00,131,
B25A1643,001,1991/11/18 00:00:00,104,
B25A1643,001,1991/12/04 09:50:00,111,
B25A1643,001,1991/12/16 09:20:00,120,
B25A1643,001,1992/01/14 09:50:00,110,
B25A1643,001,1992/01/28 09:50:00,119,
B25A1643,001,1992/02/14 09:50:00,120,
B25A1643,001,1992/02/27 09:50:00,138,
B25A1643,001,1992/03/17 10:20:00,110,
B25A1643,001,1992/03/27 09:50:00,108,
B25A1643,001,1992/04/14 09:30:00,122,
B25A1643,001,1992/04/28 09:50:00,112,
B25A1643,001,1992/05/14 09:50:00,105,
