Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-08/06/2017
Datum: 08/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1657,002,25AP7005,100720,489700,-23,,-16,-226,-246,1980/07/10,1985/06/01
B25A1657,002,25AP7005,100720,489700,-23,,-15,-225,-245,1985/06/01,1987/06/25
B25A1657,002,25AP7005,100720,489700,-20,,-28,-213,-228,1987/06/25,1993/04/01

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1657,002,1980/07/28 00:00:00,13,
B25A1657,002,1980/08/14 00:00:00,12,
B25A1657,002,1980/08/28 00:00:00,14,
B25A1657,002,1980/09/17 00:00:00,17,
B25A1657,002,1980/09/28 00:00:00,17,
B25A1657,002,1980/10/14 00:00:00,19,
B25A1657,002,1980/10/28 00:00:00,17,
B25A1657,002,1980/11/14 00:00:00,17,
B25A1657,002,1980/11/28 00:00:00,15,
B25A1657,002,1980/12/14 00:00:00,14,
B25A1657,002,1980/12/28 00:00:00,16,
B25A1657,002,1981/01/14 00:00:00,17,
B25A1657,002,1981/01/28 00:00:00,16,
B25A1657,002,1981/02/14 00:00:00,15,
B25A1657,002,1981/02/28 00:00:00,13,
B25A1657,002,1981/03/14 00:00:00,9,
B25A1657,002,1981/03/28 00:00:00,11,
B25A1657,002,1981/04/14 00:00:00,10,
B25A1657,002,1981/04/28 00:00:00,8,
B25A1657,002,1981/05/14 00:00:00,6,
B25A1657,002,1981/05/28 00:00:00,8,
B25A1657,002,1981/06/14 00:00:00,10,
B25A1657,002,1981/06/28 00:00:00,6,
B25A1657,002,1981/07/14 00:00:00,10,
B25A1657,002,1981/07/28 00:00:00,10,
B25A1657,002,1981/08/14 00:00:00,12,
B25A1657,002,1981/08/28 00:00:00,14,
B25A1657,002,1981/09/14 00:00:00,12,
B25A1657,002,1981/09/28 00:00:00,18,
B25A1657,002,1981/10/14 00:00:00,12,
B25A1657,002,1981/10/28 00:00:00,12,
B25A1657,002,1981/11/14 00:00:00,12,
B25A1657,002,1981/11/28 00:00:00,9,
B25A1657,002,1981/12/14 00:00:00,12,
B25A1657,002,1981/12/28 00:00:00,10,
B25A1657,002,1982/01/14 00:00:00,10,
B25A1657,002,1982/01/28 00:00:00,12,
B25A1657,002,1982/02/14 00:00:00,11,
B25A1657,002,1982/02/28 00:00:00,7,
B25A1657,002,1982/03/14 00:00:00,11,
B25A1657,002,1982/03/28 00:00:00,10,
B25A1657,002,1982/04/14 00:00:00,12,
B25A1657,002,1982/04/28 00:00:00,12,
B25A1657,002,1982/05/14 00:00:00,11,
B25A1657,002,1982/05/28 00:00:00,10,
B25A1657,002,1982/06/14 00:00:00,14,
B25A1657,002,1982/06/28 00:00:00,10,
B25A1657,002,1982/07/14 00:00:00,17,
B25A1657,002,1982/07/28 00:00:00,13,
B25A1657,002,1982/08/14 00:00:00,14,
B25A1657,002,1982/08/28 00:00:00,15,
B25A1657,002,1982/09/14 00:00:00,17,
B25A1657,002,1982/09/28 00:00:00,18,
B25A1657,002,1982/10/14 00:00:00,12,
B25A1657,002,1982/10/28 00:00:00,19,
B25A1657,002,1982/11/14 00:00:00,16,
B25A1657,002,1982/11/28 00:00:00,17,
B25A1657,002,1982/12/14 00:00:00,19,
B25A1657,002,1982/12/28 00:00:00,13,
B25A1657,002,1983/01/14 00:00:00,12,
B25A1657,002,1983/01/28 00:00:00,15,
B25A1657,002,1983/02/14 00:00:00,16,
B25A1657,002,1983/02/28 00:00:00,14,
B25A1657,002,1983/03/14 00:00:00,8,
B25A1657,002,1983/03/28 00:00:00,13,
B25A1657,002,1983/04/14 00:00:00,11,
B25A1657,002,1983/04/28 00:00:00,9,
B25A1657,002,1983/05/14 00:00:00,6,
B25A1657,002,1983/05/28 00:00:00,6,
B25A1657,002,1983/06/14 00:00:00,5,
B25A1657,002,1983/06/28 00:00:00,5,
B25A1657,002,1983/07/14 00:00:00,7,
B25A1657,002,1983/07/28 00:00:00,6,
B25A1657,002,1983/08/14 00:00:00,8,
B25A1657,002,1983/08/28 00:00:00,8,
B25A1657,002,1983/09/14 00:00:00,6,
B25A1657,002,1983/09/28 00:00:00,12,
B25A1657,002,1983/11/28 00:00:00,13,
B25A1657,002,1983/12/14 00:00:00,10,
B25A1657,002,1983/12/28 00:00:00,10,
B25A1657,002,1984/01/14 00:00:00,9,
B25A1657,002,1984/01/28 00:00:00,9,
B25A1657,002,1984/02/14 00:00:00,7,
B25A1657,002,1984/02/28 00:00:00,6,
B25A1657,002,1984/03/14 00:00:00,2,
B25A1657,002,1984/03/28 00:00:00,1,
B25A1657,002,1984/04/14 00:00:00,5,
B25A1657,002,1984/04/28 00:00:00,5,
B25A1657,002,1984/05/14 00:00:00,5,
B25A1657,002,1984/05/28 00:00:00,2,
B25A1657,002,1984/06/14 00:00:00,3,
B25A1657,002,1984/06/28 00:00:00,2,
B25A1657,002,1984/07/14 00:00:00,1,
B25A1657,002,1984/07/28 00:00:00,5,
B25A1657,002,1984/08/14 00:00:00,9,
B25A1657,002,1984/08/28 00:00:00,9,
B25A1657,002,1984/09/14 00:00:00,13,
B25A1657,002,1984/09/28 00:00:00,11,
B25A1657,002,1984/10/14 00:00:00,13,
B25A1657,002,1984/10/28 00:00:00,13,
B25A1657,002,1984/11/14 00:00:00,13,
B25A1657,002,1984/11/28 00:00:00,12,
B25A1657,002,1984/12/14 00:00:00,15,
B25A1657,002,1984/12/28 00:00:00,14,
B25A1657,002,1985/01/14 00:00:00,12,
