Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-08/06/2017
Datum: 08/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1663,001,25AP7011,100775,489870,162,,173,-26,-36,1985/06/01,1987/06/25
B25A1663,001,25AP7011,100775,489870,143,,170,45,30,1987/06/25,1993/04/01

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1663,001,1985/07/14 00:00:00,54,
B25A1663,001,1985/07/28 00:00:00,42,
B25A1663,001,1985/08/14 00:00:00,56,
B25A1663,001,1985/08/28 00:00:00,54,
B25A1663,001,1985/09/14 00:00:00,70,
B25A1663,001,1985/09/28 00:00:00,68,
B25A1663,001,1985/10/14 00:00:00,68,
B25A1663,001,1985/10/28 00:00:00,66,
B25A1663,001,1985/11/14 00:00:00,61,
B25A1663,001,1985/11/28 00:00:00,63,
B25A1663,001,1985/12/14 00:00:00,64,
B25A1663,001,1985/12/28 00:00:00,64,
B25A1663,001,1986/01/14 00:00:00,75,
B25A1663,001,1986/01/28 00:00:00,51,
B25A1663,001,1986/02/14 00:00:00,75,
B25A1663,001,1986/02/28 00:00:00,51,
B25A1663,001,1986/03/14 00:00:00,53,
B25A1663,001,1986/03/28 00:00:00,51,
B25A1663,001,1986/04/14 00:00:00,42,
B25A1663,001,1986/04/28 00:00:00,37,
B25A1663,001,1986/05/14 00:00:00,55,
B25A1663,001,1986/05/28 00:00:00,58,
B25A1663,001,1986/06/14 00:00:00,62,
B25A1663,001,1986/06/28 00:00:00,65,
B25A1663,001,1986/07/14 00:00:00,63,
B25A1663,001,1986/07/28 00:00:00,65,
B25A1663,001,1986/08/14 00:00:00,64,
B25A1663,001,1987/06/28 00:00:00,71,
B25A1663,001,1987/07/14 00:00:00,78,
B25A1663,001,1987/07/28 00:00:00,70,
B25A1663,001,1987/08/14 00:00:00,83,
B25A1663,001,1987/08/28 00:00:00,71,
B25A1663,001,1987/09/14 00:00:00,75,
B25A1663,001,1987/09/28 00:00:00,53,
B25A1663,001,1987/10/14 00:00:00,56,
B25A1663,001,1987/10/28 00:00:00,75,
B25A1663,001,1987/11/14 00:00:00,76,
B25A1663,001,1987/11/28 00:00:00,70,
B25A1663,001,1987/12/14 00:00:00,65,
B25A1663,001,1987/12/28 00:00:00,61,
B25A1663,001,1988/01/14 00:00:00,57,
B25A1663,001,1988/01/28 00:00:00,49,
B25A1663,001,1988/02/14 00:00:00,42,
B25A1663,001,1988/02/28 00:00:00,39,
B25A1663,001,1988/03/14 00:00:00,38,
B25A1663,001,1988/03/28 00:00:00,37,
B25A1663,001,1988/04/14 00:00:00,34,
B25A1663,001,1988/04/28 00:00:00,34,
B25A1663,001,1988/05/14 00:00:00,38,
B25A1663,001,1988/05/28 00:00:00,39,
B25A1663,001,1988/06/14 00:00:00,46,
B25A1663,001,1988/06/28 00:00:00,26,
B25A1663,001,1988/07/14 00:00:00,30,
