Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-08/06/2017
Datum: 08/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1666,001,25AP7809,100340,487670,403,,406,56,6,1985/06/14,1989/08/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1666,001,1985/06/14 00:00:00,196,
B25A1666,001,1985/06/28 00:00:00,195,
B25A1666,001,1985/07/15 00:00:00,200,
B25A1666,001,1985/07/29 00:00:00,201,
B25A1666,001,1985/08/14 00:00:00,200,
B25A1666,001,1985/08/30 00:00:00,202,
B25A1666,001,1985/09/14 00:00:00,203,
B25A1666,001,1985/09/28 00:00:00,206,
B25A1666,001,1985/10/14 00:00:00,210,
B25A1666,001,1985/10/28 00:00:00,211,
B25A1666,001,1985/11/14 00:00:00,211,
B25A1666,001,1985/11/28 00:00:00,213,
B25A1666,001,1985/12/14 00:00:00,211,
B25A1666,001,1985/12/28 00:00:00,209,
B25A1666,001,1986/01/14 00:00:00,190,
B25A1666,001,1986/01/28 00:00:00,182,
B25A1666,001,1986/03/14 00:00:00,184,
B25A1666,001,1986/03/28 00:00:00,187,
B25A1666,001,1986/04/14 00:00:00,188,
B25A1666,001,1986/04/28 00:00:00,191,
B25A1666,001,1986/05/14 00:00:00,191,
B25A1666,001,1986/05/28 00:00:00,192,
B25A1666,001,1986/06/14 00:00:00,196,
B25A1666,001,1986/06/28 00:00:00,200,
B25A1666,001,1986/07/14 00:00:00,207,
B25A1666,001,1986/07/28 00:00:00,210,
B25A1666,001,1986/08/14 00:00:00,217,
B25A1666,001,1986/08/28 00:00:00,221,
B25A1666,001,1986/09/14 00:00:00,224,
B25A1666,001,1986/09/28 00:00:00,227,
B25A1666,001,1986/10/14 00:00:00,230,
B25A1666,001,1986/10/28 00:00:00,226,
B25A1666,001,1986/11/14 00:00:00,226,
B25A1666,001,1986/11/28 00:00:00,219,
B25A1666,001,1986/12/14 00:00:00,219,
B25A1666,001,1986/12/28 00:00:00,215,
B25A1666,001,1987/01/14 00:00:00,,Y
B25A1666,001,1987/01/28 00:00:00,,Y
B25A1666,001,1987/02/14 00:00:00,184,
B25A1666,001,1987/02/28 00:00:00,190,
B25A1666,001,1987/03/14 00:00:00,189,
B25A1666,001,1987/03/28 00:00:00,191,
B25A1666,001,1987/04/14 00:00:00,189,
B25A1666,001,1987/04/28 00:00:00,189,
B25A1666,001,1987/05/14 00:00:00,191,
B25A1666,001,1987/05/28 00:00:00,194,
B25A1666,001,1987/06/14 00:00:00,195,
B25A1666,001,1987/06/28 00:00:00,197,
B25A1666,001,1987/07/14 00:00:00,188,
B25A1666,001,1987/07/28 00:00:00,196,
B25A1666,001,1987/08/14 00:00:00,195,
B25A1666,001,1987/08/28 00:00:00,198,
B25A1666,001,1987/09/14 00:00:00,201,
B25A1666,001,1987/09/28 00:00:00,204,
B25A1666,001,1987/10/14 00:00:00,204,
B25A1666,001,1987/10/28 00:00:00,206,
B25A1666,001,1987/11/14 00:00:00,207,
B25A1666,001,1987/11/28 00:00:00,202,
B25A1666,001,1987/12/14 00:00:00,,Y
B25A1666,001,1987/12/28 00:00:00,176,
B25A1666,001,1988/01/14 00:00:00,164,
B25A1666,001,1988/01/28 00:00:00,154,
B25A1666,001,1988/02/14 00:00:00,136,
B25A1666,001,1988/02/28 00:00:00,132,
B25A1666,001,1988/03/14 00:00:00,133,
B25A1666,001,1988/03/28 00:00:00,132,
B25A1666,001,1988/04/14 00:00:00,129,
B25A1666,001,1988/04/28 00:00:00,132,
B25A1666,001,1988/11/14 00:00:00,191,
B25A1666,001,1988/11/28 00:00:00,193,
B25A1666,001,1989/03/14 00:00:00,188,
B25A1666,001,1989/03/28 00:00:00,174,
B25A1666,001,1989/04/14 00:00:00,165,
B25A1666,001,1989/04/28 00:00:00,164,
B25A1666,001,1989/05/14 00:00:00,166,
B25A1666,001,1989/05/28 00:00:00,174,
B25A1666,001,1989/06/14 00:00:00,176,
B25A1666,001,1989/06/28 00:00:00,178,
B25A1666,001,1989/07/14 00:00:00,176,
B25A1666,001,1989/07/28 00:00:00,177,
