Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1669,001,25AP7812,102780,493742,512,,554,177,127,1995/06/27,1996/11/11
B25A1669,001,25AP7812,102780,493742,512,,536,177,127,1996/11/11,1997/05/29

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1669,001,1995/09/14 00:00:00,112,
B25A1669,001,1995/09/28 00:00:00,97,
B25A1669,001,1995/10/14 00:00:00,108,
B25A1669,001,1995/10/28 00:00:00,117,
B25A1669,001,1995/11/28 00:00:00,118,
B25A1669,001,1995/12/14 00:00:00,125,
B25A1669,001,1996/01/14 00:00:00,121,
B25A1669,001,1996/02/14 00:00:00,132,
B25A1669,001,1996/02/28 00:00:00,124,
B25A1669,001,1996/04/14 00:00:00,140,
B25A1669,001,1996/04/28 00:00:00,145,
B25A1669,001,1996/05/22 00:00:00,154,
B25A1669,001,1996/06/14 00:00:00,164,
B25A1669,001,1996/06/28 00:00:00,168,
B25A1669,001,1996/07/14 00:00:00,172,
B25A1669,001,1996/07/26 00:00:00,176,
B25A1669,001,1996/08/14 00:00:00,177,
B25A1669,001,1996/08/28 00:00:00,178,
B25A1669,001,1996/09/14 00:00:00,182,
B25A1669,001,1996/09/27 00:00:00,186,
B25A1669,001,1996/10/14 00:00:00,188,
B25A1669,001,1996/10/29 00:00:00,188,
B25A1669,001,1996/11/14 00:00:00,167,
B25A1669,001,1996/11/28 00:00:00,144,
B25A1669,001,1996/12/14 00:00:00,141,
B25A1669,001,1996/12/28 00:00:00,136,
B25A1669,001,1997/01/14 00:00:00,149,
B25A1669,001,1997/01/28 00:00:00,152,
B25A1669,001,1997/02/14 00:00:00,142,
B25A1669,001,1997/02/28 00:00:00,139,
B25A1669,001,1997/03/14 00:00:00,142,
B25A1669,001,1997/03/28 00:00:00,148,
B25A1669,001,1997/04/14 00:00:00,151,
B25A1669,001,1997/04/28 00:00:00,155,
B25A1669,001,1997/05/14 00:00:00,159,
B25A1669,001,1997/05/28 00:00:00,164,
