Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-08/06/2017
Datum: 08/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A1688,001,,107195,488805,-52,,-31,-156,-206,1985/06/14,1990/06/30

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A1688,001,1985/06/14 00:00:00,24,
B25A1688,001,1985/06/28 00:00:00,20,
B25A1688,001,1985/07/15 00:00:00,32,
B25A1688,001,1985/07/29 00:00:00,25,
B25A1688,001,1985/08/14 00:00:00,24,
B25A1688,001,1985/08/30 00:00:00,24,
B25A1688,001,1985/09/14 00:00:00,29,
B25A1688,001,1985/09/28 00:00:00,32,
B25A1688,001,1985/10/14 00:00:00,32,
B25A1688,001,1985/10/28 00:00:00,36,
B25A1688,001,1985/11/14 00:00:00,25,
B25A1688,001,1985/11/28 00:00:00,27,
B25A1688,001,1985/12/14 00:00:00,24,
B25A1688,001,1985/12/28 00:00:00,23,
B25A1688,001,1986/01/14 00:00:00,23,
B25A1688,001,1986/01/28 00:00:00,23,
B25A1688,001,1986/03/14 00:00:00,38,
B25A1688,001,1986/03/28 00:00:00,15,
B25A1688,001,1986/04/14 00:00:00,26,
B25A1688,001,1986/04/28 00:00:00,27,
B25A1688,001,1986/05/14 00:00:00,19,
B25A1688,001,1986/05/28 00:00:00,23,
B25A1688,001,1986/06/14 00:00:00,29,
B25A1688,001,1986/06/28 00:00:00,38,
B25A1688,001,1986/07/14 00:00:00,44,
B25A1688,001,1986/07/28 00:00:00,35,
B25A1688,001,1986/08/14 00:00:00,37,
B25A1688,001,1986/08/28 00:00:00,33,
B25A1688,001,1986/09/14 00:00:00,35,
B25A1688,001,1986/09/28 00:00:00,39,
B25A1688,001,1986/10/14 00:00:00,44,
B25A1688,001,1986/10/28 00:00:00,26,
B25A1688,001,1986/11/14 00:00:00,25,
B25A1688,001,1986/11/28 00:00:00,22,
B25A1688,001,1986/12/14 00:00:00,24,
B25A1688,001,1986/12/28 00:00:00,22,
B25A1688,001,1987/01/14 00:00:00,,N
B25A1688,001,1987/01/28 00:00:00,,N
B25A1688,001,1987/02/14 00:00:00,6,
B25A1688,001,1987/02/28 00:00:00,9,
B25A1688,001,1987/03/14 00:00:00,9,
B25A1688,001,1987/03/28 00:00:00,5,
B25A1688,001,1987/04/14 00:00:00,27,
B25A1688,001,1987/04/28 00:00:00,27,
B25A1688,001,1987/05/14 00:00:00,24,
B25A1688,001,1987/05/28 00:00:00,22,
B25A1688,001,1987/06/14 00:00:00,23,
B25A1688,001,1987/06/28 00:00:00,23,
B25A1688,001,1987/07/14 00:00:00,26,
B25A1688,001,1987/07/28 00:00:00,19,
B25A1688,001,1987/08/14 00:00:00,21,
B25A1688,001,1987/08/28 00:00:00,20,
B25A1688,001,1987/09/14 00:00:00,20,
B25A1688,001,1987/09/28 00:00:00,25,
B25A1688,001,1987/10/14 00:00:00,22,
B25A1688,001,1987/10/28 00:00:00,25,
B25A1688,001,1987/11/14 00:00:00,22,
B25A1688,001,1987/11/28 00:00:00,23,
B25A1688,001,1987/12/14 00:00:00,,N
B25A1688,001,1987/12/28 00:00:00,20,
B25A1688,001,1988/01/14 00:00:00,22,
B25A1688,001,1988/01/28 00:00:00,18,
B25A1688,001,1988/02/14 00:00:00,22,
B25A1688,001,1988/02/28 00:00:00,25,
B25A1688,001,1988/03/14 00:00:00,23,
B25A1688,001,1988/03/28 00:00:00,22,
B25A1688,001,1988/04/14 00:00:00,25,
B25A1688,001,1988/04/28 00:00:00,26,
B25A1688,001,1988/11/14 00:00:00,28,
B25A1688,001,1988/11/28 00:00:00,29,
B25A1688,001,1989/03/14 00:00:00,23,
B25A1688,001,1989/03/28 00:00:00,24,
B25A1688,001,1989/04/14 00:00:00,7,
B25A1688,001,1989/04/28 00:00:00,25,
B25A1688,001,1989/05/14 00:00:00,25,
B25A1688,001,1989/05/28 00:00:00,32,
B25A1688,001,1989/06/14 00:00:00,32,
B25A1688,001,1989/06/28 00:00:00,33,
B25A1688,001,1989/07/14 00:00:00,25,
B25A1688,001,1989/07/28 00:00:00,36,
B25A1688,001,1989/09/14 00:00:00,29,
B25A1688,001,1989/09/28 00:00:00,29,
B25A1688,001,1989/10/14 00:00:00,28,
B25A1688,001,1989/10/28 00:00:00,27,
B25A1688,001,1989/11/14 00:00:00,27,
B25A1688,001,1989/11/28 00:00:00,25,
B25A1688,001,1989/12/14 00:00:00,26,
B25A1688,001,1989/12/28 00:00:00,24,
B25A1688,001,1990/01/14 00:00:00,24,
B25A1688,001,1990/01/28 00:00:00,23,
B25A1688,001,1990/02/14 00:00:00,22,
B25A1688,001,1990/02/28 00:00:00,23,
B25A1688,001,1990/03/14 00:00:00,22,
B25A1688,001,1990/03/28 00:00:00,21,
B25A1688,001,1990/04/14 00:00:00,22,
B25A1688,001,1990/04/28 00:00:00,27,
B25A1688,001,1990/05/14 00:00:00,29,
B25A1688,001,1990/05/28 00:00:00,28,
B25A1688,001,1990/06/14 00:00:00,27,
B25A1688,001,1990/06/28 00:00:00,25,
