Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A2877,001,,107181,493721,-211,,-214,,,2007/01/01,2011/06/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A2877,001,2007/03/14 00:00:00,48,
B25A2877,001,2007/03/28 00:00:00,53,
B25A2877,001,2007/04/16 00:00:00,88,
B25A2877,001,2007/04/27 00:00:00,103,
B25A2877,001,2007/05/07 00:00:00,113,
B25A2877,001,2007/05/11 00:00:00,84,
B25A2877,001,2007/05/21 00:00:00,86,
B25A2877,001,2007/05/28 00:00:00,86,
B25A2877,001,2007/07/01 00:00:00,34,
B25A2877,001,2007/07/19 00:00:00,35,
B25A2877,001,2007/07/23 00:00:00,-2,
B25A2877,001,2007/08/01 00:00:00,33,
B25A2877,001,2007/08/14 00:00:00,103,
B25A2877,001,2007/09/18 00:00:00,105,
B25A2877,001,2007/10/04 00:00:00,58,
B25A2877,001,2007/10/15 00:00:00,83,
B25A2877,001,2007/11/01 00:00:00,33,
B25A2877,001,2007/12/04 00:00:00,25,
B25A2877,001,2007/12/16 00:00:00,53,
B25A2877,001,2008/01/05 10:00:00,31,
B25A2877,001,2008/01/18 14:00:00,10,
B25A2877,001,2008/01/28 17:00:00,40,
B25A2877,001,2008/02/14 13:00:00,58,
B25A2877,001,2008/03/01 13:00:00,32,
B25A2877,001,2008/03/28 13:00:00,2,
B25A2877,001,2008/04/14 09:00:00,58,
B25A2877,001,2008/05/05 12:00:00,58,
B25A2877,001,2008/06/01 09:00:00,93,
B25A2877,001,2008/06/16 08:00:00,111,
B25A2877,001,2008/07/03 10:00:00,133,
B25A2877,001,2008/07/14 10:00:00,50,
B25A2877,001,2008/08/14 10:00:00,13,
B25A2877,001,2008/08/28 10:00:00,38,
B25A2877,001,2008/09/29 14:00:00,84,
B25A2877,001,2008/10/14 10:00:00,46,
B25A2877,001,2009/01/09 10:00:00,45,
B25A2877,001,2009/01/28 10:00:00,31,
B25A2877,001,2009/02/13 14:00:00,39,
B25A2877,001,2009/03/13 14:00:00,45,
B25A2877,001,2009/04/14 10:00:00,63,
B25A2877,001,2009/05/14 16:00:00,99,
B25A2877,001,2009/05/29 16:00:00,32,
B25A2877,001,2009/06/15 16:00:00,75,
B25A2877,001,2009/06/28 11:00:00,101,
B25A2877,001,2009/07/14 10:00:00,100,
B25A2877,001,2009/07/28 10:00:00,105,
B25A2877,001,2009/08/31 16:00:00,115,
B25A2877,001,2009/09/29 14:00:00,153,
B25A2877,001,2009/10/14 10:00:00,143,
B25A2877,001,2009/10/29 10:00:00,148,
B25A2877,001,2009/11/14 00:00:00,55,
B25A2877,001,2009/11/29 16:00:00,1,
B25A2877,001,2009/12/16 10:00:00,54,
B25A2877,001,2010/01/04 09:00:00,48,
B25A2877,001,2010/01/14 09:00:00,54,
B25A2877,001,2010/01/28 12:00:00,13,
B25A2877,001,2010/02/15 14:00:00,39,
B25A2877,001,2010/02/28 12:00:00,3,
B25A2877,001,2010/03/15 10:00:00,21,
B25A2877,001,2010/05/14 16:00:00,60,
B25A2877,001,2010/05/28 16:00:00,81,
B25A2877,001,2010/06/15 08:30:00,99,
B25A2877,001,2010/06/28 09:30:00,114,
B25A2877,001,2010/07/18 20:00:00,88,
B25A2877,001,2010/08/13 20:00:00,53,
B25A2877,001,2010/08/30 10:00:00,25,
B25A2877,001,2010/10/28 10:00:00,3,
B25A2877,001,2010/11/14 14:00:00,3,
B25A2877,001,2010/11/29 16:00:00,-17,
B25A2877,001,2011/01/28 10:00:00,-27,
B25A2877,001,2011/02/14 12:00:00,-19,
B25A2877,001,2011/02/28 10:00:00,3,
B25A2877,001,2011/03/14 09:00:00,-45,
B25A2877,001,2011/03/28 09:00:00,-54,
B25A2877,001,2011/04/28 15:00:00,-70,
B25A2877,001,2011/05/16 10:00:00,-91,
B25A2877,001,2011/06/14 10:00:00,-109,
B25A2877,001,2011/06/15 18:00:00,3,
B25A2877,001,2011/06/20 14:00:00,-87,
