Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A3893,001,,103100,491169,112,,101,-38,-138,2014/07/15,2017/04/19

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A3893,001,2014/08/06 12:12:29,111,
B25A3893,001,2014/08/07 12:12:23,110,
B25A3893,001,2014/08/08 12:12:23,111,
B25A3893,001,2014/08/09 12:12:13,111,
B25A3893,001,2014/08/10 12:12:13,112,
B25A3893,001,2014/08/11 12:12:01,111,
B25A3893,001,2014/08/12 12:11:56,110,
B25A3893,001,2014/08/13 12:11:51,110,
B25A3893,001,2014/08/14 12:11:51,112,
B25A3893,001,2014/08/15 12:11:40,110,
B25A3893,001,2014/08/16 12:11:40,111,
B25A3893,001,2014/08/17 12:11:28,111,
B25A3893,001,2014/08/18 12:11:28,110,
B25A3893,001,2014/08/19 12:11:18,105,
B25A3893,001,2014/08/20 12:11:18,103,
B25A3893,001,2014/08/21 12:11:08,103,
B25A3893,001,2014/08/22 12:11:03,96,
B25A3893,001,2014/08/23 12:11:03,78,
B25A3893,001,2014/08/24 12:10:52,87,
B25A3893,001,2014/08/25 12:10:52,93,
B25A3893,001,2014/08/26 12:10:41,86,
B25A3893,001,2014/08/27 12:10:36,95,
B25A3893,001,2014/08/28 12:10:36,99,
B25A3893,001,2014/08/29 12:10:26,100,
B25A3893,001,2014/08/30 12:10:26,102,
B25A3893,001,2014/08/31 12:10:15,104,
B25A3893,001,2014/09/01 12:10:09,105,
B25A3893,001,2014/09/02 12:10:09,106,
B25A3893,001,2014/09/03 12:09:59,107,
B25A3893,001,2014/09/04 12:09:53,108,
B25A3893,001,2014/09/05 12:09:53,109,
B25A3893,001,2014/09/06 12:09:46,109,
B25A3893,001,2014/09/07 12:09:45,110,
B25A3893,001,2014/09/08 12:09:45,111,
B25A3893,001,2014/09/09 12:09:38,112,
B25A3893,001,2014/09/10 12:09:38,112,
B25A3893,001,2014/09/11 12:09:38,113,
B25A3893,001,2014/09/12 12:09:38,113,
B25A3893,001,2014/09/13 12:09:20,114,
B25A3893,001,2014/09/14 12:09:20,114,
B25A3893,001,2014/09/15 12:09:19,115,
B25A3893,001,2014/09/16 12:09:19,115,
B25A3893,001,2014/09/17 12:09:13,115,
B25A3893,001,2014/09/18 12:09:13,115,
B25A3893,001,2014/09/19 12:09:07,115,
B25A3893,001,2014/09/20 12:09:08,116,
B25A3893,001,2014/09/21 12:09:08,116,
B25A3893,001,2014/09/22 12:09:04,116,
B25A3893,001,2014/09/23 12:09:01,117,
B25A3893,001,2014/09/24 12:14:04,116,
B25A3893,001,2014/09/25 12:14:01,115,
B25A3893,001,2014/09/26 12:14:01,116,
B25A3893,001,2014/09/27 12:14:01,116,
B25A3893,001,2014/09/28 12:13:54,116,
B25A3893,001,2014/09/29 12:13:53,117,
B25A3893,001,2014/09/30 12:13:53,116,
B25A3893,001,2014/10/01 12:13:47,116,
B25A3893,001,2014/10/02 12:13:47,116,
B25A3893,001,2014/10/03 12:13:41,115,
B25A3893,001,2014/10/04 12:13:41,116,
B25A3893,001,2014/10/05 12:13:41,113,
B25A3893,001,2014/10/06 12:13:41,113,
B25A3893,001,2014/10/07 13:02:30,113,
B25A3893,001,2014/10/08 11:59:29,112,
B25A3893,001,2014/10/09 11:59:30,111,
B25A3893,001,2014/10/10 11:59:30,112,
B25A3893,001,2014/10/11 11:59:24,112,
B25A3893,001,2014/10/12 11:59:24,112,
B25A3893,001,2014/10/13 11:59:19,109,
B25A3893,001,2014/10/14 11:59:18,109,
B25A3893,001,2014/10/15 11:59:15,107,
B25A3893,001,2014/10/16 11:59:15,107,
B25A3893,001,2014/10/17 11:59:09,107,
B25A3893,001,2014/10/18 11:59:09,108,
B25A3893,001,2014/10/19 11:59:02,108,
B25A3893,001,2014/10/20 11:58:59,108,
B25A3893,001,2014/10/21 11:58:59,103,
B25A3893,001,2014/10/22 11:58:54,96,
B25A3893,001,2014/10/23 11:58:51,98,
B25A3893,001,2014/10/24 11:58:51,100,
B25A3893,001,2014/10/25 11:58:43,97,
B25A3893,001,2014/10/26 11:58:37,99,
B25A3893,001,2014/10/27 11:58:34,101,
B25A3893,001,2014/10/28 11:58:31,103,
B25A3893,001,2014/10/29 11:58:29,104,
B25A3893,001,2014/10/30 11:58:28,106,
B25A3893,001,2014/10/31 11:58:22,106,
B25A3893,001,2014/11/01 11:58:22,107,
B25A3893,001,2014/11/02 11:58:16,107,
B25A3893,001,2014/11/03 11:58:12,104,
