Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-08/06/2017
Datum: 08/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A3906,001,,102279,489967,446,,434,65,-35,2015/02/11,2017/04/19

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A3906,001,2015/02/27 12:05:47,345,
B25A3906,001,2015/02/28 12:05:41,345,
B25A3906,001,2015/03/01 12:05:36,345,
B25A3906,001,2015/03/02 12:05:31,345,
B25A3906,001,2015/03/03 12:05:25,345,
B25A3906,001,2015/03/04 12:05:20,346,
B25A3906,001,2015/03/05 12:05:14,346,
B25A3906,001,2015/03/06 12:05:09,346,
B25A3906,001,2015/03/07 12:05:03,346,
B25A3906,001,2015/03/08 12:04:58,346,
B25A3906,001,2015/03/09 12:04:52,347,
B25A3906,001,2015/03/10 12:04:46,346,
B25A3906,001,2015/03/11 12:04:41,347,
B25A3906,001,2015/03/12 12:04:35,347,
B25A3906,001,2015/03/13 12:04:30,347,
B25A3906,001,2015/03/14 12:04:25,347,
B25A3906,001,2015/03/15 12:04:19,347,
B25A3906,001,2015/03/16 12:04:13,347,
B25A3906,001,2015/03/17 12:04:08,348,
B25A3906,001,2015/03/18 12:04:00,348,
B25A3906,001,2015/03/19 12:03:56,348,
B25A3906,001,2015/03/20 12:03:51,348,
B25A3906,001,2015/03/21 12:03:45,348,
B25A3906,001,2015/03/22 12:03:39,349,
B25A3906,001,2015/03/23 12:03:34,348,
B25A3906,001,2015/03/24 12:03:29,348,
B25A3906,001,2015/03/25 12:03:23,348,
B25A3906,001,2015/03/26 12:03:17,349,
B25A3906,001,2015/03/27 12:03:15,348,
B25A3906,001,2015/03/28 12:03:06,348,
B25A3906,001,2015/03/29 12:03:04,348,
B25A3906,001,2015/03/30 12:03:02,347,
B25A3906,001,2015/03/31 12:03:00,346,
B25A3906,001,2015/04/01 12:02:58,346,
B25A3906,001,2015/04/02 12:02:56,346,
B25A3906,001,2015/04/03 12:02:54,346,
B25A3906,001,2015/05/29 11:39:13,355,
B25A3906,001,2015/05/30 11:39:08,355,
B25A3906,001,2015/05/31 11:39:03,355,
B25A3906,001,2015/06/01 11:39:01,355,
B25A3906,001,2015/06/02 11:38:51,355,
