Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25A3910,001,,102353,491432,541,,527,441,356,2014/07/10,2017/04/19

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25A3910,001,2014/08/06 12:23:29,178,
B25A3910,001,2014/08/07 12:23:33,178,
B25A3910,001,2014/08/08 12:23:33,179,
B25A3910,001,2014/08/09 12:23:38,180,
B25A3910,001,2014/08/10 12:23:38,180,
B25A3910,001,2014/08/11 12:23:39,181,
B25A3910,001,2014/08/12 12:23:39,183,
B25A3910,001,2014/08/13 12:23:40,181,
B25A3910,001,2014/08/14 12:23:42,182,
B25A3910,001,2014/08/15 12:23:42,183,
B25A3910,001,2014/08/16 12:23:41,184,
B25A3910,001,2014/08/17 12:23:42,183,
B25A3910,001,2014/08/18 12:23:42,184,
B25A3910,001,2014/08/19 12:23:41,184,
B25A3910,001,2014/08/20 12:23:41,181,
B25A3910,001,2014/08/21 12:23:41,180,
B25A3910,001,2014/08/22 12:23:41,179,
B25A3910,001,2014/08/23 12:23:43,163,
B25A3910,001,2014/08/24 12:23:43,159,
B25A3910,001,2014/08/25 12:23:42,157,
B25A3910,001,2014/08/26 12:23:42,156,
B25A3910,001,2014/08/27 12:23:44,157,
B25A3910,001,2014/08/28 12:23:44,158,
B25A3910,001,2014/08/29 12:23:43,159,
B25A3910,001,2014/08/30 12:23:43,160,
B25A3910,001,2014/08/31 12:23:41,162,
B25A3910,001,2014/09/01 12:23:41,164,
B25A3910,001,2014/09/02 12:23:41,166,
B25A3910,001,2014/09/03 12:23:42,167,
B25A3910,001,2014/09/04 12:23:42,169,
B25A3910,001,2014/09/05 12:23:39,170,
