Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25B0054,001,25BP0054,116330,497950,1,,21,,-1079,1956/11/06,1966/01/28
B25B0054,001,25BP0054,116330,497950,1,,24,,-1079,1966/01/28,1978/01/16
B25B0054,001,25BP0054,116330,497950,1,,8,,-1079,1978/01/16,1983/07/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25B0054,001,1961/04/05 00:00:00,76,
B25B0054,001,1961/04/18 00:00:00,73,
B25B0054,001,1961/04/25 00:00:00,73,
B25B0054,001,1961/05/03 00:00:00,72,
B25B0054,001,1961/05/09 00:00:00,75,
B25B0054,001,1961/05/16 00:00:00,71,
B25B0054,001,1961/05/25 00:00:00,72,
B25B0054,001,1961/05/30 00:00:00,68,
B25B0054,001,1961/06/13 00:00:00,68,
B25B0054,001,1961/06/20 00:00:00,71,
B25B0054,001,1961/06/27 00:00:00,72,
B25B0054,001,1961/07/04 00:00:00,74,
B25B0054,001,1961/07/11 00:00:00,74,
B25B0054,001,1961/07/18 00:00:00,73,
B25B0054,001,1961/07/25 00:00:00,70,
B25B0054,001,1961/08/01 00:00:00,73,
B25B0054,001,1961/08/08 00:00:00,67,
B25B0054,001,1961/08/15 00:00:00,74,
B25B0054,001,1961/08/22 00:00:00,69,
B25B0054,001,1961/09/05 00:00:00,71,
B25B0054,001,1961/09/12 00:00:00,71,
B25B0054,001,1961/09/19 00:00:00,70,
B25B0054,001,1961/09/26 00:00:00,83,
B25B0054,001,1961/10/03 00:00:00,70,
B25B0054,001,1961/10/10 00:00:00,75,
B25B0054,001,1961/10/17 00:00:00,75,
B25B0054,001,1961/10/25 00:00:00,74,
B25B0054,001,1961/11/01 00:00:00,59,
B25B0054,001,1961/11/07 00:00:00,66,
B25B0054,001,1961/11/13 00:00:00,72,
B25B0054,001,1961/11/21 00:00:00,69,
B25B0054,001,1961/11/28 00:00:00,64,
B25B0054,001,1961/12/04 00:00:00,58,
B25B0054,001,1961/12/12 00:00:00,53,
B25B0054,001,1961/12/19 00:00:00,73,
B25B0054,001,1961/12/28 00:00:00,82,
B25B0054,001,1961/12/31 00:00:00,67,
B25B0054,001,1962/01/03 00:00:00,59,
