Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25B0287,001,25BB0287,112060,488480,2,,2,-2558,-4458,1944/08/02,1967/02/14
B25B0287,001,25BB0287,112060,488480,17,,17,-2558,-4458,1967/02/14,1987/11/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25B0287,001,1952/02/14 00:00:00,302,
B25B0287,001,1952/02/28 00:00:00,347,
B25B0287,001,1952/03/14 00:00:00,345,
B25B0287,001,1952/03/28 00:00:00,340,
B25B0287,001,1952/04/15 00:00:00,347,
B25B0287,001,1952/04/28 00:00:00,352,
B25B0287,001,1952/05/14 00:00:00,360,
B25B0287,001,1952/05/28 00:00:00,358,
B25B0287,001,1952/06/14 00:00:00,360,
B25B0287,001,1952/06/28 00:00:00,367,
B25B0287,001,1952/07/14 00:00:00,370,
B25B0287,001,1952/07/30 00:00:00,371,
B25B0287,001,1952/08/14 00:00:00,370,
B25B0287,001,1952/08/28 00:00:00,370,
B25B0287,001,1952/09/15 00:00:00,374,
B25B0287,001,1952/09/29 00:00:00,355,
B25B0287,001,1952/10/14 00:00:00,352,
B25B0287,001,1952/10/28 00:00:00,359,
B25B0287,001,1952/11/14 00:00:00,359,
B25B0287,001,1952/11/28 00:00:00,347,
B25B0287,001,1952/12/15 00:00:00,348,
B25B0287,001,1952/12/29 00:00:00,347,
B25B0287,001,1953/01/14 00:00:00,355,
B25B0287,001,1953/01/28 00:00:00,353,
B25B0287,001,1953/02/16 00:00:00,352,
B25B0287,001,1953/02/28 00:00:00,360,
B25B0287,001,1953/03/14 00:00:00,362,
B25B0287,001,1953/03/28 00:00:00,357,
B25B0287,001,1953/04/14 00:00:00,360,
B25B0287,001,1953/04/28 00:00:00,360,
B25B0287,001,1953/05/16 00:00:00,367,
B25B0287,001,1953/05/28 00:00:00,367,
B25B0287,001,1953/06/15 00:00:00,367,
B25B0287,001,1953/06/29 00:00:00,374,
B25B0287,001,1953/07/14 00:00:00,375,
B25B0287,001,1953/07/28 00:00:00,377,
B25B0287,001,1953/08/14 00:00:00,384,
B25B0287,001,1953/08/28 00:00:00,382,
B25B0287,001,1953/09/14 00:00:00,380,
B25B0287,001,1953/09/29 00:00:00,372,
B25B0287,001,1953/10/14 00:00:00,378,
B25B0287,001,1953/10/28 00:00:00,372,
B25B0287,001,1953/11/14 00:00:00,378,
B25B0287,001,1953/11/28 00:00:00,378,
B25B0287,001,1953/12/14 00:00:00,374,
B25B0287,001,1953/12/28 00:00:00,372,
B25B0287,001,1954/01/14 00:00:00,360,
B25B0287,001,1954/01/28 00:00:00,376,
B25B0287,001,1954/02/15 00:00:00,370,
B25B0287,001,1954/03/01 00:00:00,364,
B25B0287,001,1954/03/15 00:00:00,368,
B25B0287,001,1954/03/29 00:00:00,370,
B25B0287,001,1954/04/15 00:00:00,373,
B25B0287,001,1954/04/28 00:00:00,378,
B25B0287,001,1954/05/14 00:00:00,382,
B25B0287,001,1954/05/28 00:00:00,384,
B25B0287,001,1954/06/14 00:00:00,382,
B25B0287,001,1954/06/28 00:00:00,380,
B25B0287,001,1954/07/14 00:00:00,382,
B25B0287,001,1954/07/28 00:00:00,365,
B25B0287,001,1954/08/14 00:00:00,362,
B25B0287,001,1954/08/28 00:00:00,371,
B25B0287,001,1954/09/14 00:00:00,372,
B25B0287,001,1954/09/28 00:00:00,372,
B25B0287,001,1954/10/14 00:00:00,364,
B25B0287,001,1954/10/28 00:00:00,362,
B25B0287,001,1954/11/15 00:00:00,363,
B25B0287,001,1954/11/29 00:00:00,370,
B25B0287,001,1954/12/14 00:00:00,372,
B25B0287,001,1954/12/28 00:00:00,360,
B25B0287,001,1955/01/14 00:00:00,360,
B25B0287,001,1955/01/28 00:00:00,359,
B25B0287,001,1955/02/14 00:00:00,360,
B25B0287,001,1955/02/28 00:00:00,369,
B25B0287,001,1955/03/14 00:00:00,370,
B25B0287,001,1955/03/28 00:00:00,368,
B25B0287,001,1955/04/14 00:00:00,370,
B25B0287,001,1955/04/28 00:00:00,371,
B25B0287,001,1955/05/14 00:00:00,370,
B25B0287,001,1955/05/28 00:00:00,370,
B25B0287,001,1955/06/14 00:00:00,378,
B25B0287,001,1955/06/28 00:00:00,380,
B25B0287,001,1955/07/14 00:00:00,383,
B25B0287,001,1955/07/28 00:00:00,390,
B25B0287,001,1955/08/15 00:00:00,388,
B25B0287,001,1955/08/29 00:00:00,393,
B25B0287,001,1955/09/14 00:00:00,385,
B25B0287,001,1955/09/28 00:00:00,380,
B25B0287,001,1955/10/14 00:00:00,375,
B25B0287,001,1955/10/28 00:00:00,365,
B25B0287,001,1955/11/14 00:00:00,370,
B25B0287,001,1955/11/28 00:00:00,371,
B25B0287,001,1955/12/14 00:00:00,363,
B25B0287,001,1955/12/28 00:00:00,361,
B25B0287,001,1956/01/14 00:00:00,360,
B25B0287,001,1956/01/28 00:00:00,363,
B25B0287,001,1956/02/14 00:00:00,360,
B25B0287,001,1956/02/28 00:00:00,367,
B25B0287,001,1956/03/14 00:00:00,365,
B25B0287,001,1956/03/28 00:00:00,373,
B25B0287,001,1956/04/14 00:00:00,365,
B25B0287,001,1956/04/28 00:00:00,368,
B25B0287,001,1956/05/14 00:00:00,380,
B25B0287,001,1956/05/28 00:00:00,378,
B25B0287,001,1956/06/14 00:00:00,381,
B25B0287,001,1956/06/28 00:00:00,382,
B25B0287,001,1956/07/14 00:00:00,380,
B25B0287,001,1956/07/28 00:00:00,380,
B25B0287,001,1956/08/14 00:00:00,381,
B25B0287,001,1956/08/28 00:00:00,365,
B25B0287,001,1956/09/14 00:00:00,368,
B25B0287,001,1956/09/28 00:00:00,366,
B25B0287,001,1956/10/15 00:00:00,363,
B25B0287,001,1956/10/29 00:00:00,353,
B25B0287,001,1956/11/14 00:00:00,350,
B25B0287,001,1956/11/28 00:00:00,349,
B25B0287,001,1956/12/14 00:00:00,349,
B25B0287,001,1956/12/28 00:00:00,349,
B25B0287,001,1957/01/14 00:00:00,350,
B25B0287,001,1957/01/28 00:00:00,356,
B25B0287,001,1957/02/14 00:00:00,338,
B25B0287,001,1957/02/28 00:00:00,354,
B25B0287,001,1957/03/14 00:00:00,353,
B25B0287,001,1957/03/28 00:00:00,350,
B25B0287,001,1957/04/15 00:00:00,357,
B25B0287,001,1957/04/29 00:00:00,355,
B25B0287,001,1957/05/14 00:00:00,359,
B25B0287,001,1957/05/28 00:00:00,365,
B25B0287,001,1957/06/14 00:00:00,370,
B25B0287,001,1957/06/28 00:00:00,352,
B25B0287,001,1957/07/15 00:00:00,374,
B25B0287,001,1957/07/29 00:00:00,363,
B25B0287,001,1957/08/14 00:00:00,357,
B25B0287,001,1957/08/28 00:00:00,348,
B25B0287,001,1957/09/14 00:00:00,310,
B25B0287,001,1957/09/28 00:00:00,339,
B25B0287,001,1957/10/14 00:00:00,341,
B25B0287,001,1957/10/28 00:00:00,334,
B25B0287,001,1957/11/14 00:00:00,330,
B25B0287,001,1957/11/28 00:00:00,327,
B25B0287,001,1957/12/14 00:00:00,322,
B25B0287,001,1957/12/28 00:00:00,327,
B25B0287,001,1958/01/14 00:00:00,330,
B25B0287,001,1958/01/28 00:00:00,331,
B25B0287,001,1958/02/14 00:00:00,324,
B25B0287,001,1958/02/28 00:00:00,322,
B25B0287,001,1958/03/14 00:00:00,321,
B25B0287,001,1958/03/28 00:00:00,321,
B25B0287,001,1958/04/14 00:00:00,328,
B25B0287,001,1958/04/28 00:00:00,328,
B25B0287,001,1958/05/14 00:00:00,328,
B25B0287,001,1958/05/28 00:00:00,327,
B25B0287,001,1958/06/14 00:00:00,330,
B25B0287,001,1958/06/28 00:00:00,333,
B25B0287,001,1958/07/14 00:00:00,339,
B25B0287,001,1958/07/28 00:00:00,335,
B25B0287,001,1958/08/14 00:00:00,332,
B25B0287,001,1958/08/28 00:00:00,330,
B25B0287,001,1958/09/15 00:00:00,333,
B25B0287,001,1958/09/29 00:00:00,322,
B25B0287,001,1958/10/14 00:00:00,321,
B25B0287,001,1958/10/28 00:00:00,324,
B25B0287,001,1958/11/12 00:00:00,318,
B25B0287,001,1958/11/28 00:00:00,328,
B25B0287,001,1958/12/15 00:00:00,313,
B25B0287,001,1958/12/29 00:00:00,319,
B25B0287,001,1959/01/14 00:00:00,315,
B25B0287,001,1959/01/28 00:00:00,319,
B25B0287,001,1959/02/14 00:00:00,322,
B25B0287,001,1959/02/28 00:00:00,315,
B25B0287,001,1959/03/14 00:00:00,328,
B25B0287,001,1959/03/28 00:00:00,320,
B25B0287,001,1959/04/14 00:00:00,321,
B25B0287,001,1959/05/01 00:00:00,320,
B25B0287,001,1959/05/14 00:00:00,332,
B25B0287,001,1959/05/28 00:00:00,340,
B25B0287,001,1959/06/14 00:00:00,338,
B25B0287,001,1959/06/29 00:00:00,347,
B25B0287,001,1959/07/14 00:00:00,351,
B25B0287,001,1959/07/28 00:00:00,355,
B25B0287,001,1959/08/14 00:00:00,343,
B25B0287,001,1959/08/28 00:00:00,349,
B25B0287,001,1959/09/14 00:00:00,355,
B25B0287,001,1959/09/28 00:00:00,355,
B25B0287,001,1959/10/14 00:00:00,354,
B25B0287,001,1959/10/28 00:00:00,340,
B25B0287,001,1959/11/14 00:00:00,332,
B25B0287,001,1959/11/28 00:00:00,336,
B25B0287,001,1959/12/14 00:00:00,336,
B25B0287,001,1959/12/28 00:00:00,324,
B25B0287,001,1960/01/14 00:00:00,325,
B25B0287,001,1960/01/28 00:00:00,322,
B25B0287,001,1960/02/15 00:00:00,321,
B25B0287,001,1960/03/14 00:00:00,328,
B25B0287,001,1960/03/28 00:00:00,330,
B25B0287,001,1960/04/14 00:00:00,337,
B25B0287,001,1960/04/28 00:00:00,340,
B25B0287,001,1960/05/14 00:00:00,340,
B25B0287,001,1960/05/28 00:00:00,341,
B25B0287,001,1960/06/14 00:00:00,345,
B25B0287,001,1960/06/28 00:00:00,354,
B25B0287,001,1960/07/14 00:00:00,347,
B25B0287,001,1960/07/28 00:00:00,346,
B25B0287,001,1960/08/14 00:00:00,338,
B25B0287,001,1960/08/29 00:00:00,336,
B25B0287,001,1960/09/14 00:00:00,335,
B25B0287,001,1960/09/28 00:00:00,338,
B25B0287,001,1960/10/14 00:00:00,330,
B25B0287,001,1960/10/28 00:00:00,327,
B25B0287,001,1960/11/14 00:00:00,325,
B25B0287,001,1960/11/28 00:00:00,324,
B25B0287,001,1960/12/14 00:00:00,325,
B25B0287,001,1960/12/28 00:00:00,324,
B25B0287,001,1961/01/14 00:00:00,327,
B25B0287,001,1961/01/30 00:00:00,319,
B25B0287,001,1961/02/14 00:00:00,324,
B25B0287,001,1961/03/02 00:00:00,322,
B25B0287,001,1961/03/14 00:00:00,323,
B25B0287,001,1961/03/28 00:00:00,324,
B25B0287,001,1961/04/14 00:00:00,318,
B25B0287,001,1961/04/28 00:00:00,322,
B25B0287,001,1961/05/16 00:00:00,330,
B25B0287,001,1961/05/29 00:00:00,331,
B25B0287,001,1961/06/14 00:00:00,335,
B25B0287,001,1961/06/28 00:00:00,337,
B25B0287,001,1961/07/17 00:00:00,335,
B25B0287,001,1961/07/28 00:00:00,322,
B25B0287,001,1961/08/14 00:00:00,324,
B25B0287,001,1961/08/28 00:00:00,323,
B25B0287,001,1961/09/14 00:00:00,315,
B25B0287,001,1961/09/28 00:00:00,319,
B25B0287,001,1961/10/12 00:00:00,328,
B25B0287,001,1961/10/20 00:00:00,312,
B25B0287,001,1961/11/14 00:00:00,314,
B25B0287,001,1961/11/28 00:00:00,318,
B25B0287,001,1961/12/14 00:00:00,310,
B25B0287,001,1961/12/29 00:00:00,312,
B25B0287,001,1962/01/15 00:00:00,326,
B25B0287,001,1962/01/29 00:00:00,325,
B25B0287,001,1962/02/14 00:00:00,324,
B25B0287,001,1962/02/28 00:00:00,329,
B25B0287,001,1962/03/14 00:00:00,332,
B25B0287,001,1962/03/28 00:00:00,333,
B25B0287,001,1962/04/13 00:00:00,330,
B25B0287,001,1962/05/01 00:00:00,332,
B25B0287,001,1962/05/14 00:00:00,338,
B25B0287,001,1962/05/28 00:00:00,334,
B25B0287,001,1962/06/14 00:00:00,338,
B25B0287,001,1962/06/29 00:00:00,348,
B25B0287,001,1962/07/13 00:00:00,346,
B25B0287,001,1962/07/27 00:00:00,348,
B25B0287,001,1962/08/14 00:00:00,342,
B25B0287,001,1962/08/28 00:00:00,343,
B25B0287,001,1962/09/14 00:00:00,341,
B25B0287,001,1962/09/28 00:00:00,339,
B25B0287,001,1962/10/16 00:00:00,345,
B25B0287,001,1962/10/29 00:00:00,340,
B25B0287,001,1962/11/14 00:00:00,340,
B25B0287,001,1962/11/30 00:00:00,343,
B25B0287,001,1962/12/14 00:00:00,338,
B25B0287,001,1962/12/28 00:00:00,331,
B25B0287,001,1963/01/14 00:00:00,340,
B25B0287,001,1963/01/28 00:00:00,350,
