Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25B0290,002,25BP0290,119900,496150,-100,,-55,-5200,-5300,1957/04/24,1959/07/10
B25B0290,002,25BP0290,119900,496150,-100,,-21,-5200,-5300,1959/07/10,1962/01/01
B25B0290,002,25BP0290,119900,496150,-80,,-23,-5200,-5300,1962/01/01,1965/11/15
B25B0290,002,25BP0290,119900,496150,-80,,-87,-5200,-5300,1965/11/15,2004/10/14
B25B0290,002,25BP0290,119900,496150,-68,,-87,-5200,-5300,2004/10/14,2010/10/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25B0290,002,1957/08/15 00:00:00,150,
B25B0290,002,1957/08/26 00:00:00,148,
B25B0290,002,1957/09/11 00:00:00,167,
B25B0290,002,1957/09/24 00:00:00,127,
B25B0290,002,1957/10/24 00:00:00,151,
B25B0290,002,1957/11/08 00:00:00,142,
B25B0290,002,1957/11/19 00:00:00,135,
B25B0290,002,1957/12/16 00:00:00,140,
B25B0290,002,1958/01/13 00:00:00,138,
B25B0290,002,1958/01/31 00:00:00,135,
B25B0290,002,1958/02/12 00:00:00,125,
B25B0290,002,1958/03/03 00:00:00,126,
B25B0290,002,1958/03/20 00:00:00,123,
B25B0290,002,1958/03/31 00:00:00,119,
B25B0290,002,1958/04/11 00:00:00,135,
B25B0290,002,1958/05/13 00:00:00,137,
B25B0290,002,1958/06/09 00:00:00,135,
B25B0290,002,1958/06/20 00:00:00,134,
B25B0290,002,1958/06/26 00:00:00,133,
B25B0290,002,1958/07/09 00:00:00,136,
B25B0290,002,1958/07/25 00:00:00,138,
B25B0290,002,1958/08/18 00:00:00,135,
B25B0290,002,1958/09/17 00:00:00,137,
B25B0290,002,1958/09/29 00:00:00,135,
B25B0290,002,1958/10/14 00:00:00,134,
B25B0290,002,1958/10/28 00:00:00,135,
B25B0290,002,1958/11/13 00:00:00,132,
B25B0290,002,1958/12/10 00:00:00,129,
B25B0290,002,1958/12/23 00:00:00,124,
B25B0290,002,1959/01/28 00:00:00,127,
B25B0290,002,1959/02/12 00:00:00,129,
B25B0290,002,1959/02/26 00:00:00,130,
B25B0290,002,1959/03/12 00:00:00,131,
B25B0290,002,1959/03/26 00:00:00,128,
B25B0290,002,1959/04/13 00:00:00,127,
B25B0290,002,1959/04/27 00:00:00,126,
B25B0290,002,1959/05/14 00:00:00,128,
B25B0290,002,1959/05/28 00:00:00,129,
B25B0290,002,1959/06/10 00:00:00,135,
B25B0290,002,1959/06/22 00:00:00,138,
B25B0290,002,1959/07/10 00:00:00,141,
B25B0290,002,1959/07/23 00:00:00,139,
B25B0290,002,1959/08/26 00:00:00,138,
B25B0290,002,1959/09/22 00:00:00,136,
B25B0290,002,1959/10/12 00:00:00,135,
B25B0290,002,1959/10/29 00:00:00,132,
B25B0290,002,1959/11/10 00:00:00,131,
B25B0290,002,1959/11/18 00:00:00,132,
B25B0290,002,1959/11/27 00:00:00,134,
B25B0290,002,1959/12/18 00:00:00,129,
B25B0290,002,1960/01/05 00:00:00,127,
B25B0290,002,1960/01/25 00:00:00,123,
B25B0290,002,1960/02/08 00:00:00,121,
B25B0290,002,1960/02/17 00:00:00,118,
B25B0290,002,1960/02/26 00:00:00,113,
B25B0290,002,1960/03/11 00:00:00,116,
B25B0290,002,1960/03/22 00:00:00,113,
B25B0290,002,1960/04/01 00:00:00,118,
B25B0290,002,1960/04/13 00:00:00,121,
B25B0290,002,1960/04/28 00:00:00,129,
B25B0290,002,1960/05/12 00:00:00,127,
B25B0290,002,1960/05/27 00:00:00,125,
B25B0290,002,1960/06/20 00:00:00,128,
B25B0290,002,1960/06/28 00:00:00,132,
B25B0290,002,1960/07/08 00:00:00,137,
B25B0290,002,1960/07/19 00:00:00,135,
B25B0290,002,1960/08/03 00:00:00,133,
B25B0290,002,1960/08/22 00:00:00,129,
B25B0290,002,1960/09/06 00:00:00,128,
B25B0290,002,1960/09/15 00:00:00,128,
B25B0290,002,1960/09/26 00:00:00,127,
B25B0290,002,1960/10/10 00:00:00,126,
B25B0290,002,1960/10/24 00:00:00,124,
B25B0290,002,1960/11/03 00:00:00,123,
B25B0290,002,1960/11/15 00:00:00,122,
B25B0290,002,1960/11/24 00:00:00,121,
B25B0290,002,1960/12/13 00:00:00,126,
B25B0290,002,1960/12/27 00:00:00,125,
B25B0290,002,1961/01/05 00:00:00,123,
B25B0290,002,1961/01/18 00:00:00,120,
B25B0290,002,1961/02/10 00:00:00,115,
B25B0290,002,1961/02/27 00:00:00,113,
B25B0290,002,1961/03/21 00:00:00,111,
B25B0290,002,1961/04/14 00:00:00,116,
B25B0290,002,1961/05/23 00:00:00,121,
B25B0290,002,1961/06/05 00:00:00,131,
B25B0290,002,1961/06/16 00:00:00,139,
B25B0290,002,1961/07/03 00:00:00,145,
B25B0290,002,1961/07/13 00:00:00,131,
B25B0290,002,1961/08/23 00:00:00,120,
B25B0290,002,1961/09/18 00:00:00,120,
B25B0290,002,1961/10/19 00:00:00,111,
B25B0290,002,1961/11/27 00:00:00,111,
B25B0290,002,1962/01/10 00:00:00,135,
B25B0290,002,1962/02/27 00:00:00,157,
B25B0290,002,1962/03/21 00:00:00,167,
B25B0290,002,1962/04/06 00:00:00,159,
B25B0290,002,1962/04/17 00:00:00,157,
