Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25B0319,001,25BP0319,118860,492580,-66,,-35,-1966,-2066,1961/04/28,1984/03/26
B25B0319,001,25BP0319,118860,492580,-66,,,-1966,-2066,1984/03/26,1995/09/07
B25B0319,001,25BP0319,118860,492580,-66,,,-1966,-2066,1995/09/07,2005/01/29

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25B0319,001,1961/04/28 00:00:00,161,
B25B0319,001,1961/05/05 00:00:00,161,
B25B0319,001,1961/05/13 00:00:00,170,
B25B0319,001,1961/05/20 00:00:00,171,
B25B0319,001,1961/05/27 00:00:00,163,
B25B0319,001,1961/06/04 00:00:00,168,
B25B0319,001,1961/06/24 00:00:00,175,
B25B0319,001,1961/07/02 00:00:00,174,
B25B0319,001,1961/07/12 00:00:00,168,
B25B0319,001,1961/07/16 00:00:00,168,
B25B0319,001,1961/07/22 00:00:00,163,
B25B0319,001,1961/07/30 00:00:00,157,
B25B0319,001,1961/08/06 00:00:00,159,
B25B0319,001,1961/08/12 00:00:00,160,
B25B0319,001,1961/08/27 00:00:00,157,
B25B0319,001,1961/09/03 00:00:00,163,
B25B0319,001,1961/09/17 00:00:00,158,
B25B0319,001,1961/09/30 00:00:00,162,
B25B0319,001,1961/10/13 00:00:00,159,
B25B0319,001,1961/10/29 00:00:00,145,
B25B0319,001,1961/11/19 00:00:00,151,
B25B0319,001,1961/12/17 00:00:00,154,
B25B0319,001,1962/01/15 00:00:00,319,
B25B0319,001,1962/01/29 00:00:00,332,
B25B0319,001,1962/02/15 00:00:00,385,
B25B0319,001,1962/02/28 00:00:00,387,
B25B0319,001,1962/03/16 00:00:00,392,
B25B0319,001,1962/03/29 00:00:00,406,
B25B0319,001,1962/04/14 00:00:00,399,
B25B0319,001,1962/04/27 00:00:00,412,
B25B0319,001,1962/05/17 00:00:00,412,
B25B0319,001,1962/05/31 00:00:00,418,
B25B0319,001,1962/06/15 00:00:00,416,
B25B0319,001,1962/06/29 00:00:00,408,
B25B0319,001,1962/07/14 00:00:00,408,
B25B0319,001,1962/08/16 00:00:00,398,
B25B0319,001,1962/08/29 00:00:00,408,
B25B0319,001,1962/09/30 00:00:00,398,
B25B0319,001,1962/10/15 00:00:00,408,
B25B0319,001,1962/10/31 00:00:00,403,
B25B0319,001,1962/11/15 00:00:00,469,
B25B0319,001,1962/11/29 00:00:00,473,
B25B0319,001,1962/12/15 00:00:00,459,
B25B0319,001,1962/12/28 00:00:00,453,
B25B0319,001,1963/01/29 00:00:00,398,
B25B0319,001,1963/02/28 00:00:00,408,
B25B0319,001,1963/03/30 00:00:00,448,
B25B0319,001,1963/04/18 00:00:00,443,
