Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25B0322,002,25BP0322,117710,493590,-100,,-88,-2110,-2210,1965/01/14,1984/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25B0322,002,1965/01/15 00:00:00,177,
B25B0322,002,1965/01/28 00:00:00,185,
B25B0322,002,1965/02/15 00:00:00,170,
B25B0322,002,1965/03/01 00:00:00,175,
B25B0322,002,1965/03/14 00:00:00,182,
B25B0322,002,1965/03/30 00:00:00,182,
B25B0322,002,1965/04/18 00:00:00,177,
B25B0322,002,1965/04/28 00:00:00,174,
B25B0322,002,1965/05/15 00:00:00,164,
B25B0322,002,1965/05/31 00:00:00,171,
B25B0322,002,1965/06/18 00:00:00,178,
B25B0322,002,1965/06/29 00:00:00,184,
B25B0322,002,1965/07/29 00:00:00,174,
B25B0322,002,1965/08/17 00:00:00,176,
B25B0322,002,1965/09/01 00:00:00,181,
B25B0322,002,1965/10/02 00:00:00,184,
B25B0322,002,1965/10/15 00:00:00,185,
B25B0322,002,1965/10/31 00:00:00,182,
B25B0322,002,1965/11/15 00:00:00,174,
B25B0322,002,1965/11/30 00:00:00,179,
B25B0322,002,1965/12/14 00:00:00,267,
B25B0322,002,1965/12/29 00:00:00,167,
B25B0322,002,1966/01/01 00:00:00,171,
B25B0322,002,1966/01/15 00:00:00,188,
B25B0322,002,1966/01/29 00:00:00,183,
B25B0322,002,1966/02/16 00:00:00,180,
B25B0322,002,1966/02/28 00:00:00,156,
B25B0322,002,1966/03/29 00:00:00,182,
B25B0322,002,1966/04/15 00:00:00,182,
B25B0322,002,1966/04/29 00:00:00,197,
B25B0322,002,1966/05/17 00:00:00,182,
B25B0322,002,1966/05/28 00:00:00,179,
B25B0322,002,1966/06/16 00:00:00,201,
B25B0322,002,1966/06/29 00:00:00,218,
B25B0322,002,1966/07/15 00:00:00,222,
B25B0322,002,1966/07/29 00:00:00,191,
B25B0322,002,1966/08/16 00:00:00,202,
B25B0322,002,1966/08/29 00:00:00,210,
B25B0322,002,1966/09/15 00:00:00,235,
B25B0322,002,1966/09/29 00:00:00,227,
B25B0322,002,1966/10/15 00:00:00,205,
B25B0322,002,1966/10/29 00:00:00,195,
B25B0322,002,1966/11/16 00:00:00,195,
B25B0322,002,1966/11/29 00:00:00,173,
B25B0322,002,1966/12/15 00:00:00,173,
B25B0322,002,1966/12/29 00:00:00,168,
B25B0322,002,1967/01/01 00:00:00,168,
B25B0322,002,1967/01/16 00:00:00,171,
B25B0322,002,1967/01/30 00:00:00,165,
B25B0322,002,1967/02/14 00:00:00,169,
B25B0322,002,1967/02/28 00:00:00,169,
B25B0322,002,1967/03/15 00:00:00,171,
B25B0322,002,1967/03/29 00:00:00,159,
B25B0322,002,1967/04/15 00:00:00,167,
B25B0322,002,1967/04/29 00:00:00,159,
B25B0322,002,1967/05/18 00:00:00,140,
B25B0322,002,1967/05/30 00:00:00,153,
B25B0322,002,1967/06/15 00:00:00,161,
B25B0322,002,1967/06/29 00:00:00,161,
B25B0322,002,1967/07/16 00:00:00,142,
B25B0322,002,1967/07/31 00:00:00,140,
B25B0322,002,1967/08/15 00:00:00,137,
B25B0322,002,1967/08/30 00:00:00,141,
B25B0322,002,1967/09/16 00:00:00,139,
B25B0322,002,1967/09/29 00:00:00,136,
B25B0322,002,1967/10/15 00:00:00,136,
B25B0322,002,1967/10/28 00:00:00,135,
B25B0322,002,1967/11/16 00:00:00,125,
B25B0322,002,1967/11/30 00:00:00,123,
B25B0322,002,1967/12/15 00:00:00,122,
B25B0322,002,1967/12/30 00:00:00,108,
B25B0322,002,1968/01/02 00:00:00,110,
B25B0322,002,1968/01/15 00:00:00,121,
B25B0322,002,1968/02/14 00:00:00,126,
B25B0322,002,1968/02/28 00:00:00,166,
B25B0322,002,1968/03/14 00:00:00,146,
B25B0322,002,1968/03/28 00:00:00,205,
B25B0322,002,1968/04/14 00:00:00,179,
B25B0322,002,1968/04/30 00:00:00,173,
B25B0322,002,1968/05/14 00:00:00,177,
B25B0322,002,1968/05/29 00:00:00,174,
B25B0322,002,1968/06/16 00:00:00,175,
B25B0322,002,1968/06/29 00:00:00,175,
B25B0322,002,1968/07/16 00:00:00,162,
B25B0322,002,1968/07/30 00:00:00,174,
B25B0322,002,1968/08/16 00:00:00,180,
B25B0322,002,1968/08/30 00:00:00,187,
B25B0322,002,1968/09/15 00:00:00,185,
B25B0322,002,1968/09/28 00:00:00,182,
B25B0322,002,1968/10/15 00:00:00,173,
B25B0322,002,1968/10/29 00:00:00,173,
B25B0322,002,1968/11/15 00:00:00,180,
B25B0322,002,1968/11/30 00:00:00,160,
B25B0322,002,1968/12/14 00:00:00,138,
B25B0322,002,1969/01/01 00:00:00,120,
B25B0322,002,1969/01/15 00:00:00,122,
B25B0322,002,1969/02/15 00:00:00,125,
B25B0322,002,1969/02/28 00:00:00,132,
B25B0322,002,1969/03/15 00:00:00,125,
B25B0322,002,1969/03/29 00:00:00,135,
B25B0322,002,1969/04/14 00:00:00,129,
B25B0322,002,1969/04/29 00:00:00,127,
B25B0322,002,1969/05/15 00:00:00,133,
B25B0322,002,1969/05/30 00:00:00,126,
B25B0322,002,1969/06/17 00:00:00,131,
B25B0322,002,1969/06/29 00:00:00,141,
B25B0322,002,1969/07/16 00:00:00,144,
B25B0322,002,1969/07/30 00:00:00,140,
B25B0322,002,1969/08/16 00:00:00,150,
B25B0322,002,1969/08/30 00:00:00,134,
B25B0322,002,1969/10/01 00:00:00,140,
B25B0322,002,1969/10/30 00:00:00,144,
B25B0322,002,1969/11/16 00:00:00,137,
B25B0322,002,1969/11/30 00:00:00,132,
B25B0322,002,1969/12/17 00:00:00,132,
B25B0322,002,1969/12/31 00:00:00,128,
B25B0322,002,1970/01/02 00:00:00,128,
B25B0322,002,1970/01/14 00:00:00,127,
B25B0322,002,1970/01/28 00:00:00,137,
B25B0322,002,1970/02/16 00:00:00,135,
B25B0322,002,1970/02/27 00:00:00,135,
B25B0322,002,1970/03/13 00:00:00,138,
B25B0322,002,1970/03/27 00:00:00,142,
B25B0322,002,1970/04/15 00:00:00,137,
B25B0322,002,1970/04/28 00:00:00,138,
B25B0322,002,1970/05/14 00:00:00,138,
B25B0322,002,1970/05/28 00:00:00,149,
B25B0322,002,1970/06/15 00:00:00,157,
B25B0322,002,1970/06/29 00:00:00,163,
B25B0322,002,1970/07/28 00:00:00,146,
B25B0322,002,1970/08/14 00:00:00,155,
B25B0322,002,1970/08/28 00:00:00,168,
B25B0322,002,1970/09/14 00:00:00,152,
B25B0322,002,1970/09/28 00:00:00,149,
B25B0322,002,1970/10/14 00:00:00,150,
B25B0322,002,1970/10/28 00:00:00,141,
B25B0322,002,1970/11/16 00:00:00,131,
B25B0322,002,1970/11/28 00:00:00,133,
B25B0322,002,1970/12/15 00:00:00,137,
B25B0322,002,1970/12/28 00:00:00,128,
B25B0322,002,1971/01/15 00:00:00,132,
B25B0322,002,1971/01/28 00:00:00,156,
B25B0322,002,1971/02/15 00:00:00,128,
B25B0322,002,1971/03/01 00:00:00,136,
B25B0322,002,1971/03/15 00:00:00,132,
B25B0322,002,1971/03/29 00:00:00,136,
B25B0322,002,1971/04/14 00:00:00,140,
B25B0322,002,1971/04/28 00:00:00,143,
B25B0322,002,1971/05/14 00:00:00,147,
B25B0322,002,1971/05/28 00:00:00,147,
B25B0322,002,1971/06/15 00:00:00,149,
B25B0322,002,1971/06/28 00:00:00,148,
B25B0322,002,1971/07/28 00:00:00,152,
B25B0322,002,1971/08/13 00:00:00,153,
B25B0322,002,1971/08/27 00:00:00,155,
B25B0322,002,1971/09/14 00:00:00,157,
B25B0322,002,1971/09/29 00:00:00,156,
B25B0322,002,1971/10/14 00:00:00,150,
B25B0322,002,1971/11/15 00:00:00,153,
B25B0322,002,1971/11/29 00:00:00,136,
B25B0322,002,1971/12/14 00:00:00,137,
B25B0322,002,1971/12/28 00:00:00,134,
B25B0322,002,1972/01/14 00:00:00,138,
B25B0322,002,1972/01/28 00:00:00,140,
B25B0322,002,1972/02/14 00:00:00,139,
B25B0322,002,1972/02/28 00:00:00,136,
B25B0322,002,1972/03/16 00:00:00,136,
B25B0322,002,1972/03/28 00:00:00,132,
B25B0322,002,1972/04/14 00:00:00,137,
B25B0322,002,1972/04/28 00:00:00,138,
B25B0322,002,1972/05/14 00:00:00,136,
B25B0322,002,1972/05/29 00:00:00,138,
B25B0322,002,1972/06/14 00:00:00,143,
B25B0322,002,1972/06/28 00:00:00,143,
B25B0322,002,1972/07/14 00:00:00,149,
B25B0322,002,1972/07/28 00:00:00,141,
B25B0322,002,1972/08/14 00:00:00,142,
B25B0322,002,1972/08/28 00:00:00,145,
B25B0322,002,1972/09/14 00:00:00,145,
B25B0322,002,1972/09/28 00:00:00,146,
B25B0322,002,1972/10/13 00:00:00,146,
B25B0322,002,1972/10/27 00:00:00,140,
B25B0322,002,1972/11/14 00:00:00,134,
B25B0322,002,1972/11/28 00:00:00,130,
B25B0322,002,1972/12/14 00:00:00,133,
B25B0322,002,1972/12/28 00:00:00,134,
B25B0322,002,1973/01/15 00:00:00,117,
B25B0322,002,1973/01/29 00:00:00,126,
B25B0322,002,1973/02/14 00:00:00,119,
B25B0322,002,1973/02/28 00:00:00,130,
B25B0322,002,1973/03/16 00:00:00,131,
B25B0322,002,1973/03/28 00:00:00,132,
B25B0322,002,1973/04/16 00:00:00,131,
B25B0322,002,1973/04/27 00:00:00,129,
B25B0322,002,1973/05/14 00:00:00,129,
B25B0322,002,1973/05/28 00:00:00,137,
B25B0322,002,1973/06/14 00:00:00,138,
B25B0322,002,1973/06/29 00:00:00,144,
B25B0322,002,1973/07/13 00:00:00,146,
B25B0322,002,1973/07/27 00:00:00,142,
B25B0322,002,1973/08/14 00:00:00,148,
B25B0322,002,1973/09/04 00:00:00,146,
B25B0322,002,1973/09/14 00:00:00,149,
B25B0322,002,1973/09/28 00:00:00,145,
B25B0322,002,1973/10/15 00:00:00,127,
B25B0322,002,1973/10/29 00:00:00,126,
B25B0322,002,1973/11/16 00:00:00,118,
B25B0322,002,1973/11/28 00:00:00,117,
