Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25B0323,001,25BP0323,117380,494040,40,,56,-1000,-1100,1965/01/14,1978/05/14
B25B0323,001,25BP0323,117380,494040,40,,66,-1000,-1100,1978/05/14,1986/01/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25B0323,001,1965/01/14 00:00:00,185,
B25B0323,001,1965/01/29 00:00:00,170,
B25B0323,001,1965/02/15 00:00:00,174,
B25B0323,001,1965/03/02 00:00:00,163,
B25B0323,001,1965/03/16 00:00:00,169,
B25B0323,001,1965/03/30 00:00:00,174,
B25B0323,001,1965/04/15 00:00:00,164,
B25B0323,001,1965/04/28 00:00:00,162,
B25B0323,001,1965/05/15 00:00:00,180,
B25B0323,001,1965/06/01 00:00:00,162,
B25B0323,001,1965/06/16 00:00:00,167,
B25B0323,001,1965/06/30 00:00:00,167,
B25B0323,001,1965/07/15 00:00:00,163,
B25B0323,001,1965/07/31 00:00:00,164,
B25B0323,001,1965/08/17 00:00:00,169,
B25B0323,001,1965/09/02 00:00:00,165,
B25B0323,001,1965/09/30 00:00:00,167,
B25B0323,001,1965/10/16 00:00:00,176,
B25B0323,001,1965/10/30 00:00:00,174,
B25B0323,001,1965/11/17 00:00:00,174,
B25B0323,001,1965/12/01 00:00:00,168,
B25B0323,001,1965/12/16 00:00:00,165,
B25B0323,001,1965/12/30 00:00:00,164,
B25B0323,001,1966/01/02 00:00:00,167,
B25B0323,001,1966/01/14 00:00:00,180,
B25B0323,001,1966/01/28 00:00:00,176,
B25B0323,001,1966/02/16 00:00:00,162,
B25B0323,001,1966/02/28 00:00:00,180,
B25B0323,001,1966/03/29 00:00:00,175,
B25B0323,001,1966/04/15 00:00:00,183,
B25B0323,001,1966/04/29 00:00:00,179,
B25B0323,001,1966/05/17 00:00:00,178,
B25B0323,001,1966/05/29 00:00:00,168,
B25B0323,001,1966/06/29 00:00:00,194,
B25B0323,001,1966/07/16 00:00:00,193,
B25B0323,001,1966/07/30 00:00:00,175,
B25B0323,001,1966/08/17 00:00:00,183,
B25B0323,001,1966/08/31 00:00:00,184,
B25B0323,001,1966/09/16 00:00:00,186,
B25B0323,001,1966/09/29 00:00:00,184,
B25B0323,001,1966/10/16 00:00:00,177,
B25B0323,001,1966/10/29 00:00:00,173,
B25B0323,001,1966/11/17 00:00:00,170,
B25B0323,001,1966/11/30 00:00:00,169,
B25B0323,001,1966/12/16 00:00:00,156,
B25B0323,001,1966/12/30 00:00:00,167,
B25B0323,001,1967/01/02 00:00:00,167,
B25B0323,001,1970/01/14 00:00:00,167,
B25B0323,001,1970/01/28 00:00:00,170,
B25B0323,001,1970/02/16 00:00:00,170,
B25B0323,001,1970/02/27 00:00:00,169,
B25B0323,001,1970/03/13 00:00:00,167,
B25B0323,001,1970/03/27 00:00:00,172,
B25B0323,001,1970/04/15 00:00:00,171,
B25B0323,001,1970/04/28 00:00:00,168,
B25B0323,001,1970/05/14 00:00:00,166,
B25B0323,001,1970/05/28 00:00:00,172,
B25B0323,001,1970/06/15 00:00:00,173,
B25B0323,001,1970/06/29 00:00:00,177,
B25B0323,001,1970/07/28 00:00:00,170,
B25B0323,001,1970/08/14 00:00:00,170,
B25B0323,001,1970/08/28 00:00:00,173,
B25B0323,001,1970/09/14 00:00:00,173,
B25B0323,001,1970/09/28 00:00:00,172,
B25B0323,001,1970/10/14 00:00:00,172,
B25B0323,001,1970/10/28 00:00:00,165,
B25B0323,001,1970/11/16 00:00:00,162,
B25B0323,001,1970/11/28 00:00:00,163,
B25B0323,001,1970/12/15 00:00:00,167,
B25B0323,001,1970/12/28 00:00:00,165,
B25B0323,001,1971/01/15 00:00:00,167,
B25B0323,001,1971/01/28 00:00:00,162,
B25B0323,001,1971/02/15 00:00:00,164,
B25B0323,001,1971/03/01 00:00:00,149,
B25B0323,001,1971/03/15 00:00:00,163,
B25B0323,001,1971/03/29 00:00:00,170,
B25B0323,001,1971/04/14 00:00:00,172,
B25B0323,001,1971/04/28 00:00:00,170,
B25B0323,001,1971/05/14 00:00:00,169,
B25B0323,001,1971/05/28 00:00:00,169,
B25B0323,001,1971/06/15 00:00:00,175,
B25B0323,001,1971/06/28 00:00:00,168,
B25B0323,001,1971/07/28 00:00:00,173,
B25B0323,001,1971/08/13 00:00:00,172,
B25B0323,001,1971/08/27 00:00:00,171,
B25B0323,001,1971/09/14 00:00:00,178,
