Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25B0323,002,25BP0323,117380,494040,40,,53,-2060,-2160,1965/01/14,1971/01/28
B25B0323,002,25BP0323,117380,494040,40,,63,-2060,-2160,1971/01/28,1992/04/24
B25B0323,002,25BP0323,117380,494040,40,,78,-2060,-2160,1992/04/24,2005/01/29

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25B0323,002,1965/01/14 00:00:00,313,
B25B0323,002,1965/01/29 00:00:00,312,
B25B0323,002,1965/03/16 00:00:00,314,
B25B0323,002,1965/03/30 00:00:00,318,
B25B0323,002,1965/04/15 00:00:00,316,
B25B0323,002,1965/04/28 00:00:00,310,
B25B0323,002,1965/05/15 00:00:00,323,
B25B0323,002,1965/06/16 00:00:00,315,
B25B0323,002,1965/06/30 00:00:00,330,
B25B0323,002,1965/07/15 00:00:00,315,
B25B0323,002,1965/07/29 00:00:00,308,
B25B0323,002,1965/08/17 00:00:00,310,
B25B0323,002,1965/09/01 00:00:00,306,
B25B0323,002,1965/09/29 00:00:00,315,
B25B0323,002,1965/10/13 00:00:00,310,
B25B0323,002,1965/10/30 00:00:00,318,
B25B0323,002,1965/11/16 00:00:00,301,
B25B0323,002,1965/11/29 00:00:00,309,
B25B0323,002,1965/12/17 00:00:00,309,
B25B0323,002,1965/12/29 00:00:00,307,
B25B0323,002,1966/01/01 00:00:00,313,
B25B0323,002,1966/01/14 00:00:00,338,
B25B0323,002,1966/01/27 00:00:00,334,
B25B0323,002,1966/02/15 00:00:00,339,
B25B0323,002,1966/02/28 00:00:00,336,
B25B0323,002,1966/03/29 00:00:00,338,
B25B0323,002,1966/04/15 00:00:00,320,
B25B0323,002,1966/04/29 00:00:00,344,
B25B0323,002,1966/05/17 00:00:00,346,
B25B0323,002,1966/05/28 00:00:00,306,
B25B0323,002,1966/06/15 00:00:00,319,
B25B0323,002,1966/10/15 00:00:00,299,
B25B0323,002,1966/10/29 00:00:00,316,
B25B0323,002,1966/11/15 00:00:00,313,
B25B0323,002,1966/11/29 00:00:00,307,
B25B0323,002,1970/01/28 00:00:00,130,
B25B0323,002,1970/02/16 00:00:00,128,
B25B0323,002,1970/02/27 00:00:00,129,
B25B0323,002,1970/03/13 00:00:00,133,
B25B0323,002,1970/03/27 00:00:00,143,
B25B0323,002,1970/04/15 00:00:00,130,
B25B0323,002,1970/04/28 00:00:00,127,
B25B0323,002,1970/05/14 00:00:00,131,
B25B0323,002,1970/05/28 00:00:00,136,
B25B0323,002,1970/06/15 00:00:00,141,
B25B0323,002,1970/06/29 00:00:00,142,
B25B0323,002,1970/07/28 00:00:00,133,
B25B0323,002,1970/08/14 00:00:00,138,
B25B0323,002,1970/08/28 00:00:00,141,
B25B0323,002,1970/09/14 00:00:00,143,
B25B0323,002,1970/09/28 00:00:00,140,
B25B0323,002,1970/10/14 00:00:00,141,
B25B0323,002,1970/10/28 00:00:00,133,
B25B0323,002,1970/11/16 00:00:00,121,
B25B0323,002,1970/11/28 00:00:00,121,
B25B0323,002,1970/12/15 00:00:00,129,
B25B0323,002,1970/12/28 00:00:00,129,
B25B0323,002,1971/01/15 00:00:00,129,
B25B0323,002,1971/01/28 00:00:00,105,
B25B0323,002,1971/02/15 00:00:00,164,
B25B0323,002,1971/03/01 00:00:00,174,
B25B0323,002,1971/03/15 00:00:00,162,
B25B0323,002,1971/03/29 00:00:00,180,
B25B0323,002,1971/04/14 00:00:00,183,
B25B0323,002,1971/04/28 00:00:00,173,
B25B0323,002,1971/05/14 00:00:00,172,
B25B0323,002,1971/05/28 00:00:00,166,
B25B0323,002,1971/06/15 00:00:00,166,
B25B0323,002,1971/06/28 00:00:00,166,
B25B0323,002,1971/07/28 00:00:00,171,
B25B0323,002,1971/08/13 00:00:00,169,
B25B0323,002,1971/08/27 00:00:00,172,
B25B0323,002,1971/09/14 00:00:00,179,
B25B0323,002,1971/09/29 00:00:00,195,
B25B0323,002,1971/10/14 00:00:00,184,
B25B0323,002,1971/11/15 00:00:00,238,
B25B0323,002,1971/11/29 00:00:00,196,
B25B0323,002,1971/12/14 00:00:00,278,
B25B0323,002,1971/12/28 00:00:00,275,
B25B0323,002,1972/01/14 00:00:00,273,
B25B0323,002,1972/01/28 00:00:00,276,
B25B0323,002,1972/02/14 00:00:00,271,
B25B0323,002,1972/02/28 00:00:00,249,
B25B0323,002,1972/03/16 00:00:00,238,
B25B0323,002,1972/03/28 00:00:00,250,
B25B0323,002,1972/04/14 00:00:00,279,
B25B0323,002,1972/04/28 00:00:00,279,
B25B0323,002,1972/05/14 00:00:00,278,
B25B0323,002,1972/05/29 00:00:00,294,
B25B0323,002,1972/06/14 00:00:00,281,
B25B0323,002,1972/06/28 00:00:00,277,
B25B0323,002,1972/07/14 00:00:00,265,
B25B0323,002,1972/08/14 00:00:00,259,
B25B0323,002,1972/08/28 00:00:00,266,
B25B0323,002,1972/10/27 00:00:00,280,
B25B0323,002,1972/11/14 00:00:00,274,
B25B0323,002,1972/11/28 00:00:00,267,
B25B0323,002,1972/12/14 00:00:00,276,
B25B0323,002,1972/12/28 00:00:00,278,
B25B0323,002,1973/01/15 00:00:00,260,
B25B0323,002,1973/01/29 00:00:00,266,
B25B0323,002,1973/02/14 00:00:00,261,
B25B0323,002,1973/02/28 00:00:00,267,
B25B0323,002,1973/03/16 00:00:00,268,
B25B0323,002,1973/03/28 00:00:00,270,
B25B0323,002,1973/04/16 00:00:00,266,
B25B0323,002,1973/04/27 00:00:00,264,
B25B0323,002,1973/05/14 00:00:00,267,
B25B0323,002,1973/05/28 00:00:00,274,
B25B0323,002,1973/06/14 00:00:00,277,
B25B0323,002,1973/06/29 00:00:00,285,
B25B0323,002,1973/07/13 00:00:00,286,
B25B0323,002,1973/07/27 00:00:00,277,
B25B0323,002,1973/08/14 00:00:00,282,
B25B0323,002,1973/09/04 00:00:00,281,
B25B0323,002,1973/09/14 00:00:00,284,
B25B0323,002,1973/09/28 00:00:00,277,
B25B0323,002,1973/10/15 00:00:00,263,
B25B0323,002,1973/10/29 00:00:00,262,
B25B0323,002,1973/11/16 00:00:00,253,
B25B0323,002,1973/11/28 00:00:00,255,
B25B0323,002,1973/12/14 00:00:00,249,
B25B0323,002,1974/01/03 00:00:00,245,
B25B0323,002,1974/02/28 00:00:00,255,
B25B0323,002,1974/03/14 00:00:00,259,
B25B0323,002,1974/03/28 00:00:00,260,
B25B0323,002,1974/04/16 00:00:00,268,
B25B0323,002,1974/04/29 00:00:00,270,
B25B0323,002,1974/05/14 00:00:00,274,
B25B0323,002,1974/06/17 00:00:00,274,
B25B0323,002,1974/06/28 00:00:00,279,
B25B0323,002,1974/08/14 00:00:00,281,
B25B0323,002,1974/08/29 00:00:00,278,
B25B0323,002,1974/09/13 00:00:00,276,
B25B0323,002,1974/09/27 00:00:00,270,
B25B0323,002,1974/10/28 00:00:00,252,
B25B0323,002,1974/11/14 00:00:00,254,
B25B0323,002,1974/11/28 00:00:00,251,
B25B0323,002,1974/12/13 00:00:00,250,
