Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25B0375,002,25BP0375,117750,498120,-95,,101,,-2468,1961/04/04,1973/10/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25B0375,002,1961/04/05 00:00:00,182,
B25B0375,002,1961/04/12 00:00:00,200,
B25B0375,002,1961/04/18 00:00:00,197,
B25B0375,002,1961/04/25 00:00:00,195,
B25B0375,002,1961/05/03 00:00:00,194,
B25B0375,002,1961/05/09 00:00:00,200,
B25B0375,002,1961/05/16 00:00:00,203,
B25B0375,002,1961/05/25 00:00:00,194,
B25B0375,002,1961/05/29 00:00:00,198,
B25B0375,002,1961/06/06 00:00:00,204,
B25B0375,002,1961/06/13 00:00:00,202,
B25B0375,002,1961/06/20 00:00:00,207,
B25B0375,002,1961/06/27 00:00:00,208,
B25B0375,002,1961/07/04 00:00:00,212,
B25B0375,002,1961/07/11 00:00:00,210,
B25B0375,002,1961/07/18 00:00:00,201,
B25B0375,002,1961/07/25 00:00:00,199,
B25B0375,002,1961/08/01 00:00:00,200,
B25B0375,002,1961/08/08 00:00:00,200,
B25B0375,002,1961/08/15 00:00:00,202,
B25B0375,002,1961/08/22 00:00:00,200,
B25B0375,002,1961/08/29 00:00:00,201,
B25B0375,002,1961/09/05 00:00:00,201,
B25B0375,002,1961/09/11 00:00:00,202,
B25B0375,002,1961/09/19 00:00:00,202,
B25B0375,002,1961/09/26 00:00:00,203,
B25B0375,002,1961/10/03 00:00:00,200,
B25B0375,002,1961/10/10 00:00:00,202,
B25B0375,002,1961/10/17 00:00:00,202,
B25B0375,002,1961/10/25 00:00:00,198,
